IDs,metal,donor,atom_id,distance_A,cutoff_A,delta_A,category
GOMREH,Mn,C,15,2.37298,2.35700,0.01598,0_to_0.025_above
GOPQIL,Pd,N,5,2.35196,2.27500,0.07696,0.05_to_0.10_above
GOZJIO,Pt,O,50,2.32167,2.29500,0.02667,0.025_to_0.05_above
GOZJIO,Pt,O,51,2.32880,2.29500,0.03380,0.025_to_0.05_above
GOZJIO,Pt,O,44,2.34447,2.29500,0.04947,0.025_to_0.05_above
GUFLEA,Pt,N,16,2.33714,2.28600,0.05114,0.05_to_0.10_above
GUHYEN,Zr,N,8,2.61571,2.60400,0.01171,0_to_0.025_above
GULMEF,Ni,C,15,3.27223,2.43500,0.83723,more_than_0.20_above
GULQIO,V,O,29,2.43056,2.41000,0.02056,0_to_0.025_above
GUQDIG,Pd,N,6,2.30409,2.27500,0.02909,0.025_to_0.05_above
GUSKUA,Rh,C,15,3.28348,2.43700,0.84648,more_than_0.20_above
GUTJEL,Re,N,7,2.49534,2.35200,0.14334,0.10_to_0.20_above
GUTMEO,Re,N,7,2.39960,2.35200,0.04760,0.025_to_0.05_above
HACQEI,Re,S,2,2.64069,2.60300,0.03769,0.025_to_0.05_above
HACVUC,W,C,9,3.19747,2.50200,0.69547,more_than_0.20_above
HACVUC,W,C,8,3.19754,2.50200,0.69554,more_than_0.20_above
HADPIL,W,C,38,3.14758,2.50200,0.64558,more_than_0.20_above
HADPIL,W,C,39,3.14870,2.50200,0.64670,more_than_0.20_above
HADTUE,Mo,C,36,2.62347,2.53600,0.08747,0.05_to_0.10_above
HADTUE,Mo,C,4,2.65308,2.53600,0.11708,0.10_to_0.20_above
HAGDOI,Mo,N,6,2.58414,2.51800,0.06614,0.05_to_0.10_above
HAJHUV,Re,C,17,2.34519,2.41800,-0.07281,within_cutoff_but_pruned
HALFEG,Hf,N,3,2.60312,2.55800,0.04512,0.025_to_0.05_above
HALFEG,Hf,N,5,2.71878,2.55800,0.16078,0.10_to_0.20_above
HAMVOG,Cu,C,15,3.20536,2.67200,0.53336,more_than_0.20_above
HAPSUM,Pt,C,33,2.32656,2.36600,-0.03944,within_cutoff_but_pruned
HAPSUM,Pt,C,31,2.33222,2.36600,-0.03378,within_cutoff_but_pruned
HAPSUM,Pt,C,30,2.38272,2.36600,0.01672,0_to_0.025_above
HAPSUM,Pt,C,32,2.38948,2.36600,0.02348,0_to_0.025_above
HAPSUM,Pt,C,34,2.40353,2.36600,0.03753,0.025_to_0.05_above
HARPUL,W,N,3,2.63001,2.48100,0.14901,0.10_to_0.20_above
HAVMUN,Re,Si,2,2.67997,2.67400,0.00597,0_to_0.025_above
HAXZEM,Pt,C,27,2.35092,2.36600,-0.01508,within_cutoff_but_pruned
HAXZEM,Pt,C,25,2.36780,2.36600,0.00180,0_to_0.025_above
HAZFOG,Re,N,43,2.41129,2.35200,0.05929,0.05_to_0.10_above
HEDGEE,Pt,C,6,3.32796,2.36600,0.96196,more_than_0.20_above
HEDGEF,Pd,C,5,2.08378,2.49900,-0.41522,within_cutoff_but_pruned
HEDGII,Pt,C,10,3.31067,2.36600,0.94467,more_than_0.20_above
HEDGOO,Pt,C,6,3.34752,2.36600,0.98152,more_than_0.20_above
HEDHEF,Pt,C,45,3.06012,2.36600,0.69412,more_than_0.20_above
HEDHEF,Pt,N,3,2.30110,2.28600,0.01510,0_to_0.025_above
HEDRIU,Ru,C,40,3.27984,2.39600,0.88384,more_than_0.20_above
HEDRUG,Ru,C,54,3.23633,2.39600,0.84033,more_than_0.20_above
HEDXIA,Rh,C,7,2.44408,2.43700,0.00708,0_to_0.025_above
HEDXIA,Rh,C,5,2.45589,2.43700,0.01889,0_to_0.025_above
HEDXIA,Rh,C,6,2.51535,2.43700,0.07835,0.05_to_0.10_above
HEGZOI,Pd,C,15,2.50802,2.49900,0.00902,0_to_0.025_above
HERKAQ,Rh,C,10,2.45137,2.43700,0.01437,0_to_0.025_above
HERQEA,Rh,C,9,2.53059,2.43700,0.09359,0.05_to_0.10_above
HERQEA,Rh,C,8,2.59327,2.43700,0.15627,0.10_to_0.20_above
HEWCUI,V,N,62,2.56923,2.45000,0.11923,0.10_to_0.20_above
HEZVUF,Ru,C,9,2.55666,2.39600,0.16066,0.10_to_0.20_above
HIBXEX,Pd,N,3,2.29387,2.27500,0.01887,0_to_0.025_above
HIBXEX,Pd,N,32,2.32339,2.27500,0.04839,0.025_to_0.05_above
HIBXEX,Pd,N,2,2.32366,2.27500,0.04866,0.025_to_0.05_above
HIJMIW,Re,S,4,2.61236,2.60300,0.00936,0_to_0.025_above
HIJMIW,Re,S,2,2.62483,2.60300,0.02183,0_to_0.025_above
HIJMOC,Re,S,3,2.62653,2.60300,0.02353,0_to_0.025_above
HIJTUP,Pt,N,3,2.30947,2.28600,0.02347,0_to_0.025_above
HIJTUP,Pt,N,2,2.30948,2.28600,0.02348,0_to_0.025_above
HINJEU,Ni,N,3,2.92252,2.62000,0.30252,more_than_0.20_above
HINVEF,Mo,N,9,2.55251,2.51800,0.03451,0.025_to_0.05_above
HINVEF,Mo,N,8,2.55266,2.51800,0.03466,0.025_to_0.05_above
HINVIJ,W,N,7,2.50461,2.48100,0.02361,0_to_0.025_above
HINVIJ,W,N,6,2.50466,2.48100,0.02366,0_to_0.025_above
HIRYIQ,Pt,O,41,2.30242,2.29500,0.00742,0_to_0.025_above
HIRYIQ,Pt,O,40,2.30404,2.29500,0.00904,0_to_0.025_above
HIRYIQ,Pt,O,42,2.30430,2.29500,0.00930,0_to_0.025_above
HIRYOW,Pt,O,33,2.34286,2.29500,0.04786,0.025_to_0.05_above
HIRYOW,Pt,O,27,2.36675,2.29500,0.07175,0.05_to_0.10_above
HIRYOW,Pt,O,31,2.36969,2.29500,0.07469,0.05_to_0.10_above
HIVZOD,Mo,O,10,2.48760,2.44400,0.04360,0.025_to_0.05_above
HIZSUE,Pt,N,5,2.34621,2.28600,0.06021,0.05_to_0.10_above
HIZVIV,Pd,N,3,2.30840,2.27500,0.03340,0.025_to_0.05_above
HOFKOF,V,O,7,2.41028,2.41000,0.00028,0_to_0.025_above
HOKTEH,Pt,Cl,2,2.50481,2.50100,0.00381,0_to_0.025_above
HOMRUW,Os,N,11,2.33384,2.31900,0.01484,0_to_0.025_above
HOPVOY,Mo,O,28,2.48350,2.44400,0.03950,0.025_to_0.05_above
HOPVUE,Mo,O,10,2.44487,2.44400,0.00087,0_to_0.025_above
HOQJEC,Ti,N,5,2.52211,2.47800,0.04411,0.025_to_0.05_above
HOSFIF,Mo,C,10,3.16918,2.53600,0.63318,more_than_0.20_above
HUDYAG,Re,N,7,2.50201,2.35200,0.15001,0.10_to_0.20_above
HUNHEF,Au,P,3,2.49962,2.49200,0.00762,0_to_0.025_above
HUQGOQ,Re,N,23,2.36547,2.35200,0.01347,0_to_0.025_above
HURRIW,Ru,N,10,2.36318,2.33000,0.03318,0.025_to_0.05_above
HUSTIA,W,O,5,2.42717,2.42000,0.00717,0_to_0.025_above
HUTVUO,Re,N,10,2.41788,2.35200,0.06588,0.05_to_0.10_above
HUYJEQ,Re,C,8,2.44417,2.41800,0.02617,0.025_to_0.05_above
IBAZAP,Ir,C,13,2.38216,2.36200,0.02016,0_to_0.025_above
IBILOU,Ir,Cl,2,2.59721,2.59100,0.00621,0_to_0.025_above
IBUWEH,W,N,6,2.52229,2.48100,0.04129,0.025_to_0.05_above
IBUWIL,Ti,N,4,2.56961,2.47800,0.09161,0.05_to_0.10_above
ICAYUG,Pt,S,20,2.53817,2.51100,0.02717,0.025_to_0.05_above
ICEFIF,Pd,N,9,2.30540,2.27500,0.03040,0.025_to_0.05_above
ICEFOL,Pd,N,11,2.30545,2.27500,0.03045,0.025_to_0.05_above
ICEFUR,Pd,N,4,2.28580,2.27500,0.01080,0_to_0.025_above
ICEGAY,Pd,N,11,2.27857,2.27500,0.00357,0_to_0.025_above
ICIGIL,W,N,7,2.65037,2.48100,0.16937,0.10_to_0.20_above
ICOKUI,Pt,O,25,2.38993,2.29500,0.09493,0.05_to_0.10_above
ICURED,Zr,C,4,2.72486,2.71700,0.00786,0_to_0.025_above
ICURED,Zr,C,3,2.72550,2.71700,0.00850,0_to_0.025_above
IDATEN,Pt,C,68,3.27322,2.36600,0.90722,more_than_0.20_above
IDATEN,Pt,C,52,3.30701,2.36600,0.94101,more_than_0.20_above
IFALUW,Re,N,19,2.40327,2.35200,0.05127,0.05_to_0.10_above
IMEVEC,Re,N,57,2.35785,2.35200,0.00585,0_to_0.025_above
IMEWUT,Zr,N,3,2.62615,2.60400,0.02215,0_to_0.025_above
IMOBIW,Pt,N,2,2.31417,2.28600,0.02817,0.025_to_0.05_above
IMOBIW,Pt,N,3,2.31422,2.28600,0.02822,0.025_to_0.05_above
IPAMIW,Mo,N,2,2.51848,2.51800,0.00048,0_to_0.025_above
IQEYAE,Zr,C,41,3.74740,2.71700,1.03040,more_than_0.20_above
IQEYAE,Zr,C,19,3.74745,2.71700,1.03045,more_than_0.20_above
IRAXIJ,Re,O,39,2.33701,2.31200,0.02501,0.025_to_0.05_above
IRUCEE,Mo,O,38,2.49006,2.44400,0.04606,0.025_to_0.05_above
ISUZAX,Zr,N,5,2.61412,2.60400,0.01012,0_to_0.025_above
ITUNUH,Pt,Br,2,2.71755,2.67500,0.04255,0.025_to_0.05_above
IWEJOJ,Re,N,11,2.43221,2.35200,0.08021,0.05_to_0.10_above
IWULUH,Cu,C,9,3.06659,2.67200,0.39459,more_than_0.20_above
IXASAD,Mo,O,6,2.49572,2.44400,0.05172,0.05_to_0.10_above
IXEDAS,Mo,O,5,2.48991,2.44400,0.04591,0.025_to_0.05_above
IYEWOZ,Re,N,10,2.40682,2.35200,0.05482,0.05_to_0.10_above
IYEWUF,Re,N,10,2.40881,2.35200,0.05681,0.05_to_0.10_above
IYEXUG,Re,N,9,2.38786,2.35200,0.03586,0.025_to_0.05_above
IZAGEW,Cu,C,11,3.08603,2.67200,0.41403,more_than_0.20_above
IZICOJ,Zr,C,14,2.74703,2.71700,0.03003,0.025_to_0.05_above
IZICOJ,Zr,C,15,2.74733,2.71700,0.03033,0.025_to_0.05_above
IZORIZ,Re,O,5,2.34232,2.31200,0.03032,0.025_to_0.05_above
IZUDOX,Hf,C,23,2.71533,2.71100,0.00433,0_to_0.025_above
IZUDOX,Hf,C,22,2.72526,2.71100,0.01426,0_to_0.025_above
IZUFEP,Hf,C,44,2.71531,2.71100,0.00431,0_to_0.025_above
JADFAY,V,N,5,2.45429,2.45000,0.00429,0_to_0.025_above
JADFEC,V,N,5,2.45206,2.45000,0.00206,0_to_0.025_above
JAGKUX,Re,C,8,3.18024,2.41800,0.76224,more_than_0.20_above
JAGKUX,Re,C,22,3.36728,2.41800,0.94928,more_than_0.20_above
JAKKAI,Ti,O,5,2.47024,2.34500,0.12524,0.10_to_0.20_above
JAKKIQ,Ti,N,4,2.65084,2.47800,0.17284,0.10_to_0.20_above
JAKKOW,Ti,N,5,2.64396,2.47800,0.16596,0.10_to_0.20_above
JAKWAU,Pt,Cl,3,2.50826,2.50100,0.00726,0_to_0.025_above
JALVUO,Zr,C,36,2.73795,2.71700,0.02095,0_to_0.025_above
JAPPEW,Re,P,5,2.62765,2.58900,0.03865,0.025_to_0.05_above
JAPPEW,Re,P,6,2.66416,2.58900,0.07516,0.05_to_0.10_above
JAQPAS,Ti,Cl,4,2.66431,2.51500,0.14931,0.10_to_0.20_above
JARSEA,Pt,N,9,2.33952,2.28600,0.05352,0.05_to_0.10_above
JATXOS,Nb,C,34,3.31818,2.64000,0.67818,more_than_0.20_above
JAXVOT,Pd,N,3,2.30820,2.27500,0.03320,0.025_to_0.05_above
JEFFIK,Pt,C,11,3.25224,2.36600,0.88624,more_than_0.20_above
JEFJIO,Pd,N,4,2.34498,2.27500,0.06998,0.05_to_0.10_above
JEFSET,Re,N,10,2.36261,2.35200,0.01061,0_to_0.025_above
JEGNIS,Cu,C,25,3.17000,2.67200,0.49800,more_than_0.20_above
JEGPEQ,Cu,C,31,2.90280,2.67200,0.23080,more_than_0.20_above
JEGPUG,Cu,C,6,2.88335,2.67200,0.21135,more_than_0.20_above
JEGQAN,Cu,C,39,2.90115,2.67200,0.22915,more_than_0.20_above
JEGQER,Cu,C,13,2.91520,2.67200,0.24320,more_than_0.20_above
JEHQUL,Pt,N,5,2.29933,2.28600,0.01333,0_to_0.025_above
JEHRAS,Pt,N,6,2.36020,2.28600,0.07420,0.05_to_0.10_above
JEHREW,Pt,N,7,2.37330,2.28600,0.08730,0.05_to_0.10_above
JENPOI,Ni,C,65,3.14659,2.43500,0.71159,more_than_0.20_above
JENPOI,Ni,C,26,3.16041,2.43500,0.72541,more_than_0.20_above
JERCEO,V,C,11,3.27146,2.45800,0.81346,more_than_0.20_above
JESTAC,Pd,N,4,2.29217,2.27500,0.01717,0_to_0.025_above
JETHEV,Pt,C,23,2.39335,2.36600,0.02735,0.025_to_0.05_above
JETHEV,Pt,C,6,2.39338,2.36600,0.02738,0.025_to_0.05_above
JETMAX,Pt,C,29,2.36925,2.36600,0.00325,0_to_0.025_above
JEVRAD,Cr,N,4,2.35062,2.33200,0.01862,0_to_0.025_above
JILPEZ,Pt,C,6,2.51715,2.36600,0.15115,0.10_to_0.20_above
JILPEZ,Pt,C,10,2.51986,2.36600,0.15386,0.10_to_0.20_above
JILPEZ,Pt,C,5,3.35814,2.36600,0.99214,more_than_0.20_above
JILPEZ,Pt,C,7,3.35826,2.36600,0.99226,more_than_0.20_above
JIMMAW,Re,S,2,2.60958,2.60300,0.00658,0_to_0.025_above
JIQTIP,V,N,4,2.46066,2.45000,0.01066,0_to_0.025_above
JITKAY,Re,N,7,2.39836,2.35200,0.04636,0.025_to_0.05_above
JOCDEK,Tc,O,4,2.63864,2.39600,0.24264,more_than_0.20_above
JOCDOU,Tc,O,4,2.60431,2.39600,0.20831,more_than_0.20_above
JOCRAV,Ru,C,26,2.25912,2.39600,-0.13688,within_cutoff_but_pruned
JOCREZ,Ru,C,13,2.25374,2.39600,-0.14226,within_cutoff_but_pruned
JOGMIC,Ru,C,22,3.00640,2.39600,0.61040,more_than_0.20_above
JOGXAF,Co,C,1,2.02522,2.27000,-0.24478,within_cutoff_but_pruned
JOHSII,Re,S,3,2.69440,2.60300,0.09140,0.05_to_0.10_above
JOHXAH,Pt,C,5,2.39632,2.36600,0.03032,0.025_to_0.05_above
JOKXEN,Co,C,7,2.04438,2.27000,-0.22562,within_cutoff_but_pruned
JULMUY,Ti,N,11,2.52453,2.47800,0.04653,0.025_to_0.05_above
JUPZUR,Pt,C,16,2.37151,2.36600,0.00551,0_to_0.025_above
JUTCOQ,Re,S,5,2.72634,2.60300,0.12334,0.10_to_0.20_above
JUYTAY,Mn,P,2,2.48504,2.48500,0.00004,0_to_0.025_above
JUYVII,Re,N,5,2.49224,2.35200,0.14024,0.10_to_0.20_above
JUZLAR,Pt,C,6,3.41031,2.36600,1.04431,more_than_0.20_above
KABZIY,Re,N,23,2.40311,2.35200,0.05111,0.05_to_0.10_above
KACSUC,Rh,C,11,2.44544,2.43700,0.00844,0_to_0.025_above
KACSUC,Rh,C,6,2.46208,2.43700,0.02508,0.025_to_0.05_above
KADPUD,V,N,48,2.47195,2.45000,0.02195,0_to_0.025_above
KAFRUE,Ti,O,7,2.58924,2.34500,0.24424,more_than_0.20_above
KAFYUL,Zr,C,8,2.73313,2.71700,0.01613,0_to_0.025_above
KAFYUL,Zr,C,9,2.74602,2.71700,0.02902,0.025_to_0.05_above
KAGXUM,Zr,C,14,2.71868,2.71700,0.00168,0_to_0.025_above
KAMYOM,Re,C,20,2.59093,2.41800,0.17293,0.10_to_0.20_above
KAMYOM,Re,C,21,2.59093,2.41800,0.17293,0.10_to_0.20_above
KAQYIK,Cu,C,7,3.21331,2.67200,0.54131,more_than_0.20_above
KAQYOQ,Cu,C,7,3.23897,2.67200,0.56697,more_than_0.20_above
KATHOC,Re,N,6,2.56977,2.35200,0.21777,more_than_0.20_above
KAVPAZ,Ru,C,26,2.27095,2.39600,-0.12505,within_cutoff_but_pruned
KAVPED,Fe,C,26,2.18492,2.32900,-0.14408,within_cutoff_but_pruned
KAWLIF,Re,O,16,2.32060,2.31200,0.00860,0_to_0.025_above
KAYZEP,Ru,O,14,2.43297,2.41400,0.01897,0_to_0.025_above
KAZNII,Re,O,5,2.44016,2.31200,0.12816,0.10_to_0.20_above
KEDRIU,Mn,C,13,3.27154,2.35700,0.91454,more_than_0.20_above
KEDVOE,Os,O,9,2.61826,2.37800,0.24026,more_than_0.20_above
KEFVAS,Au,C,2,2.20931,2.28100,-0.07169,within_cutoff_but_pruned
KEGQIW,W,C,9,3.15395,2.50200,0.65195,more_than_0.20_above
KEHGOW,Pd,C,18,2.39204,2.49900,-0.10696,within_cutoff_but_pruned
KEHGOW,Pd,C,14,2.54676,2.49900,0.04776,0.025_to_0.05_above
KEHZOP,Re,O,21,2.31848,2.31200,0.00648,0_to_0.025_above
KEJKUG,Re,N,16,2.43165,2.35200,0.07965,0.05_to_0.10_above
KEJLIV,Re,N,13,2.42645,2.35200,0.07445,0.05_to_0.10_above
KEKLES,W,O,55,2.45751,2.42000,0.03751,0.025_to_0.05_above
KELFIQ,Mo,O,7,2.62213,2.44400,0.17813,0.10_to_0.20_above
KELQEX,Ti,O,18,2.45993,2.34500,0.11493,0.10_to_0.20_above
KELWUU,Nb,N,7,2.61500,2.56200,0.05300,0.05_to_0.10_above
KELZEG,Re,N,5,2.48719,2.35200,0.13519,0.10_to_0.20_above
KERWUB,Mo,O,9,2.48436,2.44400,0.04036,0.025_to_0.05_above
KETNEC,Nb,C,29,3.61299,2.64000,0.97299,more_than_0.20_above
KETXIS,V,N,43,2.47093,2.45000,0.02093,0_to_0.025_above
KEWCAQ,W,C,9,2.52367,2.50200,0.02167,0_to_0.025_above
KEWCAQ,W,C,8,2.56210,2.50200,0.06010,0.05_to_0.10_above
KEYDAV,V,N,4,2.46079,2.45000,0.01079,0_to_0.025_above
KIDLIU,Mo,O,6,2.51861,2.44400,0.07461,0.05_to_0.10_above
KIJCIQ,Mo,N,6,2.54024,2.51800,0.02224,0_to_0.025_above
KIJCIQ,Mo,N,7,2.54027,2.51800,0.02227,0_to_0.025_above
KIJCOW,Mo,N,28,2.54614,2.51800,0.02814,0.025_to_0.05_above
KIJCOW,Mo,N,2,2.54630,2.51800,0.02830,0.025_to_0.05_above
KIJNAT,Re,Cl,27,2.71758,2.59900,0.11858,0.10_to_0.20_above
KINVUY,Re,N,5,2.50488,2.35200,0.15288,0.10_to_0.20_above
KIRWAL,Fe,C,51,2.42971,2.32900,0.10071,0.10_to_0.20_above
KIRWEP,Fe,C,5,2.43254,2.32900,0.10354,0.10_to_0.20_above
KISYOA,Cr,C,12,2.43945,2.40800,0.03145,0.025_to_0.05_above
KISYOA,Cr,C,13,2.45749,2.40800,0.04949,0.025_to_0.05_above
KISYUG,W,C,12,2.55418,2.50200,0.05218,0.05_to_0.10_above
KISYUG,W,C,13,2.58682,2.50200,0.08482,0.05_to_0.10_above
KIZDOM,Ti,N,19,2.49501,2.47800,0.01701,0_to_0.025_above
KOGNUP,Mo,O,9,2.50983,2.44400,0.06583,0.05_to_0.10_above
KOJDES,Fe,C,16,2.91559,2.32900,0.58659,more_than_0.20_above
KOLTIP,Re,N,22,2.40191,2.35200,0.04991,0.025_to_0.05_above
KOMWAK,Pd,C,34,2.50422,2.49900,0.00522,0_to_0.025_above
KOVKUB,Re,O,7,2.31543,2.31200,0.00343,0_to_0.025_above
KOXPAO,Ru,O,6,2.48115,2.41400,0.06715,0.05_to_0.10_above
KOXWEZ,Pt,P,4,2.46997,2.45100,0.01897,0_to_0.025_above
KUDBES,Pd,C,4,3.31282,2.49900,0.81382,more_than_0.20_above
KUDJUP,Au,C,4,2.30285,2.28100,0.02185,0_to_0.025_above
KUDJUP,Au,C,2,2.30306,2.28100,0.02206,0_to_0.025_above
KUDKEA,Au,C,2,2.30551,2.28100,0.02451,0_to_0.025_above
KUDKEA,Au,C,4,2.30678,2.28100,0.02578,0.025_to_0.05_above
KUDKOK,Au,C,5,2.41731,2.28100,0.13631,0.10_to_0.20_above
KUJCAT,Mo,N,18,2.52548,2.51800,0.00748,0_to_0.025_above
KUSNAP,Zr,O,8,4.52570,2.51900,2.00670,more_than_0.20_above
KUVNIY,Nb,C,9,3.18741,2.64000,0.54741,more_than_0.20_above
KUVRID,Au,C,4,3.23744,2.28100,0.95644,more_than_0.20_above
KUWHEP,Mo,N,23,2.51993,2.51800,0.00193,0_to_0.025_above
KUWHEP,Mo,N,22,2.52027,2.51800,0.00227,0_to_0.025_above
KUWHEP,Mo,N,3,2.52044,2.51800,0.00244,0_to_0.025_above
KUWHIT,Mo,N,5,2.52040,2.51800,0.00240,0_to_0.025_above
KUWHIT,Mo,N,7,2.52043,2.51800,0.00243,0_to_0.025_above
KUWHIT,Mo,N,6,2.52049,2.51800,0.00249,0_to_0.025_above
LADHOO,Pd,N,44,2.35410,2.27500,0.07910,0.05_to_0.10_above
LADXOF,Cu,C,9,3.12583,2.67200,0.45383,more_than_0.20_above
LAGLEL,V,N,5,2.49767,2.45000,0.04767,0.025_to_0.05_above
LAGYEZ,Pt,C,8,3.28070,2.36600,0.91470,more_than_0.20_above
LAGYUP,Pt,C,7,3.32000,2.36600,0.95400,more_than_0.20_above
LAGZAW,Pt,C,8,3.28861,2.36600,0.92261,more_than_0.20_above
LAKKAL,Re,Br,2,2.73181,2.73000,0.00181,0_to_0.025_above
LAWRIK,Zr,C,26,3.41898,2.71700,0.70198,more_than_0.20_above
LAXCIX,Re,Cl,4,2.61020,2.59900,0.01120,0_to_0.025_above
LAZGOJ,W,C,55,2.52692,2.50200,0.02492,0_to_0.025_above
LAZGOJ,W,C,56,2.52692,2.50200,0.02492,0_to_0.025_above
LAZHEB,Re,O,3,2.44055,2.31200,0.12855,0.10_to_0.20_above
LAZREJ,Mn,C,9,2.45869,2.35700,0.10169,0.10_to_0.20_above
LECBUQ,Pt,O,49,2.32406,2.29500,0.02906,0.025_to_0.05_above
LECBUQ,Pt,O,45,2.33130,2.29500,0.03630,0.025_to_0.05_above
LECSOC,Mo,N,18,2.53020,2.51800,0.01220,0_to_0.025_above
LEKRAV,Pt,C,11,2.40206,2.36600,0.03606,0.025_to_0.05_above
LEKRAV,Pt,C,12,2.45997,2.36600,0.09397,0.05_to_0.10_above
LELWOP,Pt,C,7,3.31634,2.36600,0.95034,more_than_0.20_above
LENGAN,W,N,7,2.54122,2.48100,0.06022,0.05_to_0.10_above
LENGIV,W,N,8,2.66745,2.48100,0.18645,0.10_to_0.20_above
LERJAW,V,N,4,2.46346,2.45000,0.01346,0_to_0.025_above
LERZAJ,Nb,C,36,3.11272,2.64000,0.47272,more_than_0.20_above
LEYKIK,V,N,33,2.45636,2.45000,0.00636,0_to_0.025_above
LEYKOQ,V,N,8,2.46519,2.45000,0.01519,0_to_0.025_above
LIBGUY,Re,O,25,2.32131,2.31200,0.00931,0_to_0.025_above
LIBHAF,Re,O,24,2.43074,2.31200,0.11874,0.10_to_0.20_above
LIFGOW,Re,N,9,2.38663,2.35200,0.03463,0.025_to_0.05_above
LIGFUD,Pt,C,6,3.29829,2.36600,0.93229,more_than_0.20_above
LIJJAS,Rh,C,33,2.18032,2.43700,-0.25668,within_cutoff_but_pruned
LIMBAL,Zr,N,7,2.69002,2.60400,0.08602,0.05_to_0.10_above
LINGEV,Pd,N,4,2.34430,2.27500,0.06930,0.05_to_0.10_above
LINLEC,Pt,N,7,2.33721,2.28600,0.05121,0.05_to_0.10_above
LIRDAT,Re,N,4,2.38177,2.35200,0.02977,0.025_to_0.05_above
LIXNAH,Re,C,14,2.42076,2.41800,0.00276,0_to_0.025_above
LODNEY,Re,S,33,2.63354,2.60300,0.03054,0.025_to_0.05_above
LODNEY,Re,S,34,2.64342,2.60300,0.04042,0.025_to_0.05_above
LOFLAT,Mn,C,8,3.27471,2.35700,0.91771,more_than_0.20_above
LOGWEJ,Pd,C,14,3.24634,2.49900,0.74734,more_than_0.20_above
LOHKUO,Zr,N,14,2.62468,2.60400,0.02068,0_to_0.025_above
LOHLAV,Hf,N,12,2.59408,2.55800,0.03608,0.025_to_0.05_above
LOHLAV,Hf,N,14,2.61815,2.55800,0.06015,0.05_to_0.10_above
LOHNII,Co,N,5,2.20591,2.19500,0.01091,0_to_0.025_above
LOKPEH,V,N,8,2.47133,2.45000,0.02133,0_to_0.025_above
LOMWIV,Ti,C,32,2.60859,2.59200,0.01659,0_to_0.025_above
LOMWIV,Ti,C,46,2.60907,2.59200,0.01707,0_to_0.025_above
LOMWUH,Ti,C,18,2.59364,2.59200,0.00164,0_to_0.025_above
LOMWUH,Ti,C,9,2.59509,2.59200,0.00309,0_to_0.025_above
LONHEE,Mo,N,11,2.52564,2.51800,0.00764,0_to_0.025_above
LOPTAO,W,C,32,3.30450,2.50200,0.80250,more_than_0.20_above
LOTNEN,Pt,S,3,2.55028,2.51100,0.03928,0.025_to_0.05_above
LOYZUU,Mo,O,38,2.48572,2.44400,0.04172,0.025_to_0.05_above
LUCYAK,Pd,O,2,2.32122,2.32100,0.00022,0_to_0.025_above
LULCUR,Pd,N,4,2.31830,2.27500,0.04330,0.025_to_0.05_above
LULNUB,Re,N,45,2.44747,2.35200,0.09547,0.05_to_0.10_above
LULPAJ,Re,N,6,2.37064,2.35200,0.01864,0_to_0.025_above
LUMSOC,Pd,N,4,2.28536,2.27500,0.01036,0_to_0.025_above
LUMTAP,Pd,N,4,2.29103,2.27500,0.01603,0_to_0.025_above
LUSFOU,Pt,P,3,2.48701,2.45100,0.03601,0.025_to_0.05_above
LUSTOK,Cr,C,19,2.52488,2.40800,0.11688,0.10_to_0.20_above
LUSTOK,Cr,C,34,2.52709,2.40800,0.11909,0.10_to_0.20_above
LUVTIF,Mn,C,9,2.38819,2.35700,0.03119,0.025_to_0.05_above
LUVTIF,Mn,C,7,2.38853,2.35700,0.03153,0.025_to_0.05_above
LUVZUZ,Re,S,84,2.60645,2.60300,0.00345,0_to_0.025_above
LUXMUO,Re,O,5,2.32505,2.31200,0.01305,0_to_0.025_above
MABBUO,Mo,N,7,2.51993,2.51800,0.00193,0_to_0.025_above
MABDOJ,Ru,C,9,3.37612,2.39600,0.98012,more_than_0.20_above
MAKGEK,Pt,Cl,2,2.51269,2.50100,0.01169,0_to_0.025_above
MALFEL,Re,N,22,2.42315,2.35200,0.07115,0.05_to_0.10_above
MALFEL,Re,N,6,2.42321,2.35200,0.07121,0.05_to_0.10_above
MATCPD,Pd,C,4,3.12436,2.49900,0.62536,more_than_0.20_above
MAZSEL,Pt,S,37,2.54737,2.51100,0.03637,0.025_to_0.05_above
MECDED,Pd,C,5,2.22862,2.49900,-0.27038,within_cutoff_but_pruned
MEJXIK,Rh,C,5,3.21127,2.43700,0.77427,more_than_0.20_above
MELFOB,Zr,N,22,2.63945,2.60400,0.03545,0.025_to_0.05_above
MELLUN,Pt,C,18,2.85779,2.36600,0.49179,more_than_0.20_above
MEXWOB,Rh,P,3,2.50439,2.48300,0.02139,0_to_0.025_above
MEZWAP,Pt,O,5,2.31113,2.29500,0.01613,0_to_0.025_above
MIDNAO,Sc,N,7,2.58922,2.57100,0.01822,0_to_0.025_above
MIKKUM,W,C,2,2.46771,2.50200,-0.03429,within_cutoff_but_pruned
MIYRAO,Re,O,4,2.50539,2.31200,0.19339,0.10_to_0.20_above
MOJYAL,Pt,C,7,2.48933,2.36600,0.12333,0.10_to_0.20_above
MOJYAL,Pt,C,8,2.49788,2.36600,0.13188,0.10_to_0.20_above
MOPDOL,Tc,N,40,2.33708,2.33700,0.00008,0_to_0.025_above
MOPDUR,Tc,N,21,2.37702,2.33700,0.04002,0.025_to_0.05_above
