IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
NOQFOR,B,2,1,0,1,Pt,C38 H30 Cl2 N4 P2 Pt1,77,Cl Cl P P,Cl Cl P P,4,2
NOQFUX,B,2,1,0,1,Pt,C38 H30 Cl2 N4 P2 Pt1,77,Cl Cl P P,Cl Cl P P,4,2
NOYVAA,B,2,1,0,1,Pd,C21 H37 Cl2 N2 P1 Pd1,64,C Cl Cl P,C Cl Cl P,4,2
NOYVUU,B,2,1,0,1,Pd,C22 H36 Cl2 F3 N2 P1 Pd1,67,C Cl Cl P,C Cl Cl P,4,2
NOYWAB,B,2,1,0,1,Pd,C22 H39 Cl2 N2 O1 P1 Pd1,68,C Cl Cl P,C Cl Cl P,4,2
NUCKEB,B,2,1,0,1,Cr,C19 H17 Cr1 N1 O6 S1,45,C C C C C S,C C C C C S,2,0
NUCVIQ,B,2,1,0,1,Pt,C20 H16 N4 O4 Pt1,45,N N O O,N N O O,4,2
NUYYIR,B,2,1,0,1,Pd,C24 H26 Cl2 N4 Pd1,57,C C Cl Cl,C C Cl Cl,4,2
OBITIC,B,2,1,0,1,Ru,C30 H24 Cl1 N6 Ru1 1+,62,Cl N N N N N,Cl N N N N N,6,2
OCIJES,B,2,1,0,1,Ru,C16 H16 Cl2 N2 Ru1 S2,39,Cl Cl N N S S,Cl Cl N N S S,4,2
OCOJUO,B,2,1,0,1,Pt,C14 H10 Cl2 N2 Pt1,29,Cl Cl N N,Cl Cl N N,4,2
ODEBII,B,2,1,0,1,Ru,C28 H27 Cl1 N4 O2 P1 Ru1 1+,64,Cl N N N N P,Cl N N N N P,4,2
ODUNIM,B,2,1,0,1,Pd,C22 H33 O7 P1 Pd1 S2,66,C O P S,C O P S,4,2
OFEJOB,B,2,1,0,1,Ru,C24 H29 Cl1 N3 O2 Ru1 S1 1+,61,C C C C C C Cl N N,C C C C C C Cl N N,4,2
OFULIL,B,2,1,0,1,Pt,C7 H11 I2 N1 O1 Pt1 S1,24,I I N S,I I N S,4,2
OFULUX,B,2,1,0,1,Ru,C27 H22 Cl1 N4 Ru1 1+,55,C C C C C C Cl N N,C C C C C C Cl N N,4,2
OFUQUB,B,2,1,0,1,Fe,C14 H18 Fe1 N4 O4,41,C C C N N,C C C N N,2,0
OGEMEU,B,2,1,0,1,Ni,C20 H18 N4 Ni1 O3,46,N N O O,N N O O,0,2
OGIGUG,B,2,1,0,1,Pt,C15 H16 Cl1 N1 O2 Pt1 S1,37,C Cl N S,C Cl N S,4,2
OGOBIV,B,2,1,0,1,Ir,C17 H23 Ir1 N3 O2 1+,46,C C N N N O O,C C N N N O O,1,3
OHUPUD,B,2,1,0,1,Ni,C32 H40 Cl1 N3 Ni1 O1,78,Cl N N N,Cl N N N,4,2
OJOGOK,B,2,1,0,1,Ir,C22 H31 Cl1 Ir1 N1,56,C C C C C C C Cl,C C C C C C C Cl,5,3
OKAPOH,B,2,1,0,1,Pd,C17 H29 Cl1 N1 O1 P1 Pd1,51,C Cl N P,C Cl N P,4,2
OLOKEH,B,2,1,0,1,Ru,C32 H30 N4 O6 P2 Ru1,75,N N N N O O,N N N N O O,4,2
OLOPOV,B,2,1,0,1,Pd,C29 H35 N4 Pd1 1+,69,C N N N,C N N N,4,2
OMANIZ,B,2,1,0,1,Ir,C14 H22 Ir1 N2 O2 S2 1+,43,N N S S,N N S S,3,1
OMASEB,B,2,1,0,1,Au,C27 H26 Au1 Cl1 N2 O2,59,C Cl,C Cl,3,1
OMISUZ,B,2,1,0,1,Tc,C14 H5 N5 S4 Tc1 1-,29,N S S S S,N S S S S,1,5
OMITAG,B,2,1,0,1,Re,C14 H5 N5 Re1 S4 1-,29,N S S S S,N S S S S,1,5
OMUBUV,B,2,1,0,1,Pt,C22 H20 N5 O1 Pt1 1+,49,C N N N,C N N N,4,2
OMUCAC,B,2,1,0,1,Pt,C24 H25 N6 Pt1 1+,56,C N N N,C N N N,4,2
ONIKIH,B,2,1,0,1,Pt,C11 H22 O8 Pt1 S2,44,O O S S,O O S S,4,2
ONIKON,B,2,1,0,1,Pt,C11 H16 O5 Pt1 S2,35,O O S S,O O S S,4,2
ONIWIS,B,2,1,0,1,Rh,C18 H30 F4 N1 O3 P2 Rh1,59,C C O O P P,C C O O P P,1,3
OPEWIR,B,2,1,0,1,Ag,C28 H38 Ag1 F3 N2 O3 S1,76,C O S,C O,3,1
OPXMOL,B,2,1,0,1,Mo,C5 H11 Mo1 N1 O7,25,O O O O O O,O O O O O O O,2,6
ORODEF,B,2,1,0,1,Ni,C17 H27 Br1 N1 Ni1 O2 P1,50,Br C N P,Br C N P,4,2
ORODIJ,B,2,1,0,1,Ni,C17 H29 Br1 N1 Ni1 O1 P1,51,Br C N P,Br C N P,4,2
OROFEH,B,2,1,0,1,Ni,C15 H25 Br1 N1 Ni1 O1 P1,45,Br C N P,Br C N P,4,2
ORUFEO,B,2,1,0,1,Ru,C40 H32 Cl2 N2 O2 P2 Ru1,81,Cl Cl O O P P,Cl Cl O O P P,4,2
OSALEA,B,2,1,0,1,Pt,C23 H17 N6 Pt1 1+,47,N N N N,N N N N,4,2
OSIPUC,B,2,1,0,1,Ir,C39 H34 Cl1 Ir1 O5 P2,82,C Cl O O P P,C Cl O O P P,1,3
OVAXAL,B,2,1,0,1,W,C11 H10 F3 N1 O5 W1,31,C C C C C C,C C C C C C,2,0
OWEJEH,B,2,1,0,1,Pd,C20 H24 Br2 N2 Pd1,49,Br Br N N,Br Br N N,4,2
OWEJIL,B,2,1,0,1,Pd,C20 H24 I2 N2 Pd1,49,I I N N,I I N N,4,2
OWEJOR,B,2,1,0,1,Pd,C30 H36 N2 O1 Pd1,70,C N N O,C N N O,4,2
OXOKIW,B,2,1,0,1,Ir,C27 H33 B1 Ir1 N7 O1,70,C C N N N O,C C N N N O,5,3
OXOKOC,B,2,1,0,1,Ir,C33 H37 B1 Ir1 N7,79,C C C N N N,C C C N N N,5,3
OYAZEU,B,2,1,0,1,Ir,C28 H22 F2 Ir1 N7,60,C C C C N N,C C C C N N,1,3
OZUDUJ,B,2,1,0,1,Rh,C41 H36 B1 P2 Rh1,81,B C C C C P P,B C C C C C P P,3,1
PADZAY,B,2,1,0,1,Ni,C24 H40 N2 Ni1 O2,69,N N O O,N N O O,4,2
PAKLUL,B,2,1,0,1,Pd,C22 H34 Cl1 N4 Pd1 1+,62,C C Cl N,C C Cl N,4,2
PANBEO,B,2,1,0,1,Au,C24 H34 Au1 N6 S2 1+,67,C N S S,C N S S,1,3
PAQYOY,B,2,1,0,1,Pd,C25 H25 Cl1 I2 N4 O1 Pd1,59,C C I I,C C I I,4,2
PAQYUB,B,2,1,0,1,Ru,C8 H20 Cl2 O4 Ru1 S4,39,Cl Cl S S S S,Cl Cl S S S S,6,2
PAQZAL,B,2,1,0,1,Pd,C29 H29 I2 N5 O1 Pd1,67,C C I I,C C I I,4,2
PAQZIQ,B,2,1,0,1,Ru,C10 H24 Cl2 O4 Ru1 S4,45,Cl Cl S S S S,Cl Cl S S S S,6,2
PATCUK,B,2,1,0,1,Pt,C21 H36 N1 P1 Pt1 S1,61,C C P S,C C P S,4,2
PAVHIE,B,2,1,0,1,V,C23 H19 N4 O4 V1,51,N N O O O O,N N O O O O,3,5
PAXPOW,B,2,1,0,1,Pt,C10 H13 Cl2 F3 N2 O2 Pt1 S1,34,Cl Cl N S,Cl Cl N S,4,2
PAXQOX,B,2,1,0,1,Pt,C9 H22 N2 O3 Pt1 S2,39,N O S S,N O S S,0,2
PAYCUN,B,2,1,0,1,Re,C21 H12 Cl1 N4 O3 Re1,42,C C C Cl N N,C C C Cl N N,3,1
PAYTOZ,B,2,1,0,1,Fe,C33 H43 Cl2 Fe1 N3 O2,84,Cl Cl N N O,Cl Cl N N O,4,2
PBUXNI,B,2,1,0,1,Ni,C11 H19 N4 Ni1 O2 1+,37,N N N N,N N N N,4,2
PCESMO,B,2,1,0,1,Mo,C13 H5 Mo1 N4 S4 1-,27,C C C C C S S S S,C C C C C S S S S,0,4
PEBKAJ,B,2,1,0,1,Pd,C15 H32 Cl2 N1 P1 Pd1,52,C Cl Cl P,C Cl Cl P,4,2
PEBKEN,B,2,1,0,1,Ni,C15 H32 Cl2 N1 Ni1 P1,52,C Cl Cl P,C Cl Cl P,4,2
PECGUA,B,2,1,0,1,Au,C16 H12 Au1 S4 1-,33,S S S S,S S S S,1,3
PECHEL,B,2,1,0,1,Au,C14 H10 Au1 N2 S4 1-,31,S S S S,S S S S,1,3
PEDNES,B,2,1,0,1,Pt,C21 H19 N3 O1 Pt1 S3,48,N S S S,N S S S,4,2
PEHKIY,B,2,1,0,1,Mo,C7 H8 Mo1 N4 O5,25,N N O O O O O,N N O O O O O,2,6
PEKMEZ,B,2,1,0,1,Au,C17 H29 Au1 Cl1 N1 O1,50,C Cl,C Cl,3,1
PEKMOJ,B,2,1,0,1,Au,C26 H39 Au1 Cl1 N1 O1,69,C Cl,C Cl,3,1
PEKMUP,B,2,1,0,1,Au,C31 H45 Au1 Cl1 N1 O1,80,C Cl,C Cl,3,1
PEKNAW,B,2,1,0,1,Au,C31 H41 Au1 Cl1 N1 O1,76,C Cl,C Cl,3,1
PENZIR,B,2,1,0,1,Ru,C14 H27 Cl1 O2 Ru1 S2,47,C C C C C Cl S S,C C C C C Cl S S,4,2
PHPCMN,B,2,1,0,1,Mn,C22 H15 Mn1 O4 P1 1-,43,C C C C P,C C C C P,1,-1
PIBNEV,B,2,1,1,0,Y,C28 H42 N1 Y1,72,C C C C C C C C C C H N,C C C C C C C C C C N,3,3
PIBRIE,B,2,1,0,1,Pt,C8 H13 Cl2 N1 O1 Pt1 S1,27,Cl Cl N S,Cl Cl N S,4,2
PIDCAJ,B,2,1,0,1,Ni,C36 H29 N3 Ni1 P2 S2,73,P P S S,P P S S,0,2
PIFVAB,B,2,1,0,1,Pt,C30 H25 Cl2 N1 P2 Pt1 S1,62,Cl Cl P S,Cl Cl P S,4,2
PIGQIG,B,2,1,0,1,Ru,C35 H35 N5 O3 Ru1 S1,80,N N N O O S,N N N O O S,4,2
PIGQOM,B,2,1,0,1,Ru,C33 H32 N6 O3 Ru1 S1,76,N N N O O S,N N N O O S,4,2
PIGWOT,B,2,1,0,1,Pt,C19 H12 N6 Pt1,38,C N N N,C N N N,4,2
PIKPEG,B,2,1,0,1,Au,C18 H26 Au1 Cl1 N2,48,C Cl,C Cl,3,1
PIKREJ,B,2,0,1,1,Mo,C13 H7 Br2 Mo1 O7 1-,30,O O O O O O,O O O O O O O,2,6
PIKRIN,B,2,0,1,1,Mo,C13 H8 Br1 Mo1 O7 1-,30,O O O O O O,O O O O O O O,2,6
PIVLUD,B,2,1,0,1,Rh,C40 H34 N3 Rh1,78,C C C C N N,C C C C N N,3,1
PIVMEO,B,2,1,0,1,Rh,C34 H22 N3 O2 Rh1,62,C C N N,C C N N,3,1
PIVMOY,B,2,1,0,1,Rh,C36 H26 N3 O4 Rh1,70,C C N N,C C N N,3,1
PIVNAL,B,2,1,0,1,Rh,C41 H34 N3 O2 Rh1,81,C C C C N N,C C C C N N,3,1
PIWHUZ,B,2,1,1,0,Cu,C24 H44 Cl1 Cu1 N6,76,Cl H N N,Cl N N,1,1
PIXTEV,B,2,1,0,1,Ti,C11 H21 N5 O4 Ti1,42,N N N N N O O,N N N N N O O,2,4
PIYYON,B,2,1,0,1,Fe,C16 H24 Cl2 Fe1 N3 P1,47,Cl Cl N N P,Cl Cl N N P,4,2
PIYZAA,B,2,1,0,1,Fe,C12 H21 Br2 Fe1 N2 P1,39,Br Br N P,Br Br N P,4,2
PIZGOW,B,2,1,0,1,Ru,C21 H28 Cl2 N4 O1 Ru1 S1,58,Cl Cl N N N S,Cl Cl N N N S,4,2
POJMEH,B,2,1,0,1,Rh,C22 H52 N1 O2 P2 Rh1 Si2,82,N O O P P,N O O P P,1,3
POQSAP,B,2,1,0,1,Ni,C30 H27 N2 Ni1 O1 P1 S1,63,N O P S,N O P S,0,2
POSZEC,B,2,1,0,1,Pt,C8 H6 N4 Pt1 S2,21,C C S S,C C S S,0,2
POWCEJ,B,2,1,0,1,Ru,C29 H29 Cl1 N4 P1 Ru1 1+,65,Cl N N N N P,Cl N N N N P,6,2
POWDAG,B,2,1,0,1,Ru,C38 H30 O4 P2 Ru1,75,C C O O P P,C C O O P P,0,2
POWFOW,B,2,1,0,1,V,C19 H19 N2 O5 V1,46,N O O O O,N O O O O O,3,5
POZPAX,B,2,1,0,1,Ni,C40 H28 N8 Ni1,77,N N N N N N,N N N N N N,4,2
PUCFEY,B,2,1,0,1,Pt,C16 H20 Cl2 O2 Pt1 S2,43,Cl Cl S S,Cl Cl S S,4,2
PUFQUC,B,2,1,0,1,Pt,C12 H14 N2 Pt1,29,C C N N,C C N N,4,2
PUHJUZ,B,2,1,0,1,Fe,C24 H16 Fe1 N6 O6,53,N N N N O O,N N N N O O,4,2
PUMRUM,B,2,1,0,1,Os,C24 H49 Cl1 N2 O3 Os1 P2,82,C C Cl O O P P,C C Cl O O P P,2,4
PUNFUB,B,2,1,0,1,Ru,C15 H21 Cl2 N3 O1 Ru1 S1,44,Cl Cl N N N S,Cl Cl N N N S,4,2
PUXMEB,B,2,1,1,0,Rh,C31 H31 B1 N6 O1 P1 Rh1 S3,75,C H P S S,C P S S,1,1
QABFOP,B,2,1,0,1,W,C13 H13 N1 O6 W1,34,C C C C C C,C C C C C C,2,0
QAHYAZ,B,2,1,0,1,Zr,C27 H29 P1 Zr1,58,C C C C C C C C C C C C P,C C C C C C C C C C C C P,4,2
QAMHOC,B,2,1,0,1,Pd,C18 H20 Cl2 N1 P1 Pd1,43,C C Cl Cl P,C C Cl Cl P,4,2
QANGOB,B,2,1,0,1,Ru,C28 H27 Cl1 N4 O2 P1 Ru1 1+,64,Cl N N N N P,Cl N N N N P,4,2
QANGUH,B,2,1,0,1,Ru,C28 H27 Cl1 N4 O2 P1 Ru1 1+,64,Cl N N N N P,Cl N N N N P,4,2
QANLAV,B,2,1,0,1,Ni,C26 H22 N8 Ni1 O2,59,N N N O O,N N N N O O,4,2
QAQVEJ,B,2,1,1,0,Ta,C29 H44 N3 O1 Ta1,78,N N N O,C N N N O,5,5
QARTUY,B,2,1,0,1,Ru,C30 H28 Cl1 N2 Ru1 S3 1+,65,Cl N N S S S,Cl N N S S S,4,2
QASBIV,B,2,1,0,1,Ir,C14 H19 Ir1 O2 S2,38,C C C C C S S,C C C C C S S,1,3
QATKUT,B,2,1,0,1,Mo,C18 H16 Mo1 N2 O7,44,N N O O O O O,N N O O O O O,4,6
QECVOJ,B,2,1,0,1,Pd,C18 H21 N1 O2 P1 Pd1 1+,44,C O O P,C O O P,4,2
QEFLEV,B,2,1,0,1,Co,C29 H37 Co1 N5 O2 1+,74,N N N O O,N N N N O O,1,3
QEFLIZ,B,2,1,0,1,Co,C22 H32 Co1 N4 O2 1+,61,N N N N O O,N N N N O O,1,3
QEFLUL,B,2,1,0,1,Co,C24 H35 Co1 N5 O2 1+,67,N N N O O,N N N N O O,1,3
QEFMAS,B,2,1,0,1,Co,C25 H37 Co1 N5 O2 1+,70,N N N O O,N N N N O O,1,3
QEHQEZ,B,2,1,0,1,Cr,C14 H11 Cr1 N1 O6,33,C C C C C C,C C C C C C,2,0
QEHQID,B,2,1,0,1,Cr,C14 H15 Cr1 N1 O7,38,C C C C C C,C C C C C C,2,0
QEHQOJ,B,2,1,0,1,Cr,C11 H11 Cr1 N1 O6,30,C C C C C C,C C C C C C,2,0
QEKDOB,B,2,1,0,1,Rh,C21 H39 Cl1 N1 O2 P2 Rh1,67,C Cl O O P P,C Cl O O P P,1,3
QEPHOI,B,2,1,0,1,Ru,C34 H47 N1 O1 P1 Ru1 1+,85,C C C C C C C P,C C C C C C C P,4,2
QERLEE,B,2,1,0,1,W,C25 H25 N1 O9 W1,61,C C C C C C,C C C C C C,2,0
QESGUQ,B,2,1,0,1,V,C14 H17 N2 O5 V1,39,N O O O O,N O O O O,3,5
QESYUI,B,2,1,0,1,W,C30 H24 N1 O4 P1 W1,61,C C C C C P,C C C C C P,2,0
QESZET,B,2,1,0,1,Cr,C16 H16 Cr1 N2 O5,40,C C C C C C,C C C C C C,2,0
QETJUU,B,2,1,0,1,Mn,C17 H16 Mn1 N3 O2,39,N N N O O,N N N O O,7,5
QICLEU,B,2,1,0,1,Pt,C20 H18 Cl2 F6 N2 Pt1,49,Cl Cl N N,Cl Cl N N,4,2
QICZEI,B,2,1,0,1,Ti,C24 H38 O2 Ti1,65,C C C C C C C C C C O O,C C C C C C C C C C O O,2,4
QIGLID,B,2,1,0,1,Ti,C26 H29 O1 P1 Ti1,58,C C C C C C C C C C C O P,C C C C C C C C C C C O P,2,4
QIHLEA,B,2,1,0,1,Pd,C24 H22 Cl3 N2 P1 Pd1,53,C Cl Cl P,C Cl Cl P,4,2
QIKQOT,B,2,1,0,1,Pt,C26 H29 N5 O1 Pt1,62,N N N O,N N N O,4,2
QIQNUB,B,2,1,0,1,Pt,C12 H14 Br1 Cl1 O2 Pt1 S3,34,Cl O S S,Cl O S S,4,2
QIRYEW,B,2,1,0,1,Au,C16 H15 Au1 F5 N3,40,C C,C C,3,1
QIRYOG,B,2,1,0,1,Au,C16 H11 Au1 F9 N3,40,C C,C C,3,1
QIZTOJ,B,2,1,0,1,W,C30 H24 N2 O7 W1,64,O O O O O O O,O O O O O O O,4,6
QOFSUB,B,2,1,0,1,Os,C31 H22 N8 O2 Os1,64,N N N N N O,N N N N N O,4,2
QOKPOX,B,2,1,0,1,Ni,C37 H37 Br2 N2 Ni1 P1,80,Br Br C P,Br Br C P,4,2
QOLWOD,B,2,1,0,1,V,C15 H17 N3 O5 V1 1+,41,N N N O O O O,N N N O O O O,3,5
QOSTOI,B,2,1,0,1,Pt,C20 H24 F6 N2 O6 Pt1 S2,61,N N O O,N N O O,4,2
QOYFIU,B,2,1,0,1,Pd,C22 H20 Cl2 N1 O3 P1 Pd1,50,C Cl Cl P,C Cl Cl P,4,2
QUBPIM,B,2,1,0,1,Ni,C16 H20 N6 Ni1 O1 S2,46,N N N O,N N N O,0,2
QUDDUP,B,2,1,0,1,Pd,C14 H8 F6 N2 O4 Pd1,35,N N O O,N N O O,4,2
QUJRIX,B,2,1,0,1,Ti,C15 H17 Cl2 N5 O2 Ti1,42,Cl Cl N N N O O,Cl Cl N N N O O,2,4
QUNYAA,B,2,1,0,1,Fe,C26 H12 Fe1 N10 S4,53,N N N N N N,N N N N N N,4,2
QURSAZ,B,2,1,0,1,Pt,C13 H14 N3 Pt1 1+,31,C C N N,C C N N,4,2
QURSED,B,2,1,0,1,Pt,C29 H26 N2 P1 Pt1 1+,59,C C N P,C C N P,4,2
QUSHOC,B,2,1,0,1,Pt,C15 H15 Cl2 F2 N1 O2 Pt1 S1,39,Cl Cl N S,Cl Cl N S,4,2
QUTJUM,B,2,1,0,1,Ni,C20 H16 Cl2 N12 Ni1,51,N N N N N,N N N N N N,4,2
QUWPEE,B,2,1,0,1,Cr,C13 H9 Cr1 N1 O5,29,C C C C C C,C C C C C C,2,0
RABWAO,B,2,1,0,1,Rh,C32 H33 Cl1 N1 O1 P2 Rh1,71,C C C C Cl P,C C C C Cl P,3,1
RACJAJ,B,2,1,1,0,Ni,C27 H22 B1 I1 N6 Ni1,58,H I N N N,I N N N,2,2
RACJUD,B,2,1,1,0,Ni,C27 H22 B1 Br1 N6 Ni1,58,Br H N N N,Br N N N,2,2
RACMAM,B,2,1,0,1,Ir,C23 H27 B1 Ir1 N7 O4,63,C C C N N N,C C C N N N,5,3
RADCUW,B,2,1,0,1,Fe,C26 H20 Fe1 N6 O2,55,N N N N O O,N N N N O O,4,2
RADDAD,B,2,1,0,1,Fe,C28 H24 Fe1 N6 O2,61,N N N N O O,N N N N O O,4,2
RAFGEK,B,2,1,0,1,Ni,C40 H38 B2 Ni1 P2,83,B B C C C C P P,B B C C C C P P,4,0
RAGBAC,B,2,1,0,1,Au,C13 H12 Au1 N3 S2,31,C N S S,C N S S,1,3
RAGGUE,B,2,1,0,1,Ru,C26 H24 N7 Ru1 S1 1+,59,N N N N N S,N N N N N S,4,2
RAMDEQ,B,2,1,0,1,Pd,C24 H32 Cl1 N3 O1 Pd1,62,Cl N N N,Cl N N N,4,2
RAMDIU,B,2,1,0,1,Pd,C20 H23 Br1 Cl1 N3 O1 Pd1,50,Cl N N N,Cl N N N,4,2
RAPHIB,B,2,1,0,1,Ni,C19 H43 Cl1 N2 Ni1 P2,68,Cl N P P,Cl N P P,4,2
RARTEM,B,2,1,0,1,Pt,C12 H12 Cl1 N5 Pt1,31,Cl N N N,Cl N N N,4,2
RASBIW,B,2,1,0,1,Mo,C15 H16 Mo1 N4 O5 S2,43,N N O O O O O,N N O O O O O,4,6
RAYQUG,B,2,1,0,1,Rh,C31 H41 B1 F3 O3 P2 Rh1 S1,83,B O O P P,B C O P P,3,1
REDYUU,B,2,1,0,1,Pt,C32 H32 Cl2 N1 O1 P3 Pt1,72,Cl Cl P P,Cl Cl P P,4,2
REFROK,B,2,1,0,1,Pd,C13 H26 Cl2 N1 O1 P1 Pd1,45,C Cl N P,C Cl N P,4,2
REGGER,B,2,1,0,1,Ru,C32 H30 Br1 Cl1 N5 Ru1 1+,70,C C C C C C Cl N N,C C C C C C Cl N N,4,2
REHPID,B,2,1,0,1,Ir,C24 H25 Ir1 N2 O2,54,C C C C C N O,C C C C C N O,1,3
REHWEG,B,2,1,0,1,Pt,C5 H9 Cl2 N1 O1 Pt1 S2,21,Cl Cl N S,Cl Cl N S,4,2
REJXUB,B,2,1,0,1,Pt,C14 H16 Cl1 N5 Pt1,37,Cl N N N,Cl N N N,4,2
REKCIV,B,2,1,0,1,Ru,C31 H45 N2 O2 P2 Ru1 1+,83,C C C C C O O P P,C C C C C O O P P,2,4
RELDAQ,B,2,1,0,1,Pd,C7 H13 Cl1 N4 O1 Pd1 S1,28,Cl N N S,Cl N N S,4,2
RELZAL,B,2,1,0,1,Ru,C21 H29 Cl1 O5 Ru1 S3,60,Cl O O S S S,Cl O O S S S,4,2
RENJUQ,B,2,1,0,1,Ru,C24 H23 N4 O3 Ru1 S1 1+,56,N N N N O S,N N N N O S,4,2
RERJOO,B,2,1,0,1,Rh,C38 H35 Cl1 N1 O2 P2 Rh1,80,Cl N O O P P,Cl N O O P P,1,3
RETNUB,B,2,0,1,1,Re,C22 H33 N6 O2 Re1 S4,68,N N O S S,N N O O S S,3,5
REVXIZ,B,2,1,0,1,Ru,C16 H22 O8 Ru1 S2,49,O O O O S S,O O O O S S,4,2
REYNEP,B,2,1,0,1,Pd,C31 H43 N2 O1 Pd1 1+,78,C C C N N,C C C N N,4,2
RIBHEQ,B,2,1,0,1,Pd,C14 H26 Cl2 N4 Pd1,47,C C Cl Cl,C C Cl Cl,4,2
RIBXAE,B,2,1,0,1,Pd,C40 H34 Cl2 N2 O2 P2 Pd1,83,Cl Cl N N,Cl Cl N N,4,2
RIRJUX,B,2,1,0,1,Cr,C22 H17 Cr1 N1 O5,46,C C C C C C,C C C C C C,2,0
RIRKAE,B,2,1,0,1,Cr,C25 H21 Cr1 N1 O5,53,C C C C C C,C C C C C C,2,0
RIRXOF,B,2,1,0,1,Mn,C20 H24 Mn1 N3 O4,52,N N N O O,N N N O O,3,5
RITRAP,B,2,1,0,1,Ru,C8 H18 Cl1 O5 Ru1 S3 1+,36,C C Cl O O S,C C Cl O O S,4,2
RIVFOR,B,2,1,0,1,Ru,C12 H10 Cl2 N2 O8 P2 Ru1,37,C C Cl Cl N N,C C Cl Cl N N,4,2
RIZNUL,B,2,1,0,1,Os,C19 H25 B1 N7 Os1 1+,53,C C C C C N N N,C C C C C N N N,4,2
ROBLOL,B,2,1,1,0,Cu,C17 H24 Cu1 O1 1+,43,C C C,C C C C C,1,1
ROBLUR,B,2,1,1,0,Cu,C21 H33 Cu1 N1 1+,56,C C C,C C C C C,1,1
ROLQIT,B,2,1,0,1,Ru,C12 H26 Cl2 O4 Ru1 S3,48,Cl Cl O S S S,Cl Cl O S S S,4,2
RORQAT,B,2,1,0,1,Au,C35 H32 Au1 B1 Cl1 F10 P1 Si1,82,B Cl P,B Cl P,3,1
ROVXEH,B,2,1,0,1,Cu,C20 H18 Cu1 N6 O4 S4 1+,53,N N O O,N N O,3,1
RUHJOV,B,2,1,0,1,Ru,C26 H29 N2 O1 P1 Ru1 S5,65,N N P S S S,N N P S S S,4,2
RUHPOA,B,2,1,0,1,Pd,C17 H31 Cl2 N3 O1 Pd1,55,C Cl Cl N,C Cl Cl N,4,2
RUKMEP,B,2,1,0,1,Ru,C25 H20 N5 Ru1 S1 1+,52,N N N N N S,N N N N N S,6,2
RULTID,B,2,1,1,0,Ni,C31 H38 F8 N2 Ni1,80,C C C H,C C C,2,2
RUPGUG,B,2,1,0,1,Ru,C14 H21 Cl2 N3 O2 Ru1 S2,45,Cl Cl N N S S,Cl Cl N N S S,4,2
RUQVAA,B,2,1,0,1,W,C38 H30 N1 O5 P1 W1,76,C C C C C C,C C C C C C,2,0
RUZYUG,B,2,1,0,1,W,C14 H16 O3 W1,34,C C C C C C O O O,C C C C C C O O O,4,6
SABGAE,B,2,1,0,1,Re,C25 H17 N3 O4 Re1 1+,50,C C C N N N,C C C N N N,3,1
SACDEI,B,2,1,0,1,Pd,C37 H30 Cl1 N2 P2 Pd1 1+,73,C Cl P P,C Cl P P,4,2
SAFMOB,B,2,1,0,1,Cu,C10 H20 Cl1 Cu1 N2 S3,37,C Cl S S,Cl S S,3,1
SAFMUH,B,2,1,0,1,Cu,C10 H20 Br1 Cu1 N2 S3,37,Br C S S,Br S S,3,1
SAGZIK,B,2,1,0,1,Ni,C16 H14 N6 Ni1 S2,39,N N S S,N N S S,0,2
SAKLOG,B,2,1,0,1,Fe,C38 H28 Fe1 N10,77,N N N N N N,N N N N N N,4,2
SAKSUS,B,2,1,0,1,Cr,C11 H10 Cl1 Cr1 N3 O5,31,C C C C C C,C C C C C C,2,0
SALZEN,B,2,1,0,1,Pd,C32 H36 N2 O8 Pd1,79,C C N N,C C N N,4,2
SATVUG,B,2,1,0,1,Ir,C36 H39 B1 Ir1 N7,84,C C C N N N,C C C N N N,5,3
SAVREP,B,2,1,0,1,Pd,C26 H32 Cl2 N2 Pd1,63,Cl Cl N N,Cl Cl N N,4,2
SAZDAB,B,2,1,0,1,Cu,C11 H30 Cu1 N3 Si2,47,C N,C N,3,1
SEFCIP,B,2,1,0,1,Zr,C20 H27 P1 Zr1,49,C C C C C C C C C C C C P,C C C C C C C C C C C C P,4,2
SERJUU,B,2,1,0,1,Pd,C22 H32 Cl1 N3 O1 P1 Pd1 1+,61,C Cl N P,C Cl N P,4,2
SESXIZ,B,2,1,0,1,Pt,C24 H29 Cl2 N3 O1 Pt1 S1,61,Cl Cl N S,Cl Cl N S,4,2
SESXOF,B,2,1,0,1,Pt,C24 H29 Cl2 N3 O4 Pt1 S1,64,Cl Cl N S,Cl Cl N S,4,2
SESXUL,B,2,1,0,1,Pt,C27 H35 Cl2 N3 O1 Pt1 S1,70,Cl Cl N S,Cl Cl N S,4,2
SESZIC,B,2,1,0,1,Mo,C27 H15 Mo1 N5 P1 S4 1-,53,C P S S S S,C P S S S S,0,4
SEVKOU,B,2,1,0,1,Pd,C19 H21 Cl1 N1 O3 P1 Pd1,47,C Cl N P,C Cl N P,4,2
SEVLAH,B,2,1,0,1,Pd,C21 H27 N1 O4 P1 Pd1 1+,55,C N O P,C N O P,4,2
SEWNUE,B,2,1,0,1,W,C20 H12 N2 O6 W1,41,C C C C C C,C C C C C C,2,0
