IDs,metal,motif_class,mechanism_class,oxidation_delta_ilp_minus_reference,full_connectivity_match,metal_connectivity_match,ilp_oxidation,reference_oxidation,ilp_ligands,reference_ligands
FINTIG,W,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CN(C)[C-2]CP(c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)[C]CP(c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FINVAA,W,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CSC([C-2]N(C)C)SC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CSC([C]N(C)C)SC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FINVII,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CSC([C-2]N(C)C)SC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CSC([C]N(C)C)SC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FINVOO,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CSC[C-2]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CSC[C]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FINVUU,W,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CSC[C-2]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CSC[C]N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FIQPOK,Pd,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,NC(=S)N=NC1=C2C=CC=[N+]=C2c2ncccc21 || NC([S-])=N[N-]C1=C2C=CC=[N+]=C2c2ncccc21,NC([S-])=NN=C1c2cccnc2-c2ncccc21 || NC([S-])=NN=C1c2cccnc2-c2ncccc21
FIRFAO,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CN(C)[C-2]C=C(c1ccccc1)N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)[C]C=C(c1ccccc1)N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FIRFES,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CN(C)[C-2]C=C(c1ccccc1)N(C)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CN(C)[C]C=C(c1ccccc1)N(C)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FIWNOQ,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || O=C1OCCN1Cc1ccccn1 || [Cl-] || [Cl-],CS(C)=O || O=C1OCCN1Cc1ccccn1 || [Cl-] || [Cl-]
FMBCNI,Ni,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,4,1,1,4,0,CC1=C(C)[B-2](F)C(C)=C(C)[B-2]1F || [C-]#[O+] || [C-]#[O+],CC1=C(C)B(F)C(C)=C(C)B1F || [C-]#[O+] || [C-]#[O+]
FOBREV,Fe,N_O_only_coordination,metal_disconnection_or_ligand_partition,0,1,1,2,2,CC1=C(C)SC(=CC(=O)C(F)(F)F)[N-]1 || Cc1nc(C=C([O-])C(F)(F)F)sc1C,Cc1nc(C=C([O-])C(F)(F)F)sc1C || Cc1nc(C=C([O-])C(F)(F)F)sc1C
FOCSIA,Pt,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,COC[CH-]CNP(c1ccccc1)c1ccccc1 || COC[CH-]CN[P-2](c1ccccc1)c1ccccc1,COC[CH-]CNP(c1ccccc1)c1ccccc1 || COC[CH-]CNP(c1ccccc1)c1ccccc1
FOGMIX,W,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,C=CN=C1N(C=C)[C-2]C1(C)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C=CN=C1N(C=C)[C]C1(C)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
FORNAC,Pd,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)N1CN(C(C)C)c2ccccc21 || Cc1cccc(C)c1N[C-2]Nc1c(C)cccc1C || [Br-] || [Br-],CC(C)N1[C]N(C(C)C)c2ccccc21 || Cc1cccc(C)c1N[C]Nc1c(C)cccc1C || [Br-] || [Br-]
FOYPIU,Au,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC(c1ccccc1)N([C-2]Nc1cc2ccc1CCc1ccc(cc1)CC2)C(C)c1ccccc1 || [Cl-],CC(c1ccccc1)N([C]Nc1cc2ccc1CCc1ccc(cc1)CC2)C(C)c1ccccc1 || [Cl-]
FUPSAM,Fe,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,4,2,[O-]C(=NN=Cc1ccccn1)c1ccncc1 || [O-]C(=N[N-]C=C1C=CC=C[N-]1)c1ccncc1,[O-]C(=NN=Cc1ccccn1)c1ccncc1 || [O-]C(=NN=Cc1ccccn1)c1ccncc1
GABBOB,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,CS(C)=O || CS(C)=O || O=NC(=O)c1ccccc1,CS(C)=O || CS(C)=O || [O-]N=C([O-])c1ccccc1
GABBUH,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,CS(C)=O || CS(C)=O || O=NC(=O)c1ccccc1O,CS(C)=O || CS(C)=O || [O-]N=C([O-])c1ccccc1O
GABPUU,Fe,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[C-2]NC(C)c1ccccc1 || [C-]#[O+] || c1cc[cH-]c1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1,C[C]NC(C)c1ccccc1 || [C-]#[O+] || c1cc[cH-]c1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1
GABYUD,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,COC(=N[C-2]C(C)(C)C)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COC(=N[C]C(C)(C)C)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
GAFRIO,Pd,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || Cc1ccncc1 || [CH3-],Cc1ccncc1 || [CH3-] || c1ccc(-c2ccccn2)nc1
GAJQEN,Zn,heterocyclic_carbene_like,metal_disconnection_or_ligand_partition,0,1,1,2,2,Cc1c(C)[n+](C)[c-]n1C || Cc1c(C)c(C)[c-](C)c1C || Cc1c(C)c(C)[c-](C)c1C,CC1=C(C)N(C)[C]N1C || Cc1c(C)c(C)[c-](C)c1C || Cc1c(C)c(C)[c-](C)c1C
GALLIR,Pd,C_N_donor_cyanide_or_isocyanide,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Cc1cccc(C)c1N[C-2]Nc1ccccc1O || [C-]#[N+]c1c(C)cccc1C || [Cl-] || [Cl-],Cc1cccc(C)c1N[C]Nc1ccccc1O || [C-]#[N+]c1c(C)cccc1C || [Cl-] || [Cl-]
GAMHIO,Ag,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC(C)c1cccc(C(C)C)c1N1[C-2]N(c2c(C(C)C)cccc2C(C)C)Cc2cccc3cccc(c23)C1 || [Br-],CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)Cc2cccc3cccc(c23)C1 || [Br-]
GAMHOU,Cu,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC(C)c1cccc(C(C)C)c1N1[C-2]N(c2c(C(C)C)cccc2C(C)C)Cc2cccc3cccc(c23)C1 || [Br-],CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)Cc2cccc3cccc(c23)C1 || [Br-]
GAMLEM,W,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-4,1,1,2,6,O=O || O=O || [O-2] || [O-]c1cccc2cccnc12,[O-2] || [O-][O-] || [O-][O-] || [O-]c1cccc2cccnc12
GAQTEA,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CS(C)=O || CS(C)=O || O=C(O)C1=C[N-]C(=C2C=CC(C(=O)O)=C[N-]2)C=C1 || [Cl-] || [Cl-],CS(C)=O || CS(C)=O || O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1 || [Cl-] || [Cl-]
GATSIG,Pd,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Cc1cc(C)c(N=CN(c2c(C)cc(C)cc2C)[P-2](c2ccccc2)c2ccccc2)c(C)c1 || [Cl-] || [Cl-],Cc1cc(C)c(N=CN(c2c(C)cc(C)cc2C)P(c2ccccc2)c2ccccc2)c(C)c1 || [Cl-] || [Cl-]
GECPUC,V,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,CC(=CC(=O)c1ccccc1)N=NC(=O)c1ccccc1N || C[O-] || [O-2],CC(C=C([O-])c1ccccc1)=NN=C([O-])c1ccccc1N || C[O-] || [O-2]
GEFBUR,Mo,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-4,1,1,2,6,O=C([O-])c1ccccn1 || O=O || O=O || [O-2],O=C([O-])c1ccccn1 || [O-2] || [O-][O-] || [O-][O-]
GEFXAT,Pd,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,COC(=O)C(CC[S-2](C)=O)[N-]C(=O)c1cc(Cl)ccn1 || [Cl-],COC(=O)C(CCS(C)=O)[N-]C(=O)c1cc(Cl)ccn1 || [Cl-]
GEPGIT,Re,S_Se_donor_no_M_C,metal_disconnection_or_ligand_partition,0,1,1,5,5,CCN(CC)C([S-])=NC(=Nc1ccccc1C(C)=NN=C([S-])NC)c1ccccc1 || [N-3],CCN(CC)C(=S)N=C([N-]c1ccccc1C(C)=NN=C([S-])NC)c1ccccc1 || [N-3]
GEPGOZ,Tc,S_Se_donor_no_M_C,metal_disconnection_or_ligand_partition,0,1,1,5,5,CCN(CC)C([S-])=NC(=Nc1ccccc1C(C)=NN=C([S-])NC)c1ccccc1 || [N-3],CCN(CC)C(=S)N=C([N-]c1ccccc1C(C)=NN=C([S-])NC)c1ccccc1 || [N-3]
GEPZEG,Co,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,1,-1,COP(OC)OC || COP(OC)OC || COP(OC)OC || CO[P-2](OC)OC,COP(OC)OC || COP(OC)OC || COP(OC)OC || COP(OC)OC
GESFOB,Pd,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Cc1cc(C)n(CCCO[P-2](c2ccccc2)c2ccccc2)n1 || [Cl-] || [Cl-],Cc1cc(C)n(CCCOP(c2ccccc2)c2ccccc2)n1 || [Cl-] || [Cl-]
GETJUK,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,N#CC(=S)C(=S)C#N || c1cnc(-c2ncccn2)nc1,N#CC([S-])=C([S-])C#N || c1cnc(-c2ncccn2)nc1
GEXLIH,Pd,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,FC(F)(F)c1cccc(C(F)(F)F)c1P1OCCO1 || FC(F)(F)c1cccc(C(F)(F)F)c1[P-2]1OCCO1 || [CH3-] || [CH3-],FC(F)(F)c1cccc(C(F)(F)F)c1P1OCCO1 || FC(F)(F)c1cccc(C(F)(F)F)c1P1OCCO1 || [CH3-] || [CH3-]
GEYWEO,Pt,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CN1CCN(C)C1=NC1=CC=C[N-]C1=C1[N-]C=CC=C1N=C1N(C)CCN1C || [Cl-] || [Cl-],CN1CCN(C)C1=Nc1cccnc1-c1ncccc1N=C1N(C)CCN1C || [Cl-] || [Cl-]
GEYWUE,Pt,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CN(C)C(=NC1=CC=C[N-]C1=C1[N-]C=CC=C1N=C(N(C)C)N(C)C)N(C)C || [Cl-] || [Cl-],CN(C)C(=Nc1cccnc1-c1ncccc1N=C(N(C)C)N(C)C)N(C)C || [Cl-] || [Cl-]
GIFDEG,Ni,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,O=C(N=NC(=CC(=O)C(F)(F)F)C(F)(F)F)c1ccccc1 || c1ccc(N(c2ccccc2)n2cccc2P(c2ccccc2)c2ccccc2)cc1,[O-]C(=CC(=NN=C([O-])c1ccccc1)C(F)(F)F)C(F)(F)F || c1ccc(N(c2ccccc2)n2cccc2P(c2ccccc2)c2ccccc2)cc1
GIGGOV,Ru,carbonyl_like,metal_disconnection_or_ligand_partition,0,1,1,2,2,O=C(C=C1C=CC=C[N-]1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-](=Cc1ccccn1)c1ccccc1,[C-]#[O+] || [C-]#[O+] || [C-](=Cc1ccccn1)c1ccccc1 || [O-]C(=Cc1ccccn1)c1ccccc1
GIKGUC,Zr,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[CH-][CH-][CH-]1 || CP(C)CCP(C)C || CP(C)CCP(C)C || [CH3-],CP(C)CCP(C)C || CP(C)CCP(C)C || [CH3-] || c1cc[cH-]c1
GILGUD,W,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,-2,1,1,4,6,O=O || [CH2-][Si](C)(C)C || [O-2] || c1cc[cH-]c1,[CH2-][Si](C)(C)C || [O-2] || [O-][O-] || c1cc[cH-]c1
GILLIZ,Ru,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || [O-]c1cccc2nc3c4ccccc4c4ccccc4c3nc12 || c1ccc(-c2ccccn2)nc1,[O-]c1cccc2nc3c4ccccc4c4ccccc4c3nc12 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1
GILQOI,Ru,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,Cc1ccc(C(C)C)cc1 || N#CC(=S)C(=S)C#N || c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C(C)C)cc1 || N#CC([S-])=C([S-])C#N || c1ccc(P(c2ccccc2)c2ccccc2)cc1
GIRDET,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || O=c1oc2cc(Br)ccc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-],CS(C)=O || O=c1oc2cc(Br)ccc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-]
GIRDIX,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || O=c1oc2c(F)cc(F)cc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-],CS(C)=O || O=c1oc2c(F)cc(F)cc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-]
GIRDOD,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || O=c1oc2c(Cl)cc(Cl)cc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-],CS(C)=O || O=c1oc2c(Cl)cc(Cl)cc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-]
GIRDUJ,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || O=c1oc2c(Br)cc(Br)cc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-],CS(C)=O || O=c1oc2c(Br)cc(Br)cc2cc1-c1nc2ccccc2[nH]1 || [Cl-] || [Cl-]
GIRFES,Zr,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[CH-][CH-][CH-]1 || CP(C)CCP(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-],CP(C)CCP(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-] || c1cc[cH-]c1
GISRAD,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || Cc1nn(-c2ccccc2)c(O)c1C(=O)c1ccccc1 || [Cl-] || [Cl-],CS(C)=O || Cc1nn(-c2ccccc2)c(O)c1C(=O)c1ccccc1 || [Cl-] || [Cl-]
GISRIL,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || Cc1[n-]n(-c2ccccn2)c(=O)c1C(=O)C(F)(F)F || [Cl-],CS(C)=O || Cc1[n-]n(-c2ccccn2)c(=O)c1C(=O)C(F)(F)F || [Cl-]
GIWNEH,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,N[C-2]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],N[C]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
GIWPAF,Cr,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,Cn1cccc1[C-2]N || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],Cn1cccc1[C]N || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
GIXCIA,Os,C_N_donor_cyanide_or_isocyanide,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1 || CS(C)=O || C[S-2](C)=O || [C-]#N || [C-]#N,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1 || CS(C)=O || CS(C)=O || [C-]#N || [C-]#N
GOCFOU,W,carbonyl_like,coupled_ligand_charge_and_oxidation,4,1,1,4,0,CO[C-2]N1CCOCC1 || [C-2](c1ccccc1)N1CCCC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CO[C]N1CCOCC1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C](c1ccccc1)N1CCCC1
GODZAC,Pt,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,[c-]1c2c3cccccc-3c1C(c1ccccc1)=c1ccc([n-]1)=C(c1ccccc1)c1ccc([n-]1)C(c1ccccc1)=c1ccc([n-]1)=C2c1ccccc1,[c-]1c2c3cccccc-3c1C(c1ccccc1)=C1C=CC(=N1)C(c1ccccc1)=c1ccc([n-]1)=C(c1ccccc1)C1=NC(=C2c2ccccc2)C=C1
GOGGEO,Co,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,1,-1,CC1=C[CH-]C(P(c2ccc(C)cc2)c2ccc(C)cc2)=C[CH-]1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
GOMVEJ,Pt,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C[S-2](C)=O || [CH3-] || c1ccc(Nc2ccccn2)nc1,CS(C)=O || [CH3-] || c1ccc(Nc2ccccn2)nc1
GOMYOZ,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CS(C)=O || CSc1ccccc1N=Cc1cc(Cl)ccc1[O-] || C[S-2](C)=O || [Cl-],CS(C)=O || CS(C)=O || CSc1ccccc1N=Cc1cc(Cl)ccc1[O-] || [Cl-]
GONHEW,Ni,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CN(C)c1ccc(C#CC2=c3ccc([n-]3)=C(c3ccccc3)c3ccc([n-]3)C(C=O)=c3ccc([n-]3)=C(c3ccccc3)c3ccc2[n-]3)cc1,CN(C)c1ccc(C#Cc2c3nc(c(-c4ccccc4)c4ccc([n-]4)c(C=O)c4nc(c(-c5ccccc5)c5ccc2[n-]5)C=C4)C=C3)cc1
GOPQIL,Pd,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)[N-]C1=C2[N-]C=CC=C2CC1 || C[C-]=O || [Cl-],CC(C)N=C1CCc2cccnc21 || C[C-]=O || [Cl-]
GORYIV,Mn,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,CC(C)(C)C1=CC(=[Br+])C(=O)C(C=NC2CCCCC2N=Cc2cc(C(C)(C)C)cc(Br)c2[O-])=C1 || [N-3],CC(C)(C)c1cc(Br)c([O-])c(C=NC2CCCCC2N=Cc2cc(C(C)(C)C)cc(Br)c2[O-])c1 || [N-3]
GOTTOY,Mn,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,7,5,CC(C)C1COC(c2ccccc2[O-])=N1 || CC(C)C1CO[C-](c2ccccc2[O-])[N-]1 || [N-3],CC(C)C1COC(c2ccccc2[O-])=N1 || CC(C)C1COC(c2ccccc2[O-])=N1 || [N-3]
GUCBIR,Fe,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Cc1cccc(N(C)c2[n-]c(N=c3cccc(C)[n-]3)c3ccccc23)n1 || O=S(=O)([O-])C(F)(F)F || O=S(=O)([O-])C(F)(F)F,Cc1cccc(N=C2N=C(N(C)c3cccc(C)n3)c3ccccc32)n1 || O=S(=O)([O-])C(F)(F)F || O=S(=O)([O-])C(F)(F)F
GUFCAL,Pd,N_O_only_coordination,metal_disconnection_or_ligand_partition,0,1,1,2,2,CCCCc1ccc(C(=N[O-])c2ccccn2)cc1 || CCCCc1ccc(C(N=O)=C2C=CC=C[N-]2)cc1,CCCCc1ccc(C(=N[O-])c2ccccn2)cc1 || CCCCc1ccc(C(=N[O-])c2ccccn2)cc1
GUGZEN,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=CCONC1 || C[S-2](C)=O || [Cl-] || [Cl-],C1=CCONC1 || CS(C)=O || [Cl-] || [Cl-]
GUGZIR,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=CCONC1 || C[S-2](C)=O || [Cl-] || [Cl-],C1=CCONC1 || CS(C)=O || [Cl-] || [Cl-]
GUJCOD,Ru,carbonyl_like,coupled_ligand_charge_and_oxidation,-2,1,1,0,2,N#CC(=S)C(=S)C#N || [C-]#[O+] || [C-]#[O+] || c1ccc(-c2cccc(-c3ccccn3)n2)nc1,N#CC([S-])=C([S-])C#N || [C-]#[O+] || [C-]#[O+] || c1ccc(-c2cccc(-c3ccccn3)n2)nc1
GULGUR,Au,other_C_bound_ligand,metal_disconnection_or_ligand_partition,0,1,1,3,3,Fc1[c-]c(F)c(F)c(F)c1F || Fc1[c-]c(F)c(F)c(F)c1F || [C-](Nc1ccc2ccccc2c1)=[N+](Cc1ccccn1)Cc1ccccn1,Fc1[c-]c(F)c(F)c(F)c1F || Fc1[c-]c(F)c(F)c(F)c1F || [C](Nc1ccc2ccccc2c1)N(Cc1ccccn1)Cc1ccccn1
GULHAY,Au,other_C_bound_ligand,metal_disconnection_or_ligand_partition,0,1,1,3,3,Fc1[c-]c(F)c(F)c(F)c1F || Fc1[c-]c(F)c(F)c(F)c1F || [C-](NC1CCCCC1)=[N+](Cc1ccccn1)Cc1ccccn1,Fc1[c-]c(F)c(F)c(F)c1F || Fc1[c-]c(F)c(F)c(F)c1F || [C](NC1CCCCC1)N(Cc1ccccn1)Cc1ccccn1
GULQIO,V,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,NC(=O)c1ccccn1 || O=C([O-])c1ccccn1 || O=O || [O-2],NC(=O)c1ccccn1 || O=C([O-])c1ccccn1 || [O-2] || [O-][O-]
GULZUJ,Ni,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,[c-]1c2cccc1NC1=NC(=Nc3[c-]c(ccc3)Nc3[n-]c(c4ccccc34)[N-]2)c2ccccc21,[c-]1c2cccc1[nH]c1nc(nc3[c-]c(ccc3)[nH]c3nc(n2)-c2ccccc2-3)-c2ccccc2-1
GUNGUT,Ru,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,4,2,NC1=C[N-]C(=C[N-]c2ccccc2)C=C1 || O=C1NC(=O)c2c1c1cc(F)cnc1c1[n-]c3ccc(O)cc3c21 || [C-]#[O+] || [Cl-],Nc1ccc(C=Nc2ccccc2)nc1 || O=C1NC(=O)c2c1c1cc(F)cnc1c1[n-]c3ccc(O)cc3c21 || [C-]#[O+] || [Cl-]
GUSRUI,Pd,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CCn1cc[n-]c1=N[N-]c1ccc2ccccc2c1 || [Cl-] || [Cl-],CCn1ccnc1N=Nc1ccc2ccccc2c1 || [Cl-] || [Cl-]
GUSSAP,Pd,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CCn1cc[n-]c1=N[N-]c1ccc2ccccc2c1[N-]c1ccc(Cl)cc1 || [Cl-],CCn1ccnc1N=Nc1ccc2ccccc2c1[N-]c1ccc(Cl)cc1 || [Cl-]
HACDOE,Fe,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CCN([C-2]OC(=O)N(CC)CC)CC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CCN([C]OC(=O)N(CC)CC)CC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
HAHXOF,Os,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)P(c1cccc2c1oc1c(P(C(C)C)C(C)C)cccc12)C(C)C || C[S-2](C)=O || [Cl-] || [Cl-],CC(C)P(c1cccc2c1oc1c(P(C(C)C)C(C)C)cccc12)C(C)C || CS(C)=O || [Cl-] || [Cl-]
HAJHOP,Re,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [O-]C(=C([C-2]c1ccccc1)c1ccccc1)c1ccccc1,O=C(C(=[C-]c1ccccc1)c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
HAJNIP,W,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,2,0,CC(=O)C1=C(C)N(C)[C-2]C=C1c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(=O)C1=C(C)N(C)[C]C=C1c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
