IDs,charge,in_graph_consensus,status,validated,extraction_method,n_atoms,n_edges,n_heavy_edges,edges_0,error
ERECUA,1,1,ok,1,fast_binary,66,73,33,0-1;0-2;0-3;0-5;0-9;0-11;1-18;1-27;1-40;2-29;2-37;2-53;3-4;3-5;3-13;5-6;5-7;7-8;7-9;7-15;9-10;9-11;11-12;11-13;13-14;13-15;15-16;15-17;18-19;18-20;18-21;21-22;21-23;21-24;24-25;24-26;24-27;27-28;27-29;29-30;29-31;31-32;31-33;31-34;34-35;34-36;34-37;37-38;37-39;40-41;40-45;40-49;41-42;41-43;41-44;45-46;45-47;45-48;49-50;49-51;49-52;53-54;53-58;53-62;54-55;54-56;54-57;58-59;58-60;58-61;62-63;62-64;62-65,
EREDOV,0,1,ok,1,fast_binary,83,88,46,0-1;0-2;0-5;0-8;3-6;3-13;4-9;4-16;5-11;5-13;6-11;6-31;7-13;7-35;7-47;8-14;8-16;9-14;9-64;10-16;10-68;10-80;11-12;11-17;14-15;14-50;17-18;17-25;18-19;18-20;20-21;20-22;22-23;22-27;23-24;23-25;25-26;27-28;27-29;27-30;31-32;31-33;31-34;35-36;35-37;35-38;38-39;38-40;38-41;41-42;41-43;41-44;44-45;44-46;44-47;47-48;47-49;50-51;50-58;51-52;51-53;53-54;53-55;55-56;55-60;56-57;56-58;58-59;60-61;60-62;60-63;64-65;64-66;64-67;68-69;68-70;68-71;71-72;71-73;71-74;74-75;74-76;74-77;77-78;77-79;77-80;80-81;80-82,
EREHOZ,0,1,ok,1,fast_binary,53,58,38,0-1;0-9;0-46;1-2;1-3;3-4;3-5;5-6;5-7;7-8;7-9;9-47;10-11;10-19;10-47;11-12;11-13;13-14;13-15;15-16;15-17;17-18;17-19;19-20;21-22;21-46;21-47;23-24;23-32;23-48;24-25;24-26;26-27;26-28;28-29;28-30;30-31;30-32;32-49;33-34;33-42;33-49;34-35;34-36;36-37;36-38;38-39;38-40;40-41;40-42;42-43;44-45;44-48;44-49;46-52;48-52;50-52;51-52,
EREPIC,0,1,ok,1,fast_binary,30,32,24,0-1;1-3;1-5;1-7;1-10;1-21;2-3;4-5;6-7;8-9;8-11;10-11;10-18;11-12;12-13;12-14;14-15;14-16;16-17;16-18;18-29;19-20;19-22;21-22;21-29;22-23;23-24;23-25;25-26;25-27;27-28;27-29,
ERERID,0,1,ok,1,fast_binary,55,56,24,0-1;0-2;0-3;0-4;0-13;0-54;1-41;1-45;1-49;2-17;2-21;2-25;3-29;3-33;3-37;4-5;4-11;5-6;5-15;6-7;6-53;7-8;7-9;9-10;9-11;11-12;13-14;13-15;15-16;17-18;17-19;17-20;21-22;21-23;21-24;25-26;25-27;25-28;29-30;29-31;29-32;33-34;33-35;33-36;37-38;37-39;37-40;41-42;41-43;41-44;45-46;45-47;45-48;49-50;49-51;49-52,
ERESIE,0,1,ok,1,fast_binary,81,84,48,0-2;0-4;0-6;0-42;0-44;0-46;1-16;1-21;2-10;3-10;4-5;4-33;6-7;6-37;8-9;8-32;10-11;11-12;11-19;12-13;12-14;14-15;14-16;16-17;17-18;17-19;19-20;21-22;21-23;23-24;23-32;24-25;24-26;26-27;26-28;28-29;28-30;30-31;30-32;33-34;33-35;33-36;37-38;37-39;37-40;41-56;41-61;42-50;43-50;44-45;44-73;46-47;46-77;48-49;48-72;50-51;51-52;51-59;52-53;52-54;54-55;54-56;56-57;57-58;57-59;59-60;61-62;61-63;63-64;63-72;64-65;64-66;66-67;66-68;68-69;68-70;70-71;70-72;73-74;73-75;73-76;77-78;77-79;77-80,
EREVEC,0,1,ok,1,fast_binary,74,79,49,0-1;0-2;0-3;0-4;2-5;2-8;2-19;3-6;3-30;3-41;4-7;4-52;4-63;8-9;8-17;9-10;9-11;11-12;11-13;13-14;13-15;15-16;15-17;17-18;19-20;19-28;20-21;20-22;22-23;22-24;24-25;24-26;26-27;26-28;28-29;30-31;30-39;31-32;31-33;33-34;33-35;35-36;35-37;37-38;37-39;39-40;41-42;41-50;42-43;42-44;44-45;44-46;46-47;46-48;48-49;48-50;50-51;52-53;52-61;53-54;53-55;55-56;55-57;57-58;57-59;59-60;59-61;61-62;63-64;63-72;64-65;64-66;66-67;66-68;68-69;68-70;70-71;70-72;72-73,
EREVUT,0,1,ok,1,fast_binary,51,58,42,0-2;0-3;0-4;0-27;0-28;0-29;1-5;2-6;2-13;3-9;3-16;4-5;6-9;6-15;7-8;7-11;7-16;9-10;10-11;10-22;11-12;13-14;13-20;15-18;15-24;16-17;18-19;18-20;20-21;22-23;22-24;24-25;26-30;27-31;27-38;28-34;28-41;29-30;31-34;31-40;32-33;32-36;32-41;34-35;35-36;35-47;36-37;38-39;38-45;40-43;40-49;41-42;43-44;43-45;45-46;47-48;47-49;49-50,
EREXOP,0,1,ok,1,fast_binary,27,28,18,0-1;0-2;0-14;0-15;2-5;2-8;3-4;3-7;5-6;5-7;7-10;8-9;8-12;10-11;10-12;12-13;15-18;15-21;16-17;16-20;18-19;18-20;20-23;21-22;21-25;23-24;23-25;25-26,
ERIDAK,0,1,ok,1,fast_binary,67,71,44,0-1;0-2;0-3;0-9;0-10;0-11;1-12;2-17;2-28;2-39;3-42;3-45;3-56;4-9;5-10;6-11;7-12;8-12;8-13;13-14;13-15;13-16;17-18;17-26;18-19;18-20;20-21;20-22;22-23;22-24;24-25;24-26;26-27;28-29;28-37;29-30;29-31;31-32;31-33;33-34;33-35;35-36;35-37;37-38;39-40;39-41;39-42;42-43;42-44;45-46;45-54;46-47;46-48;48-49;48-50;50-51;50-52;52-53;52-54;54-55;56-57;56-65;57-58;57-59;59-60;59-61;61-62;61-63;63-64;63-65;65-66,
ERIFIV,1,1,ok,1,fast_binary,43,48,32,0-1;0-2;0-3;0-4;2-8;2-16;3-17;3-23;4-24;4-25;5-6;5-7;5-38;8-9;8-10;10-11;10-12;12-13;12-14;14-15;14-16;16-17;17-18;18-19;18-20;20-21;20-33;21-22;21-23;23-24;24-31;25-26;25-27;27-28;27-29;29-30;29-31;31-32;33-34;33-41;34-35;34-36;36-37;36-38;38-39;39-40;39-41;41-42,
ERINUP,0,1,ok,1,fast_binary,79,85,51,0-1;0-2;0-3;0-4;2-13;2-24;2-35;3-46;3-57;3-68;4-7;4-11;5-6;5-9;5-11;7-8;7-9;9-10;11-12;13-14;13-22;14-15;14-16;16-17;16-18;18-19;18-20;20-21;20-22;22-23;24-25;24-33;25-26;25-27;27-28;27-29;29-30;29-31;31-32;31-33;33-34;35-36;35-44;36-37;36-38;38-39;38-40;40-41;40-42;42-43;42-44;44-45;46-47;46-55;47-48;47-49;49-50;49-51;51-52;51-53;53-54;53-55;55-56;57-58;57-66;58-59;58-60;60-61;60-62;62-63;62-64;64-65;64-66;66-67;68-69;68-77;69-70;69-71;71-72;71-73;73-74;73-75;75-76;75-77;77-78,
ERIZIO,0,1,ok,1,fast_binary,79,85,43,0-1;0-4;0-22;0-23;0-24;0-25;0-26;0-27;1-28;1-31;1-34;2-27;3-4;3-5;4-8;5-6;5-37;6-7;6-38;7-39;7-40;7-41;8-9;8-42;9-10;9-16;10-11;10-15;11-12;11-43;12-13;12-44;13-14;13-45;14-15;14-46;15-47;16-17;16-21;17-18;17-48;18-19;18-49;19-20;19-50;20-21;20-51;21-52;22-23;22-26;22-53;23-24;23-54;24-25;24-55;25-26;25-56;26-57;28-29;28-30;28-58;29-59;29-60;29-61;30-62;30-63;30-64;31-32;31-33;31-65;32-66;32-67;32-68;33-69;33-70;33-71;34-35;34-36;34-72;35-73;35-74;35-75;36-76;36-77;36-78,
EROGUN,0,1,ok,1,fast_binary,53,53,21,0-1;0-2;0-42;2-3;2-16;2-29;3-4;3-8;3-12;4-5;4-6;4-7;8-9;8-10;8-11;12-13;12-14;12-15;16-17;16-21;16-25;17-18;17-19;17-20;21-22;21-23;21-24;25-26;25-27;25-28;29-30;29-34;29-38;30-31;30-32;30-33;34-35;34-36;34-37;38-39;38-40;38-41;42-43;42-51;43-44;43-45;45-46;45-47;47-48;47-49;49-50;49-51;51-52,
EROPOS,0,1,ok,1,fast_binary,65,71,36,0-1;0-2;0-3;0-40;0-41;0-42;0-43;0-44;3-4;3-7;4-5;4-20;5-6;5-19;6-7;6-18;7-8;8-9;8-16;8-17;9-10;9-14;9-15;10-11;10-12;10-13;20-21;20-29;21-22;21-36;22-23;22-35;23-24;23-28;24-25;24-26;24-27;28-29;28-34;29-30;30-31;30-32;30-33;36-37;36-38;36-39;40-41;40-44;40-61;41-42;41-57;42-43;42-53;43-44;43-49;44-45;45-46;45-47;45-48;49-50;49-51;49-52;53-54;53-55;53-56;57-58;57-59;57-60;61-62;61-63;61-64,
EROTOU,0,1,ok,1,fast_binary,56,60,27,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-13;3-4;3-7;3-8;4-6;4-19;5-12;6-13;6-24;7-13;7-15;8-9;8-10;8-11;12-14;12-23;13-40;14-36;14-48;14-52;15-16;15-17;15-18;19-20;19-21;19-22;23-28;23-32;23-44;24-25;24-26;24-27;28-29;28-30;28-31;32-33;32-34;32-35;36-37;36-38;36-39;40-41;40-42;40-43;44-45;44-46;44-47;48-49;48-50;48-51;52-53;52-54;52-55,
ERUQAK,0,1,ok,1,fast_binary,77,79,35,0-1;0-2;0-3;0-4;0-5;1-7;1-28;2-8;2-11;3-69;3-73;4-61;4-65;5-53;5-57;6-7;6-45;6-49;7-8;8-9;8-10;11-12;11-19;12-13;12-24;13-14;13-15;15-16;15-17;17-18;17-19;19-20;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-36;29-30;29-41;30-31;30-32;32-33;32-34;34-35;34-36;36-37;37-38;37-39;37-40;41-42;41-43;41-44;45-46;45-47;45-48;49-50;49-51;49-52;53-54;53-55;53-56;57-58;57-59;57-60;61-62;61-63;61-64;65-66;65-67;65-68;69-70;69-71;69-72;73-74;73-75;73-76,
ERUQEO,0,1,ok,1,fast_binary,77,79,35,0-1;0-2;0-3;0-4;0-5;1-7;1-28;2-8;2-11;3-61;3-65;4-53;4-57;5-69;5-73;6-7;6-45;6-49;7-8;8-9;8-10;11-12;11-19;12-13;12-20;13-14;13-15;15-16;15-17;17-18;17-19;19-24;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-36;29-30;29-41;30-31;30-32;32-33;32-34;34-35;34-36;36-37;37-38;37-39;37-40;41-42;41-43;41-44;45-46;45-47;45-48;49-50;49-51;49-52;53-54;53-55;53-56;57-58;57-59;57-60;61-62;61-63;61-64;65-66;65-67;65-68;69-70;69-71;69-72;73-74;73-75;73-76,
ERUQOZ,0,1,ok,1,fast_binary,40,44,31,0-1;0-2;0-3;0-4;0-7;0-8;3-14;5-9;5-13;6-7;6-14;7-15;8-16;8-20;9-10;9-27;10-11;10-28;11-12;11-14;12-13;12-29;13-30;15-16;15-21;16-17;17-18;17-31;18-19;18-32;19-20;19-33;20-34;21-22;21-26;22-23;22-35;23-24;23-36;24-25;24-37;25-26;25-38;26-39,
ERUQUE,0,1,ok,1,fast_binary,49,50,22,0-1;0-2;0-3;0-4;4-5;4-6;4-48;6-7;6-8;6-9;9-10;9-11;9-12;13-14;13-15;13-16;13-17;17-18;17-19;17-48;19-20;19-21;19-22;22-23;22-24;22-25;26-27;26-28;26-46;28-29;28-30;30-31;30-32;32-33;32-34;34-35;34-46;36-37;36-38;36-47;38-39;38-40;40-41;40-42;42-43;42-44;44-45;44-47;46-48;47-48,
ERUREP,0,1,ok,1,fast_binary,55,56,24,0-1;0-2;0-3;0-4;4-5;4-6;4-54;6-7;6-8;6-9;9-10;9-11;9-12;13-14;13-15;13-16;13-17;17-18;17-19;17-54;19-20;19-21;19-22;22-23;22-24;22-25;26-27;26-28;26-52;28-29;28-35;29-30;29-31;31-32;31-33;33-34;33-52;35-36;35-37;35-38;39-40;39-41;39-53;41-42;41-48;42-43;42-44;44-45;44-46;46-47;46-53;48-49;48-50;48-51;52-54;53-54,
ERURUG,1,1,ok,1,fast_binary,55,59,33,0-1;0-2;0-3;0-7;2-23;3-13;4-42;5-6;5-42;7-8;7-21;8-9;8-23;10-23;10-43;10-52;11-12;11-28;11-31;11-40;13-14;13-20;14-15;14-28;15-16;15-17;17-18;17-24;18-19;18-20;20-21;21-22;24-25;24-26;24-27;28-29;28-30;31-32;31-33;31-34;34-35;34-36;34-37;37-38;37-39;37-40;40-41;40-42;43-44;43-45;43-46;46-47;46-48;46-49;49-50;49-51;49-52;52-53;52-54,
ERUSEQ,0,1,ok,1,fast_binary,61,62,26,0-1;0-2;0-3;0-4;4-5;4-6;4-60;6-7;6-8;6-9;9-10;9-11;9-12;13-14;13-15;13-16;13-17;17-18;17-19;17-60;19-20;19-21;19-22;22-23;22-24;22-25;26-27;26-28;26-58;28-29;28-34;29-30;29-31;31-32;31-38;32-33;32-58;34-35;34-36;34-37;38-39;38-40;38-41;42-43;42-44;42-59;44-45;44-54;45-46;45-47;47-48;47-50;48-49;48-59;50-51;50-52;50-53;54-55;54-56;54-57;58-60;59-60,
ERUYUN,1,1,ok,1,fast_binary,65,73,50,0-2;0-3;0-4;0-6;0-7;0-8;1-12;2-27;2-47;3-10;3-22;4-24;4-30;5-23;6-13;6-20;7-19;7-25;8-14;8-32;9-56;10-11;10-17;12-25;12-34;13-22;13-36;14-24;14-52;15-36;16-17;16-28;16-43;17-18;19-23;19-27;20-21;20-56;22-28;23-34;24-61;25-26;27-37;28-29;30-31;30-57;32-33;32-63;34-35;36-49;37-38;37-51;39-40;39-41;39-42;39-51;43-44;43-45;43-46;47-48;47-59;49-50;49-56;51-59;52-53;52-63;54-55;54-57;54-61;57-58;59-60;61-62;63-64,
ESABAD,1,1,ok,1,fast_binary,73,82,52,0-1;0-2;0-36;0-37;0-38;0-72;1-6;1-14;2-4;2-24;3-8;3-35;3-36;4-5;4-35;6-7;6-10;8-9;8-12;10-11;10-22;12-13;12-18;14-15;14-19;15-16;15-17;15-24;18-21;18-29;19-20;19-22;21-33;21-35;22-23;24-25;24-26;27-28;27-29;27-31;29-30;31-32;31-33;33-34;37-42;37-50;38-40;38-60;39-44;39-71;39-72;40-41;40-71;42-43;42-46;44-45;44-48;46-47;46-58;48-49;48-54;50-51;50-55;51-52;51-53;51-60;54-57;54-65;55-56;55-58;57-69;57-71;58-59;60-61;60-62;63-64;63-65;63-67;65-66;67-68;67-69;69-70,
ESANES,0,1,ok,1,fast_binary,55,60,39,0-3;0-4;0-5;0-7;0-11;0-12;1-36;2-41;5-6;5-47;5-51;7-13;7-22;8-13;8-46;9-10;9-22;9-31;11-31;11-37;12-39;12-46;13-14;14-15;14-21;15-16;15-17;17-18;17-23;18-19;18-27;19-20;19-21;21-22;23-24;23-25;23-26;27-28;27-29;27-30;31-32;32-33;32-34;34-35;34-36;36-37;37-38;39-40;39-41;41-42;42-43;42-44;44-45;44-46;47-48;47-49;47-50;51-52;51-53;51-54,
ESAPUJ,1,1,ok,1,fast_binary,25,26,14,0-1;0-13;1-2;2-3;2-11;3-4;3-5;5-6;5-7;5-8;8-9;8-10;8-11;11-12;13-14;14-15;14-23;15-16;15-17;17-18;17-19;17-20;20-21;20-22;20-23;23-24,
ESAQAQ,1,1,ok,1,fast_binary,31,32,16,0-1;0-16;1-2;2-3;2-11;3-4;3-5;5-6;5-7;5-8;8-9;8-10;8-11;11-12;12-13;12-14;12-15;16-17;17-18;17-26;18-19;18-20;20-21;20-22;20-23;23-24;23-25;23-26;26-27;27-28;27-29;27-30,
ESARAS,1,1,ok,1,fast_binary,51,54,28,0-1;0-2;0-4;0-5;2-3;2-8;4-20;4-21;5-15;5-22;6-7;6-9;6-16;8-20;8-31;8-35;9-10;9-21;11-12;11-13;11-14;11-22;15-27;15-41;16-17;16-20;18-19;18-39;18-45;21-22;23-24;23-25;23-26;23-28;27-28;27-39;28-29;28-30;31-32;31-33;31-34;35-36;35-37;35-38;39-40;41-42;41-45;42-43;42-44;42-47;45-46;47-48;47-49;47-50,
ESAXUS,0,1,ok,1,fast_binary,43,46,29,0-1;0-38;0-39;1-2;1-35;1-37;2-3;2-4;2-5;6-7;6-8;6-9;6-10;10-11;10-34;11-12;11-13;13-14;13-35;14-15;14-16;14-17;18-19;18-20;18-21;18-22;22-23;22-36;23-24;23-25;25-26;25-37;26-27;26-28;26-29;30-33;30-40;31-33;31-41;32-33;32-42;33-34;33-36;33-38;34-35;36-37,
ESAYED,0,1,ok,1,fast_binary,74,80,48,0-1;0-70;0-71;1-2;1-67;1-69;2-3;2-4;2-5;6-7;6-8;6-9;6-10;10-11;10-66;11-12;11-13;13-14;13-67;14-15;14-16;14-17;18-19;18-20;18-21;18-22;22-23;22-68;23-24;23-25;25-26;25-69;26-27;26-28;26-29;30-31;30-39;30-72;31-32;31-33;33-34;33-35;35-36;35-37;37-38;37-39;39-40;41-42;41-50;41-72;42-43;42-44;44-45;44-46;46-47;46-48;48-49;48-50;50-51;52-53;52-61;52-72;53-54;53-55;55-56;55-57;57-58;57-59;59-60;59-61;61-62;63-73;64-65;64-73;66-67;66-73;68-69;68-73;70-73;72-73,
ESAYUU,0,1,ok,1,fast_binary,83,87,42,0-1;0-2;0-3;0-4;0-5;0-6;3-59;3-68;4-71;4-80;5-11;5-19;6-14;6-39;7-8;7-9;7-10;7-11;11-12;12-13;12-14;14-15;15-16;15-17;15-18;19-20;19-26;20-21;20-35;21-22;21-23;23-24;23-31;24-25;24-26;26-27;27-28;27-29;27-30;31-32;31-33;31-34;35-36;35-37;35-38;39-40;39-46;40-41;40-55;41-42;41-43;43-44;43-51;44-45;44-46;46-47;47-48;47-49;47-50;51-52;51-53;51-54;55-56;55-57;55-58;59-60;59-61;59-62;62-63;62-64;62-65;65-66;65-67;65-68;68-69;68-70;71-72;71-73;71-74;74-75;74-76;74-77;77-78;77-79;77-80;80-81;80-82,
ESEBOT,1,1,ok,1,fast_binary,53,60,40,0-1;0-4;0-5;0-6;0-7;0-8;2-3;2-9;2-18;4-9;4-10;5-18;5-25;6-27;6-28;7-36;7-43;8-44;8-51;9-16;10-11;10-12;12-13;12-14;14-15;14-16;16-17;18-19;19-20;19-21;21-22;21-23;23-24;23-25;25-26;27-34;27-36;28-29;28-30;30-31;30-32;32-33;32-34;34-35;36-37;37-38;37-39;39-40;39-41;41-42;41-43;43-44;44-45;45-46;45-47;47-48;47-49;49-50;49-51;51-52,
ESEGEQ,0,1,ok,1,fast_binary,76,85,45,0-1;0-2;0-40;0-47;0-48;0-49;0-50;0-51;1-5;1-6;1-25;2-3;2-4;2-11;3-15;4-18;5-26;6-29;7-40;7-45;8-9;8-10;8-25;8-32;11-12;12-13;12-14;12-21;15-16;15-17;15-21;18-19;18-20;18-21;21-22;22-23;22-24;22-72;26-27;26-28;26-32;29-30;29-31;29-32;32-33;33-34;33-35;33-36;36-37;36-38;36-39;40-41;41-42;41-43;43-44;43-45;45-46;47-48;47-51;47-52;48-49;48-56;49-50;49-60;50-51;50-64;51-68;52-53;52-54;52-55;56-57;56-58;56-59;60-61;60-62;60-63;64-65;64-66;64-67;68-69;68-70;68-71;72-73;72-74;72-75,
ESEHIT,0,1,ok,1,fast_binary,35,36,20,0-1;0-3;0-18;0-19;2-9;2-10;3-4;3-5;4-7;4-8;5-6;5-11;6-7;6-12;7-13;8-9;8-14;8-15;9-16;9-17;19-20;19-23;20-21;20-27;21-22;21-26;22-23;22-25;23-24;27-28;27-33;27-34;28-29;28-31;28-32;29-30,
ESEKUI,0,1,ok,1,fast_binary,44,46,24,0-1;0-2;0-4;0-7;3-23;3-26;4-5;4-8;5-11;5-20;6-7;6-29;6-32;7-35;8-9;8-12;9-10;9-11;11-16;12-13;12-14;12-15;16-17;16-18;16-19;20-21;20-22;20-23;23-24;23-25;26-27;26-28;26-29;29-30;29-31;32-33;32-36;33-34;33-35;35-40;36-37;36-38;36-39;40-41;40-42;40-43,
ESELIY,0,1,ok,1,fast_binary,75,80,50,0-1;0-2;0-4;0-29;0-30;1-5;1-31;1-32;2-16;2-53;2-54;3-4;5-6;5-14;6-7;6-8;8-9;8-10;10-11;10-12;12-13;12-14;14-15;16-17;16-25;17-18;17-19;19-20;19-21;21-22;21-23;23-24;23-25;25-26;27-29;28-30;31-33;31-49;32-34;32-50;33-35;33-37;34-36;34-38;37-39;37-41;38-40;38-42;41-43;41-45;42-44;42-46;45-47;45-49;46-48;46-50;49-51;50-52;53-55;53-71;54-56;54-72;55-57;55-59;56-58;56-60;59-61;59-63;60-62;60-64;63-65;63-67;64-66;64-68;67-69;67-71;68-70;68-72;71-73;72-74,
ESEWAB,0,1,ok,1,fast_binary,77,80,40,0-1;1-4;1-27;1-40;2-4;2-5;2-7;3-27;3-28;3-30;4-41;5-6;5-43;7-8;7-14;8-9;8-15;9-10;9-11;11-12;11-19;12-13;12-14;14-23;15-16;15-17;15-18;19-20;19-21;19-22;23-24;23-25;23-26;27-42;28-29;28-65;30-31;30-32;30-36;32-33;32-34;32-35;36-37;36-38;36-39;41-43;41-45;42-65;42-67;43-44;45-46;45-52;46-47;46-53;47-48;47-49;49-50;49-57;50-51;50-52;52-61;53-54;53-55;53-56;57-58;57-59;57-60;61-62;61-63;61-64;65-66;67-68;67-69;67-73;69-70;69-71;69-72;73-74;73-75;73-76,
ESEWIK,0,1,ok,1,fast_binary,84,90,52,0-1;0-80;0-81;0-83;1-2;1-16;2-3;2-4;4-5;4-6;6-7;6-15;7-8;7-9;9-10;9-11;11-12;11-13;13-14;13-15;15-16;16-17;17-18;17-19;17-81;19-20;19-21;19-22;23-24;23-25;23-26;23-81;27-28;27-29;27-30;27-81;31-32;31-33;31-48;31-83;33-34;33-35;33-36;36-37;36-82;37-38;37-46;38-39;38-40;40-41;40-42;42-43;42-44;44-45;44-46;46-47;48-49;48-56;49-50;49-51;51-52;52-53;52-54;54-55;54-56;56-57;58-59;58-67;58-83;59-60;59-61;61-62;61-63;63-64;63-65;65-66;65-67;67-68;69-70;69-78;69-83;70-71;70-72;72-73;72-74;74-75;74-76;76-77;76-78;78-79,
ESEWUU,0,1,ok,1,fast_binary,35,35,21,0-1;0-3;1-12;2-12;2-13;3-14;3-21;3-28;4-5;4-12;5-13;6-7;6-8;6-13;9-20;10-27;11-34;14-15;14-16;14-17;17-18;17-19;17-20;21-22;21-23;21-24;24-25;24-26;24-27;28-29;28-30;28-31;31-32;31-33;31-34,
ESEXIK,0,1,ok,1,fast_binary,71,77,38,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;2-29;2-33;3-50;3-54;4-5;4-8;4-9;5-6;5-13;6-7;6-17;7-8;7-21;8-25;9-10;9-11;9-12;13-14;13-15;13-16;17-18;17-19;17-20;21-22;21-23;21-24;25-26;25-27;25-28;29-30;29-31;29-32;33-34;33-41;34-35;34-42;35-36;35-37;37-38;37-39;39-40;39-41;41-46;42-43;42-44;42-45;46-47;46-48;46-49;50-51;50-52;50-53;54-55;54-62;55-56;55-63;56-57;56-58;58-59;58-60;60-61;60-62;62-67;63-64;63-65;63-66;67-68;67-69;67-70,
ESILEY,0,1,ok,1,fast_binary,45,46,24,0-2;1-2;2-5;2-7;3-9;4-27;5-6;5-22;6-12;6-15;7-8;7-40;8-30;8-33;9-10;9-11;9-12;12-13;12-14;15-16;15-20;16-17;16-18;16-19;20-21;20-22;22-23;23-24;23-25;23-26;27-28;27-29;27-30;30-31;30-32;33-34;33-38;34-35;34-36;34-37;38-39;38-40;40-41;41-42;41-43;41-44,
ESILOH,0,1,ok,1,fast_binary,43,48,32,0-1;0-2;0-3;0-4;0-5;0-6;3-7;3-15;4-16;4-23;5-25;5-33;6-34;6-41;7-8;7-9;9-10;9-11;11-12;11-13;13-14;13-15;15-16;16-17;17-18;17-19;19-20;19-21;21-22;21-23;23-24;25-26;25-27;27-28;27-29;29-30;29-31;31-32;31-33;33-34;34-35;35-36;35-37;37-38;37-39;39-40;39-41;41-42,
ESINID,0,1,ok,1,fast_binary,64,70,37,0-1;0-24;0-42;1-2;1-7;2-3;2-8;3-4;3-14;4-5;4-6;6-7;6-22;7-16;8-9;8-10;10-11;10-12;12-13;12-14;14-15;16-17;16-18;18-19;18-20;20-21;20-22;22-23;24-25;24-29;25-26;25-27;25-28;29-30;29-34;29-38;30-31;30-32;30-33;34-35;34-36;34-37;38-39;38-40;38-41;42-43;42-44;42-46;42-54;42-56;44-45;44-46;44-61;46-47;46-48;48-49;48-50;48-51;51-52;51-53;51-54;54-55;54-56;56-57;56-58;58-59;58-60;58-61;61-62;61-63,
ESIQON,0,1,ok,1,fast_binary,42,45,31,0-2;0-6;0-7;0-9;0-10;0-11;1-39;3-9;4-10;5-11;6-12;6-20;7-8;7-21;8-24;8-26;12-13;12-14;14-15;14-16;16-17;16-18;18-19;18-20;20-21;21-22;22-23;22-24;24-25;26-27;26-28;26-29;29-30;29-37;30-31;30-32;32-33;32-34;34-35;34-39;35-36;35-37;37-38;39-40;39-41,
ESIQUT,0,1,ok,1,fast_binary,58,63,43,0-1;0-2;0-3;0-5;0-6;0-9;2-4;2-10;3-57;4-36;4-39;5-27;5-51;6-18;7-11;7-29;7-33;8-15;8-53;9-13;10-25;10-27;11-12;12-15;12-31;14-19;14-21;14-33;15-41;16-17;16-19;16-28;19-20;21-22;21-43;23-24;23-27;23-47;25-26;25-39;28-36;28-43;29-30;29-31;31-32;33-34;33-35;36-37;36-38;39-40;41-42;41-45;43-44;45-46;45-49;47-48;47-55;49-50;49-53;51-52;51-55;53-54;55-56,
ESIREE,0,1,ok,1,fast_binary,40,43,27,0-1;0-2;0-3;0-12;3-4;3-8;4-5;4-26;5-6;5-33;6-7;6-39;7-8;7-35;8-9;9-10;9-11;9-18;12-13;12-17;13-14;13-38;14-15;14-37;15-16;15-27;16-17;16-32;17-19;18-19;18-20;19-28;19-30;20-21;20-25;21-22;22-23;22-29;23-24;23-31;24-25;24-36;25-34,
ESIYUA,0,1,ok,1,fast_binary,72,77,42,0-1;0-6;0-8;0-10;0-12;0-18;1-5;2-3;2-5;2-16;2-21;4-5;6-7;8-9;10-11;12-13;12-16;13-14;13-15;15-17;15-24;16-17;17-32;18-19;18-21;19-20;19-22;21-23;22-23;22-48;23-56;24-25;24-26;24-34;26-27;26-28;26-29;29-30;29-31;29-32;32-33;32-38;34-35;34-36;34-37;38-39;38-40;38-44;40-41;40-42;40-43;44-45;44-46;44-47;48-49;48-50;48-58;50-51;50-52;50-53;53-54;53-55;53-56;56-57;56-62;58-59;58-60;58-61;62-63;62-64;62-68;64-65;64-66;64-67;68-69;68-70;68-71,
ESIYUC,0,1,ok,1,fast_binary,42,43,21,0-1;0-2;0-3;0-6;3-16;3-18;4-5;4-21;4-24;4-31;6-8;7-8;7-14;7-16;8-9;9-10;9-11;11-12;11-13;13-14;13-38;14-15;16-17;18-19;18-20;18-21;21-22;21-23;24-25;24-26;24-27;27-28;27-29;27-30;31-32;31-33;31-34;34-35;34-36;34-37;38-39;38-40;38-41,
ESIZOW,0,1,ok,1,fast_binary,53,56,32,0-1;0-2;0-3;0-4;0-7;0-8;3-5;3-37;3-41;4-6;4-45;4-49;7-11;7-19;8-9;8-10;9-20;9-23;10-25;11-12;11-13;13-14;13-15;15-16;15-17;17-18;17-19;19-20;20-21;20-22;23-24;23-25;25-26;26-27;26-35;27-28;27-29;29-30;29-31;31-32;31-33;33-34;33-35;35-36;37-38;37-39;37-40;41-42;41-43;41-44;45-46;45-47;45-48;49-50;49-51;49-52,
