IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp,treatment,edge_changed,result_source
DARCEG,0,ok,0.1230,75,1,,Brc1c([H])c([H])c([H])c2c1O[Ti+4]13(<-N(=C([H])c4c(c(Br)c([H])c([H])c4[H])O1)c1c([H])c([H])c([H])c([H])c1N->3=C2[H])(Oc1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])Oc1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],ligand_only,0,baseline_reused
DARCIK,0,ok,0.0889,57,1,,c12c([H])c([H])c(C([H])([H])[H])c([H])c1C([H])=N1->[Ti+4]34(<-N(=C([H])c5c([H])c(C([H])([H])[H])c([H])c([H])c5O3)c3c1c([H])c([H])c([H])c3[H])(O2)Oc1c([H])c([H])c([H])c([H])c1O4,ligand_only,0,baseline_reused
DARNAN,0,ok,0.0801,51,1,,[Pd+4]123Oc4c([H])c([H])c([H])c5c4N1C(=C([H])N2c1c([H])c([H])c([H])c([H])c1C([H])([H])N3S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])C([H])=C5[H],ligand_only,0,baseline_reused
DARPUH,0,ok,0.0586,55,1,,[W+6]12(=O)(<-N3(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->2(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C3([H])[H])(=O)=O,ligand_only,0,baseline_reused
DARQAO,0,ok,0.0582,55,1,,[Mo+6]12(=O)(<-N3(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->2(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C3([H])[H])(=O)=O,ligand_only,0,baseline_reused
DARTEY,0,ok,0.0543,36,1,,C1(->[Ag+]Cl)N(C([H])([H])[H])C(c2c([H])n(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])nn2)=C([H])N1C([H])([H])[H],ligand_only,0,baseline_reused
DARTIC,0,ok,0.0537,36,1,,[Au+](Cl)<-C1N(C([H])([H])[H])C([H])=C(c2nnn(C(c3c([H])c([H])c([H])c([H])c3[H])([H])[H])c2[H])N1C([H])([H])[H],ligand_only,0,baseline_reused
DARYIG,0,ok,0.1124,75,1,,C12=N(c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])->[Zn+2](C([H])([H])C([H])([H])[H])N(C1(C([H])([H])C([H])([H])[H])c1c3c2c([H])c([H])c([H])c3c([H])c([H])c1[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],ligand_only,0,baseline_reused
DASCEH,0,ok,0.0633,56,1,,[Zn+2]1(Br)(Br)<-N(C2([H])C([H])(N->1(C([Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
DASCIL,0,ok,0.0767,63,1,,Br[Zn+2]1(Br)<-N(C([H])([H])[H])(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N->1(C([H])([H])[H])C([H])([H])[Si](C([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DASCUX,0,ok,0.0624,56,1,,C([H])([H])([H])N1(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])(C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2[H])->[Zn+2]<-1(Cl)Cl,ligand_only,0,baseline_reused
DASDAE,0,ok,0.0758,63,1,,C([H])([H])([H])N1(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])(C([H])([H])[Si](c2c([H])c([H])c([H])c([H])c2[H])(C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2[H])->[Zn+2]<-1(Cl)Cl,ligand_only,0,baseline_reused
DASDEI,0,ok,0.2105,68,1,,[Zr+4]1234(Cl)(Cl)(N(c5c(C([H])([H])[H])c([H])c([H])c([H])c5C([H])([H])[H])C(c5c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c5[H])([H])[H])<-C5(C([H])([H])[H])=C->1(C([H])([H])[H])C2(C([H])([H])[H])C->3(C([H])([H])[H])=C->45C([H])([H])[H],ligand_only,0,baseline_reused
DASDIM,0,ok,0.1787,80,1,,[Zr+4]1234(Cl)(Cl)(N(c5c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c5C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c5c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c5[H])C5(C([H])([H])[H])C->1(C([H])([H])[H])=C->2(C([H])([H])[H])C->3(C([H])([H])[H])=C->45C([H])([H])[H],ligand_only,0,baseline_reused
DASNET,0,ok,0.1177,50,1,,Br[Ni+2]1(<-N2=C(C3(C4=N->1C1([H])C([H])(O4)C([H])([H])c4c1c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])OC1([H])C2([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H])Br,ligand_only,0,baseline_reused
DASQUJ,0,ok,0.0316,27,1,,[Zn+2]1(Cl)(<-N([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(N->1([H])[H])(C([H])([H])[H])C([H])([H])[H])Cl,ligand_only,0,baseline_reused
DASSUL,-1,ok,0.1321,55,1,,[Cd+2]123(<-S=C(S1)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(<-S=C(S2)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])SC(=S->3)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
DATCIK,0,ok,0.0470,41,1,,[Pt+4]12(Br)(Br)(<-S=C(N(C([H])([H])[H])C([H])([H])[H])N(C1([H])[H])C([H])([H])[H])<-S=C(N(C([H])([H])[H])C([H])([H])[H])N(C2([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
DATFEJ,0,ok,0.0528,45,1,,[Fe]123(<-[C-]#[O+])(<-[C-]#[O+])(<-C4([H])=C->1([H])C(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])C(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])C->2([H])=C->34[H])<-[C-]#[O+],ligand_only,0,baseline_reused
DATPAS,0,ok,0.3252,63,1,,[Ir+3]1234(Cl)(Cl)(<-C5N(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])O[H])C([H])=C([H])N5C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])O[H])C5(C([H])([H])[H])C->1(C([H])([H])[H])=C->2(C([H])([H])[H])C->3(C([H])([H])[H])=C->45C([H])([H])[H],ligand_only,0,baseline_reused
DATWOM,0,ok,0.1142,63,1,,[Pd+2]1(Cl)(Cl)<-P(c2c(C3=N->1C([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c([H])c([H])c([H])c2[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DAVCIN,-1,ok,0.0924,79,1,,[Zn+2](SC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C([H])(C2([H])[H])C3([H])[H])(SC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C([H])(C2([H])[H])C3([H])[H])SC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C([H])(C2([H])[H])C3([H])[H],ligand_only,0,baseline_reused
DAVGOY,0,ok,0.0377,27,1,,[Pt+2](Br)(<-N(O[H])=C(C([H])([H])[H])C([H])([H])[H])(Br)<-N(O[H])=C(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
DAVHIR,0,ok,0.0746,50,1,,[Au+](Sc1c(C(=O)O[H])c([H])c([H])c([H])c1[H])<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DAVMOC,-1,ok,0.0439,39,1,,[W+6]1(=O)(=O)(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O1,ligand_only,0,baseline_reused
DAWBOV,-1,ok,0.0270,18,1,,[W+6](=S)(=S)(=S)SC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
DAWBUB,-1,ok,0.0367,22,1,,[W+6](=S)(=S)(=S)SC([H])([H])c1c([H])c([H])c(C(Cl)([H])[H])c([H])c1[H],ligand_only,0,baseline_reused
DAWGIR,1,ok,0.0492,41,1,,[Co+3]12345<-N(C(C(N->1(C(C(C(N->2(C(C(N->3([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])C(N([H])[H])(C(=O)O4)C(=O)O5)([H])[H])([H])[H])([H])[H],ligand_only,0,baseline_reused
DAWLAP,1,ok,0.1646,49,1,,[Rh+3]1234(Cl)(<-N([H])=C(C([H])([H])[H])C([H])([H])[H])(<-N([H])=C(C([H])([H])[H])C([H])([H])[H])<-C5(C([H])([H])[H])=C->1(C([H])([H])[H])C2(C([H])([H])[H])C->3(C([H])([H])[H])=C->45C([H])([H])[H],ligand_only,0,baseline_reused
DAWTAZ,0,ok,0.1115,61,1,,C1(=N2N=C(N(C([H])([H])[H])[H])S[Ni+2]<-23<-N(=C2C([H])([H])C([H])([H])C([H])([H])c4c2c([H])c([H])c([H])c4[H])N=C(N(C([H])([H])[H])[H])S3)C([H])([H])C([H])([H])C([H])([H])c2c1c([H])c([H])c([H])c2[H],ligand_only,0,baseline_reused
DAWWEE,0,ok,0.1367,73,1,,[Fe+2]123(Cl)(Cl)<-N(C(c4n->1c([H])c([H])c([H])c4[H])([H])[H])(C([H])([H])C(N->2([H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])([H])[H])C([H])([H])C(N->3([H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])([H])[H],ligand_only,0,baseline_reused
DAWWUW,0,ok,0.1098,67,1,,C1(->[Au+]Cl)N(C2(C([H])([H])C([H])([H])[H])c3c([H])c([H])c([H])c([H])c3-c3c([H])c([H])c([H])c([H])c32)C([H])([H])C([H])([H])N1C1(C([H])([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c21,ligand_only,0,baseline_reused
DAWXAC,-1,ok,0.1399,83,1,,[Co+3]1234(<-n5c(c([H])c([H])c([H])c5C(=O)N1c1c([H])c(O[H])c(O[H])c([H])c1[H])C(=O)N2c1c([H])c(O[H])c(O[H])c([H])c1[H])<-n1c(c([H])c([H])c([H])c1C(=O)N3c1c([H])c(O[H])c(O[H])c([H])c1[H])C(=O)N4c1c([H])c(O[H])c(O[H])c([H])c1[H],ligand_only,0,baseline_reused
DAWXEE,0,ok,0.0379,48,1,,[Cr+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])=C(OC(C([H])([H])[H])([H])[H])N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
DAWXEG,-1,ok,0.1298,79,1,,c1(N2C(=O)c3c([H])c([H])c([H])c4n3->[Co+3]235(<-n2c(c([H])c([H])c([H])c2C(=O)N3c2c([H])c(O[H])c([H])c([H])c2[H])C(=O)N5c2c([H])c(O[H])c([H])c([H])c2[H])N(c2c([H])c(O[H])c([H])c([H])c2[H])C4=O)c([H])c(O[H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DAXGUF,0,ok,0.0658,43,1,,[Zn+2]12(<-O([H])[H])(<-n3c([H])c([H])c([H])c([H])c3-c3n->1c([H])c([H])c([H])c3[H])OC(=O)C(c1c([H])c([H])c([H])c([H])c1[H])([H])C(=O)O2,ligand_only,0,baseline_reused
DAXHES,0,ok,0.0743,57,1,,[Pd+2](Br)(<-n1c([H])n(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])c2c1c([H])c([H])c([H])c2[H])(Br)<-n1c([H])n(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])c2c1c([H])c([H])c([H])c2[H],ligand_only,0,baseline_reused
DAXHOA,0,ok,0.0699,47,1,,[Zn+2](Cl)(Cl)(<-n1c([H])c([H])c([H])c(N([H])c2c([H])c([H])nc([H])c2[H])c1[H])<-n1c([H])c([H])c([H])c(N([H])c2c([H])c([H])nc([H])c2[H])c1[H],ligand_only,0,baseline_reused
DAXHOZ,0,ok,0.1042,48,1,,[Re+3](Br)(Br)(Br)(<-P(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])(<-P(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
DAXPEY,0,ok,0.0430,26,1,,[Mn+](Br)(<-n1n([H])c([H])c([H])c1[H])(<-n1n([H])c([H])c([H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
DAXPIC,0,ok,0.0529,38,1,,[Mn+](Br)(<-n1n([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])(<-n1n([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
DAXVON,0,ok,0.4617,75,1,,[Ru+2]1234(<-P(Cl)(c5c([H])c([H])c([H])c([H])c5[H])c5c([H])c([H])c([H])c([H])c5[H])(<-C5(C([H])([H])[H])=C->1(C([H])([H])[H])C2(C([H])([H])[H])C->3(C([H])([H])[H])=C->45C([H])([H])[H])(<-P(Cl)(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])Cl,ligand_only,0,baseline_reused
DAXZEI,0,ok,0.1032,80,1,,[Pd+2](Cl)(Cl)(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])<-N1([H])C2([H])C([H])([H])C([H])(c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c3[H])N([H])C(=O)C1([H])C([H])([H])c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c12,ligand_only,0,baseline_reused
DAYCAH,1,ok,0.0649,44,1,,[Au+3]1(C([H])([H])[H])(C([H])([H])[H])<-n2c(C(c3n->1c([H])c([H])n3C([H])([H])[H])(c1nc([H])c([H])c([H])c1[H])O[H])n(C([H])([H])[H])c([H])c2[H],ligand_only,0,baseline_reused
DAYGEP,0,ok,0.1067,85,1,,[W](<-P(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])(<-P(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])(<-P(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])(<-P(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])(<-N#N)<-N#N,ligand_only,0,baseline_reused
DAYKOD,1,ok,0.0424,39,1,,[Co+3]12(Cl)(Cl)(<-N(C(C(N->1([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])<-N(C(C(N->2([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H],ligand_only,0,baseline_reused
DAYKUJ,0,ok,0.1018,75,1,,[Pd+2](Cl)(<-N1=NN(c2c([H])c([H])c([H])c([H])c2[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C12[H])(Cl)<-N1=NN(c2c([H])c([H])c([H])c([H])c2[H])C2([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],ligand_only,0,baseline_reused
DAYLIA,0,ok,0.0717,42,1,,[Re+]1(Cl)(<-n2c(-c3n->1c([H])c([H])c([H])c3[H])c([H])c([H])c([H])c2-c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
DAYQIE,1,ok,0.0491,31,1,,[Zn+2]12(Oc3c([H])c([H])c(Br)c([H])c3C(=N->1C([H])([H])c1n->2c([H])c([H])c([H])c1[H])[H])<-O([H])[H],ligand_only,0,baseline_reused
DAYRAZ,1,ok,0.1561,72,1,,[Pd+2]12(Cl)<-N(C([H])([H])c3n->1c([H])c([H])c([H])c3[H])(C([H])([H])c1n->2c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C(C(C(Oc1c([H])c(O[H])c2c(=O)c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])oc2c1[H])([H])[H])([H])[H])([H])[H],ligand_only,0,baseline_reused
DAYSAY,0,ok,0.0476,35,1,,[Zn+2]12(<-n3c([H])c([H])c([H])c([H])c3C(=N->1C([H])([H])C(N->2(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])(N=C=S)N=C=S,ligand_only,0,baseline_reused
DAYSUR,0,ok,0.0603,58,1,,[Re+](<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H])(Cl)(<-N#N)(<-C=NC([H])([H])[H])<-P(OC([H])([H])[H])(OC([H])([H])[H])OC([H])([H])[H],ligand_only,0,baseline_reused
DAYTOP,0,ok,0.0609,39,1,,[Cd+2](Cl)(Cl)(<-n1c([H])c([H])n([H])c1[H])(<-n1c([H])c([H])n([H])c1[H])(<-n1c([H])c([H])n([H])c1[H])<-n1c([H])c([H])n([H])c1[H],ligand_only,0,baseline_reused
DAZGIX,0,ok,0.0708,50,1,,[V+5]123(<-N(=C([H])c4c(c(OC([H])([H])[H])c([H])c([H])c4[H])O1)N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O2)(<-O=c1c(O3)c(C([H])([H])[H])oc([H])c1[H])=O,ligand_only,0,baseline_reused
DAZGOD,0,ok,0.0458,53,1,,[V+5]12(<-N(=C([H])c3c(c(OC([H])([H])[H])c([H])c([H])c3[H])O1)N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O2)(Oc1c(=O)oc([H])c([H])c1C([H])([H])C([H])([H])[H])=O,ligand_only,0,baseline_reused
DAZJOD,0,ok,0.1270,63,1,,I[Co+3]1234(I)(<-P(C(P(=O)(c5c([H])c([H])c([H])c([H])c5[H])c5c([H])c([H])c([H])c([H])c5[H])([H])[H])(c5c([H])c([H])c([H])c([H])c5[H])c5c([H])c([H])c([H])c([H])c5[H])<-C5([H])=C->1([H])C2([H])C->3([H])=C->45[H],ligand_only,0,baseline_reused
DAZJUK,-1,ok,0.0198,25,1,,[Zn+2](<-n1c2c(nc([H])nc2N([H])[H])n(C(C([H])([H])[H])([H])[H])c1[H])(Cl)(Cl)Cl,ligand_only,0,baseline_reused
DAZKAQ,1,ok,0.0365,34,1,,[Au+3]1(C([H])([H])[H])(C([H])([H])[H])<-n2c(C(c3n->1c([H])c([H])c([H])c3[H])(O[H])O[H])c([H])c([H])c([H])c2[H],ligand_only,0,baseline_reused
DAZLOG,0,ok,0.0686,46,1,,[V+3]123(Oc4c([H])c([H])c5c([H])c([H])c([H])c([H])c5c4C(=N->1C([H])([H])C(N->2([H])[H])([H])[H])[H])(<-O=C(N=N->3[H])c1c([H])c([H])nc([H])c1[H])=O,ligand_only,0,baseline_reused
DAZRAY,0,ok,0.0387,55,1,,[Zn+2]1(Cl)(Cl)<-N2(C([H])([H])C3([H])N(C(N(C([H])(C([H])([H])[H])C([H])([H])[H])[H])=N->1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],ligand_only,0,baseline_reused
DAZRIG,0,ok,0.0398,58,1,,[Zn+2]1(Cl)(Cl)<-N2(C(C3([H])N(C(N(C([H])(C([H])([H])[H])C([H])([H])[H])[H])=N->1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],ligand_only,0,baseline_reused
DAZRUU,0,ok,0.0826,47,1,,[Ru+2]123456(Cl)(<-n7c(Oc8c1c([H])c([H])c([H])c8[H])c([H])c([H])c([H])c7[H])<-c1([H])c->2([H])c->3(C([H])([H])[H])c->4([H])c->5([H])c->61C([H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
DAZTII,1,ok,0.0797,50,1,,[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2c3c(c([H])c([H])c2-c2n->1c1c([H])c([H])c([H])c([H])c1c([H])c2[H])c([H])c([H])c([H])c3[H])<-n1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DAZTOO,1,ok,0.1106,63,1,,[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2c3c(c([H])c([H])c2-c2n->1c1c([H])c([H])c([H])c([H])c1c([H])c2[H])c([H])c([H])c([H])c3[H])<-n1c([H])c([H])c(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],ligand_only,0,baseline_reused
DAZZOW,0,ok,0.0719,53,1,,[Pd+2](Cl)(Cl)(<-C1N(C(c2c([H])c([H])c([H])c([H])c2[H])([H])[H])C([H])=C([H])N1C([H])([H])[H])<-C1N(C(c2c([H])c([H])c([H])c([H])c2[H])([H])[H])C([H])=C([H])N1C([H])([H])[H],ligand_only,0,baseline_reused
DCAZPD,0,ok,0.0722,51,1,,Cl[Pd+2](Cl)(<-N(c1c([H])c([H])c([H])c([H])c1[H])=Nc1c([H])c([H])c([H])c([H])c1[H])<-N(c1c([H])c([H])c([H])c([H])c1[H])=Nc1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DEBCES,0,ok,0.0575,39,1,,[Pd+2](Cl)(Cl)(<-n1c([H])n(C(C(C([H])([H])[H])([H])[H])([H])[H])c([H])c1[H])<-n1c([H])n(C(C(C([H])([H])[H])([H])[H])([H])[H])c([H])c1[H],ligand_only,0,baseline_reused
DEBKAW,0,ok,0.0643,31,1,,[Pd+2](Cl)(<-N(c1c([H])c([H])c(F)c([H])c1[H])([H])[H])(Cl)<-N(c1c([H])c([H])c(F)c([H])c1[H])([H])[H],ligand_only,0,baseline_reused
DEBLIG,0,ok,0.0505,41,1,,[Pd]12(<-N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C(=N->1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])<-C([H])(C#N)=C->2([H])C#N,ligand_only,0,baseline_reused
DEBMEE,0,ok,0.1422,67,1,,C1([H])([H])N(C([H])([H])P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])->[Pt+2](<-P1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)Cl)c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DEBMII,0,ok,0.1446,67,1,,C1([H])([H])N(C([H])([H])P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])->[Pt+2](Br)(Br)<-P1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DEBMUU,0,ok,0.0737,75,1,,[Pt+2]1(Br)(Br)<-P(C(N(C(P->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
DEBNAB,0,ok,0.1201,69,1,,C(#N)[Pd+2]1(C#N)<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N(C([H])([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
DEBNEF,0,ok,0.0568,76,1,,c1([H])c([H])c([H])c([H])c([H])c1N1C([H])([H])P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ir+](<-[C-]#[O+])(<-P(C1([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])Cl,ligand_only,0,baseline_reused
DEBNOP,0,ok,0.1433,56,1,,[Pt+2]1(<-P(C(SC(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)Cl,ligand_only,0,baseline_reused
DEBNUV,0,ok,0.1302,69,1,,[Pt+2]1(<-P(C(N(C(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(C#N)C#N,ligand_only,0,baseline_reused
DEBXUD,0,ok,0.1418,55,1,,[Pt+2]1(<-P(C(C(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)Cl,ligand_only,0,baseline_reused
DEBYAL,0,ok,0.1335,76,1,,C(C([H])([H])[H])(=O)[Pt+2](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H].[Cl-],ligand_only,0,baseline_reused
DEBYIT,0,ok,0.0918,42,1,,C([H])([H])([H])[Pt+2](<-[C-]#[O+])(Cl)<-P(c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,ligand_only,0,baseline_reused
