IDs,charge,in_graph_consensus,status,validated,n_atoms,n_edges,n_heavy_edges,edges_0,error
ABUPIX,0,1,ok,1,73,76,40,0-1;0-2;0-3;0-4;1-5;2-22;3-39;4-56;5-6;5-13;6-7;6-14;7-8;7-9;9-10;9-11;11-12;11-13;13-18;14-15;14-16;14-17;18-19;18-20;18-21;22-23;22-30;23-24;23-35;24-25;24-26;26-27;26-28;28-29;28-30;30-31;31-32;31-33;31-34;35-36;35-37;35-38;39-40;39-47;40-41;40-48;41-42;41-43;43-44;43-45;45-46;45-47;47-52;48-49;48-50;48-51;52-53;52-54;52-55;56-57;56-64;57-58;57-65;58-59;58-60;60-61;60-62;62-63;62-64;64-69;65-66;65-67;65-68;69-70;69-71;69-72,
ABUSAU,0,1,ok,1,45,48,29,0-1;0-9;0-39;1-2;1-3;3-4;3-5;5-6;5-7;7-8;7-9;9-10;10-11;10-36;12-13;12-14;12-15;12-36;15-16;15-17;15-37;18-19;18-20;18-21;18-37;21-22;21-23;21-38;24-25;24-26;24-38;26-27;26-35;27-28;27-29;29-30;29-31;31-32;31-33;33-34;33-35;35-40;36-43;37-43;37-44;38-43;41-43;42-43,
ABUSEW,0,1,ok,1,59,61,26,0-1;1-2;1-3;1-4;2-13;2-16;2-18;3-36;3-39;3-41;4-5;4-12;5-6;5-13;6-7;6-8;8-9;8-10;10-11;10-12;12-36;13-14;13-15;16-17;16-28;16-32;18-19;18-20;18-24;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-30;28-31;32-33;32-34;32-35;36-37;36-38;39-40;39-43;39-47;41-42;41-51;41-55;43-44;43-45;43-46;47-48;47-49;47-50;51-52;51-53;51-54;55-56;55-57;55-58,
ABUVUP,0,1,ok,1,83,88,52,0-1;0-4;0-42;0-46;1-15;2-5;3-5;4-7;4-13;5-10;6-17;6-20;6-22;7-8;7-12;8-9;8-24;9-10;9-25;10-11;11-12;11-26;12-27;13-14;13-28;14-15;14-19;15-16;16-17;16-29;17-18;18-19;18-30;19-31;20-21;20-32;20-33;21-34;21-35;21-36;22-23;22-37;22-38;23-39;23-40;23-41;42-43;43-44;43-79;44-45;44-61;45-46;45-60;46-47;47-48;47-55;48-49;48-59;49-50;49-58;50-51;50-54;51-52;51-53;54-55;54-57;55-56;61-62;61-82;62-63;62-81;63-64;63-79;64-65;64-72;65-66;65-70;65-71;66-67;66-68;66-69;72-73;72-77;72-78;73-74;73-75;73-76;79-80,
ABUWEZ,0,1,ok,1,53,52,28,0-1;0-2;0-27;0-52;1-3;1-11;1-19;3-4;3-5;3-6;6-7;6-8;6-9;9-10;11-12;11-13;11-14;14-15;14-16;14-17;17-18;19-20;19-21;19-22;22-23;22-24;22-25;25-26;27-28;27-36;27-44;28-29;28-30;28-31;31-32;31-33;31-34;34-35;36-37;36-38;36-39;39-40;39-41;39-42;42-43;44-45;44-46;44-47;47-48;47-49;47-50;50-51,
ABUXIF,0,1,ok,1,49,53,25,0-1;0-2;0-3;0-41;3-4;3-15;3-24;4-5;4-6;4-45;6-7;6-8;6-9;9-10;9-11;9-12;12-13;12-14;12-15;15-16;15-17;17-18;17-19;17-42;19-20;19-21;19-22;22-23;22-24;22-27;24-25;24-26;27-28;27-29;27-41;29-30;29-31;29-32;32-33;32-34;32-35;35-36;35-37;35-38;38-39;38-40;38-41;41-42;42-43;42-44;45-46;45-47;45-48,
ABUYAX,0,1,ok,1,67,69,33,0-1;0-2;0-3;0-4;3-5;3-9;4-7;4-38;5-6;5-7;7-8;9-10;9-17;10-11;10-18;11-12;11-13;13-14;13-15;15-16;15-17;17-28;18-19;18-20;18-24;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-30;28-34;30-31;30-32;30-33;34-35;34-36;34-37;38-39;38-46;39-40;39-47;40-41;40-42;42-43;42-44;44-45;44-46;46-57;47-48;47-49;47-53;49-50;49-51;49-52;53-54;53-55;53-56;57-58;57-59;57-63;59-60;59-61;59-62;63-64;63-65;63-66,
ACACEM,1,1,ok,1,52,56,30,0-1;0-2;0-3;0-4;0-5;0-38;0-41;0-49;1-2;1-5;1-6;2-3;2-10;3-4;3-14;4-5;4-18;5-22;6-7;6-8;6-9;10-11;10-12;10-13;14-15;14-16;14-17;18-19;18-20;18-21;22-23;22-24;22-25;26-27;26-28;26-29;26-41;30-31;30-32;30-33;30-41;34-35;34-36;34-37;34-41;38-39;38-42;38-43;39-40;39-44;39-45;40-46;40-47;40-48;49-50;49-51,
ACAPUQ,1,1,ok,1,68,74,42,0-1;0-2;0-4;0-5;0-6;0-7;2-28;3-32;4-10;4-16;4-22;5-11;5-15;6-17;6-21;7-23;7-27;8-21;8-28;8-52;9-27;9-32;9-53;10-11;10-36;10-37;11-12;12-13;12-38;13-14;13-39;14-15;14-40;15-41;16-17;16-42;16-43;17-18;18-19;18-44;19-20;19-45;20-21;20-46;22-23;22-47;22-48;23-24;24-25;24-49;25-26;25-50;26-27;26-51;28-29;29-30;29-31;29-54;30-55;30-56;30-57;31-58;31-59;31-60;32-33;33-34;33-35;33-61;34-62;34-63;34-64;35-65;35-66;35-67,
ACAQIE,1,1,ok,1,50,55,35,0-1;0-3;0-4;0-5;0-7;0-29;1-11;1-13;1-14;2-16;2-30;2-31;3-17;3-28;4-26;4-27;5-10;6-10;7-12;8-12;9-16;10-11;11-34;11-35;12-13;13-36;13-37;14-15;14-38;14-39;15-16;15-40;15-41;17-18;17-42;18-19;18-43;19-20;19-44;20-21;20-28;21-22;21-45;22-23;22-46;23-24;23-27;24-25;24-47;25-26;25-48;26-49;27-28;29-32;29-33,
ACARAZ,0,1,ok,1,37,38,26,0-1;0-2;0-5;0-19;0-20;0-23;3-6;4-6;5-7;5-8;5-9;6-18;9-10;9-18;10-11;10-12;12-13;12-14;14-15;14-16;16-17;16-18;21-24;22-24;23-25;23-26;23-27;24-36;27-28;27-36;28-29;28-30;30-31;30-32;32-33;32-34;34-35;34-36,
ACARED,0,1,ok,1,37,38,26,0-1;0-2;0-5;0-19;0-20;0-23;3-8;4-8;5-6;5-7;5-9;8-12;9-10;9-17;10-11;10-12;12-13;13-14;13-15;15-16;15-17;17-18;21-26;22-26;23-24;23-25;23-27;26-30;27-28;27-35;28-29;28-30;30-31;31-32;31-33;33-34;33-35;35-36,
ACAREE,0,1,ok,1,40,46,27,0-1;0-2;0-10;0-16;0-18;0-20;0-21;0-23;0-25;3-4;3-5;3-14;5-6;5-7;7-8;7-9;9-10;9-12;10-11;12-13;12-14;14-15;16-17;16-18;16-25;18-19;18-20;20-21;20-26;21-22;21-23;23-24;23-25;25-30;26-27;26-28;26-29;30-31;30-32;30-36;32-33;32-34;32-35;36-37;36-38;36-39,
ACARUT,0,1,ok,1,39,39,23,0-1;0-2;0-3;0-4;0-7;0-9;5-12;6-12;7-8;7-13;9-31;10-11;10-13;10-21;12-26;13-14;14-15;14-16;14-17;17-18;17-19;17-20;21-22;21-29;22-23;22-24;24-25;24-26;26-27;27-28;27-29;29-30;31-32;32-33;32-34;32-35;35-36;35-37;35-38,
ACASII,0,1,ok,1,45,45,25,0-1;0-2;0-3;0-4;0-8;0-13;5-12;6-12;7-33;7-41;8-9;8-15;10-11;10-15;10-23;12-26;13-14;13-33;15-16;16-17;16-18;16-19;19-20;19-21;19-22;23-24;23-31;24-25;24-26;26-27;27-28;27-29;29-30;29-31;31-32;33-34;34-35;34-36;34-37;37-38;37-39;37-40;41-42;41-43;41-44,
ACATUT,0,1,ok,1,23,24,16,0-1;0-2;0-3;0-4;0-5;0-8;5-6;5-15;6-7;6-11;8-9;8-17;9-10;9-21;11-12;11-13;13-14;13-15;15-16;17-18;17-19;19-20;19-21;21-22,
ACAWIK,0,1,ok,1,75,80,50,0-1;0-2;0-5;0-6;0-7;0-8;3-7;3-9;3-20;3-31;4-8;4-42;4-53;4-64;9-10;9-18;10-11;10-12;12-13;12-14;14-15;14-16;16-17;16-18;18-19;20-21;20-29;21-22;21-23;23-24;23-25;25-26;25-27;27-28;27-29;29-30;31-32;31-40;32-33;32-34;34-35;34-36;36-37;36-38;38-39;38-40;40-41;42-43;42-51;43-44;43-45;45-46;45-47;47-48;47-49;49-50;49-51;51-52;53-54;53-62;54-55;54-56;56-57;56-58;58-59;58-60;60-61;60-62;62-63;64-65;64-73;65-66;65-67;67-68;67-69;69-70;69-71;71-72;71-73;73-74,
ACAWOR,0,1,ok,1,61,64,36,0-1;0-2;0-31;0-32;2-15;2-16;3-4;3-8;3-15;4-5;4-16;5-6;5-17;6-7;6-18;7-8;7-19;8-20;9-10;9-15;9-21;9-22;10-11;10-23;11-29;11-30;12-13;12-16;12-24;12-25;13-14;13-26;14-27;14-28;32-33;32-44;33-34;33-53;34-35;34-39;35-36;35-44;36-37;36-43;37-38;37-42;38-39;38-41;39-40;44-45;45-46;45-51;45-52;46-47;46-50;47-48;47-49;53-54;53-59;53-60;54-55;54-58;55-56;55-57,
ACAXOU,0,1,ok,1,62,70,42,0-7;0-8;0-9;0-10;0-11;0-12;0-13;0-27;1-5;1-6;1-8;1-19;2-19;3-19;4-19;7-20;7-34;7-35;8-21;9-10;9-13;9-14;10-11;10-15;11-12;11-16;12-13;12-17;13-18;14-36;14-37;14-38;15-39;15-40;15-41;16-42;16-43;16-44;17-45;17-46;17-47;18-48;18-49;18-50;20-21;20-22;20-51;21-28;21-52;22-23;22-27;23-24;23-53;24-25;24-54;25-26;25-55;26-27;26-56;28-29;28-33;29-30;29-57;30-31;30-58;31-32;31-59;32-33;32-60;33-61,
ACAZOU,0,1,ok,1,41,42,26,0-1;0-5;0-21;0-22;2-3;2-4;2-6;2-12;5-7;5-11;6-8;6-14;7-8;7-13;8-9;9-10;9-15;10-11;10-16;11-17;12-18;12-19;12-20;22-23;22-36;23-24;23-40;24-25;24-34;25-26;25-33;26-27;26-28;26-29;29-30;29-31;29-32;34-35;34-39;35-36;35-38;36-37,
ACEHOI,0,1,ok,1,25,28,20,0-2;1-2;2-3;2-14;3-4;3-10;4-5;4-15;5-6;5-12;6-7;6-8;8-9;8-10;10-11;12-13;12-23;14-15;14-21;15-16;16-17;16-23;17-18;17-19;19-20;19-21;21-22;23-24,
ACEKAU,0,1,ok,1,62,64,27,0-1;0-2;0-3;0-4;1-11;1-14;1-23;2-17;2-20;2-24;3-4;4-5;5-6;5-10;6-7;6-25;7-8;7-26;8-9;8-27;9-10;9-28;10-29;11-12;11-13;11-30;12-31;12-32;12-33;13-34;13-35;13-36;14-15;14-16;14-37;15-38;15-39;15-40;16-41;16-42;16-43;17-18;17-19;17-44;18-45;18-46;18-47;19-48;19-49;19-50;20-21;20-22;20-51;21-52;21-53;21-54;22-55;22-56;22-57;23-24;23-58;23-59;24-60;24-61,
ACEMEC,-1,1,ok,1,15,15,9,0-1;0-2;0-3;0-5;3-8;4-8;5-6;5-7;5-9;8-9;9-10;9-11;11-12;11-13;11-14,
ACEPUT,0,1,ok,1,36,40,32,0-1;0-3;0-8;0-33;0-34;0-35;2-28;3-27;3-31;4-5;4-8;4-10;6-33;7-12;8-15;9-34;10-11;10-12;12-14;13-35;14-15;14-16;15-21;16-17;16-18;18-19;18-20;20-21;20-22;21-27;22-23;22-24;24-25;24-26;26-27;26-28;28-29;29-30;29-31;31-32,
ACEQAA,0,1,ok,1,31,35,27,0-4;0-5;0-18;0-19;1-8;2-3;2-4;2-6;4-10;6-7;6-8;8-9;9-10;9-11;10-16;11-12;11-13;13-14;13-15;15-16;15-29;16-17;17-18;17-26;18-20;20-21;20-22;22-23;22-24;24-25;24-26;26-27;27-28;27-29;29-30,
ACEWEK,0,1,ok,1,44,48,21,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-20;1-8;1-12;1-16;3-4;3-7;3-24;4-5;4-28;5-6;5-32;6-7;6-36;7-40;8-9;8-10;8-11;12-13;12-14;12-15;16-17;16-18;16-19;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-30;28-31;32-33;32-34;32-35;36-37;36-38;36-39;40-41;40-42;40-43,
ACEWIO,0,1,ok,1,85,88,44,0-1;0-3;0-43;0-51;1-6;2-6;2-7;3-4;3-11;4-6;5-18;5-23;5-33;7-8;7-9;7-10;11-12;11-13;13-14;13-21;14-15;14-16;16-17;16-18;18-19;19-20;19-21;21-22;23-24;23-25;23-26;26-27;26-28;26-29;29-30;29-31;29-32;33-34;33-35;33-36;36-37;36-38;36-39;39-40;39-41;39-42;43-44;44-45;44-50;45-46;46-47;46-48;46-49;50-51;51-52;52-53;52-54;54-55;54-83;55-56;55-57;57-58;57-59;59-60;59-81;60-61;60-71;61-62;61-63;61-64;64-65;64-66;64-67;67-68;67-69;67-70;71-72;71-73;71-74;74-75;74-76;74-77;77-78;77-79;77-80;81-82;81-83;83-84,
ACEZAJ,0,1,ok,1,48,50,29,0-1;0-2;2-6;2-20;2-34;3-11;3-16;4-25;4-30;5-39;5-44;6-7;6-14;7-8;7-9;9-10;9-11;11-12;12-13;12-14;14-15;16-17;16-18;16-19;20-21;20-28;21-22;21-23;23-24;23-25;25-26;26-27;26-28;28-29;30-31;30-32;30-33;34-35;34-42;35-36;35-37;37-38;37-39;39-40;40-41;40-42;42-43;44-45;44-46;44-47,
ACIFEY,0,1,ok,1,63,68,36,0-1;0-31;0-61;0-62;1-2;1-8;2-3;2-4;4-5;4-6;6-7;7-8;7-17;8-9;9-10;9-11;9-18;11-12;11-13;11-14;14-15;14-16;14-17;17-18;17-27;18-19;18-23;19-20;19-21;19-22;23-24;23-25;23-26;27-28;27-29;27-30;31-32;31-38;32-33;32-34;34-35;34-36;36-37;37-38;37-47;38-39;39-40;39-41;39-48;41-42;41-43;41-44;44-45;44-46;44-47;47-48;47-57;48-49;48-53;49-50;49-51;49-52;53-54;53-55;53-56;57-58;57-59;57-60,
ACIHUP,0,1,ok,1,50,52,25,0-1;0-2;0-4;0-10;0-11;0-12;1-13;1-37;1-40;2-3;2-19;2-22;4-5;4-28;4-31;6-10;7-11;8-12;9-43;9-46;13-14;13-15;13-16;16-17;16-18;16-19;19-20;19-21;22-23;22-24;22-25;25-26;25-27;25-28;28-29;28-30;31-32;31-33;31-34;34-35;34-36;34-37;37-38;37-39;40-41;40-42;40-43;43-44;43-45;46-47;46-48;46-49,
ACILAZ,0,1,ok,1,48,52,31,0-1;0-14;0-28;0-40;0-41;0-42;1-2;2-3;2-11;3-4;3-5;5-6;5-7;7-8;7-9;9-10;9-11;11-12;12-13;12-14;14-15;15-16;15-17;15-26;17-18;18-19;18-20;18-37;20-21;20-22;20-29;22-23;22-24;22-26;24-25;26-27;26-28;29-30;30-31;30-32;30-36;32-33;32-34;32-35;36-37;37-38;37-39;42-43;42-44;44-45;44-46;44-47,
ACINIM,0,1,ok,1,33,36,24,0-11;0-28;0-31;0-32;1-2;1-3;1-28;3-4;3-5;5-6;5-7;7-8;7-9;9-10;9-28;10-11;10-29;11-12;12-13;12-20;13-14;13-26;14-15;14-29;14-30;16-17;16-18;16-19;16-30;20-21;20-22;22-23;22-24;24-25;24-26;26-27,
ACIQEK,0,1,ok,1,58,61,39,0-1;1-2;1-3;2-25;3-46;4-16;4-22;5-37;5-43;6-7;6-23;7-8;7-25;9-10;9-25;9-26;11-12;11-44;12-13;12-46;14-15;14-46;14-47;16-17;16-18;18-19;18-20;20-21;20-22;22-23;23-24;26-27;26-35;27-28;27-29;29-30;29-31;31-32;31-33;33-34;33-35;35-36;37-38;37-39;39-40;39-41;41-42;41-43;43-44;44-45;47-48;47-56;48-49;48-50;50-51;50-52;52-53;52-54;54-55;54-56;56-57,
ACISOU,0,1,ok,1,61,66,34,0-1;0-2;0-10;0-31;0-32;0-33;2-3;2-8;3-4;3-5;4-15;4-16;4-32;5-6;5-17;6-7;6-18;7-8;7-19;8-9;9-10;9-20;9-21;10-11;10-35;11-12;11-13;11-14;12-22;12-23;12-24;13-25;13-26;13-27;14-28;14-29;14-30;32-42;32-43;33-34;33-41;34-35;34-38;35-36;35-37;38-39;38-60;39-40;39-59;40-41;40-58;41-42;42-56;42-57;43-44;43-48;43-52;44-45;44-46;44-47;48-49;48-50;48-51;52-53;52-54;52-55,
ACITUB,0,1,ok,1,39,40,24,0-1;0-2;0-20;0-21;2-3;2-10;3-4;3-5;5-6;5-12;6-7;6-8;8-9;8-10;10-11;12-13;12-14;14-15;14-16;16-17;16-18;16-19;21-22;21-29;22-23;22-24;24-25;24-31;25-26;25-27;27-28;27-29;29-30;31-32;31-33;33-34;33-35;35-36;35-37;35-38,
ACIVIU,0,1,ok,1,65,69,39,0-3;0-6;0-7;0-8;1-8;1-9;1-13;2-8;2-11;2-33;3-4;3-53;4-5;4-64;9-10;9-11;11-12;13-14;13-20;14-15;14-21;15-16;15-17;17-18;17-29;18-19;18-20;20-25;21-22;21-23;21-24;25-26;25-27;25-28;29-30;29-31;29-32;33-34;33-40;34-35;34-41;35-36;35-37;37-38;37-49;38-39;38-40;40-45;41-42;41-43;41-44;45-46;45-47;45-48;49-50;49-51;49-52;53-54;53-55;55-56;55-64;56-57;56-58;58-59;58-60;60-61;60-62;62-63;62-64,
ACIVOA,0,1,ok,1,77,80,40,0-1;0-2;0-4;0-7;3-7;3-8;3-10;4-5;4-39;5-6;5-41;7-45;8-9;8-46;10-11;10-18;11-12;11-19;12-13;12-14;14-15;14-16;16-17;16-18;18-29;19-20;19-21;19-25;21-22;21-23;21-24;25-26;25-27;25-28;29-30;29-31;29-35;31-32;31-33;31-34;35-36;35-37;35-38;39-40;39-43;41-42;41-43;43-44;45-46;45-48;46-47;48-49;48-56;49-50;49-57;50-51;50-52;52-53;52-54;54-55;54-56;56-67;57-58;57-59;57-63;59-60;59-61;59-62;63-64;63-65;63-66;67-68;67-69;67-73;69-70;69-71;69-72;73-74;73-75;73-76,
ACIWER,0,1,ok,1,67,71,39,0-3;0-6;0-7;0-8;1-8;1-12;1-35;2-8;2-9;2-15;3-4;3-55;4-5;4-66;9-10;9-11;9-12;12-13;12-14;15-16;15-22;16-17;16-23;17-18;17-19;19-20;19-31;20-21;20-22;22-27;23-24;23-25;23-26;27-28;27-29;27-30;31-32;31-33;31-34;35-36;35-42;36-37;36-43;37-38;37-39;39-40;39-51;40-41;40-42;42-47;43-44;43-45;43-46;47-48;47-49;47-50;51-52;51-53;51-54;55-56;55-57;57-58;57-66;58-59;58-60;60-61;60-62;62-63;62-64;64-65;64-66,
ACIWUH,1,1,ok,1,37,41,25,0-2;0-3;0-4;0-5;1-2;1-12;1-13;2-29;3-8;3-12;4-18;4-25;5-6;5-7;5-15;8-9;8-27;10-11;10-23;10-29;12-19;13-14;13-23;15-16;15-17;15-18;18-31;19-20;19-35;21-22;21-25;21-33;23-24;25-26;27-28;27-35;29-30;31-32;31-33;33-34;35-36,
ACNCFE,0,1,ok,1,29,32,24,0-8;0-15;0-16;0-17;1-2;1-8;1-9;2-3;2-15;3-11;3-12;4-16;4-25;5-16;5-26;6-16;6-27;7-16;7-28;8-16;8-18;9-10;9-19;10-11;10-20;11-21;12-13;12-22;13-14;13-23;14-15;14-24,
ACOBOM,0,1,ok,1,53,52,22,0-1;0-2;0-3;0-20;3-4;3-12;3-21;4-5;5-6;5-7;5-8;8-9;8-10;8-11;12-13;13-14;13-15;13-16;16-17;16-18;16-19;20-29;20-37;20-45;21-22;22-23;22-24;22-25;25-26;25-27;25-28;29-30;30-31;30-32;30-33;33-34;33-35;33-36;37-38;38-39;38-40;38-41;41-42;41-43;41-44;45-46;46-47;46-48;46-49;49-50;49-51;49-52,
ACOFAZ,0,1,ok,1,32,36,21,0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;1-4;2-5;3-6;7-8;7-11;7-12;8-9;8-16;9-10;9-20;10-11;10-24;11-28;12-13;12-14;12-15;16-17;16-18;16-19;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-30;28-31,
ACOLOW,0,1,ok,1,57,64,46,0-1;0-2;0-3;0-4;0-6;0-7;3-9;4-10;5-20;5-21;6-33;7-34;8-44;8-45;9-10;9-21;10-11;11-12;11-20;12-13;12-14;14-15;14-16;16-17;16-18;18-19;18-20;21-22;22-23;22-31;23-24;23-25;25-26;25-27;27-28;27-29;29-30;29-31;31-32;33-34;33-45;34-35;35-36;35-44;36-37;36-38;38-39;38-40;40-41;40-42;42-43;42-44;45-46;46-47;46-55;47-48;47-49;49-50;49-51;51-52;51-53;53-54;53-55;55-56,
ACOMUA,1,1,ok,1,82,94,55,0-1;0-2;0-3;0-7;0-8;0-9;0-10;0-11;1-32;1-38;1-49;2-35;2-60;2-71;3-4;3-5;3-6;4-5;4-6;5-6;7-8;7-11;7-12;8-9;8-16;9-10;9-20;10-11;10-24;11-28;12-13;12-14;12-15;16-17;16-18;16-19;20-21;20-22;20-23;24-25;24-26;24-27;28-29;28-30;28-31;32-33;32-34;32-35;35-36;35-37;38-39;38-47;39-40;39-41;41-42;41-43;43-44;43-45;45-46;45-47;47-48;49-50;49-58;50-51;50-52;52-53;52-54;54-55;54-56;56-57;56-58;58-59;60-61;60-69;61-62;61-63;63-64;63-65;65-66;65-67;67-68;67-69;69-70;71-72;71-80;72-73;72-74;74-75;74-76;76-77;76-78;78-79;78-80;80-81,
ACORAM,0,1,ok,1,77,81,46,0-1;0-2;0-14;0-15;0-16;0-17;1-36;2-58;3-14;4-15;5-16;6-69;6-70;7-17;7-18;8-27;8-30;8-48;9-33;9-45;9-51;10-36;10-37;10-74;11-36;11-39;11-41;12-58;12-59;12-74;13-58;13-61;13-63;18-19;18-20;18-21;21-22;21-23;21-24;24-25;24-26;24-27;27-28;27-29;30-31;30-32;30-33;33-34;33-35;37-38;37-39;39-40;41-42;41-43;41-44;45-46;45-47;45-48;48-49;48-50;51-52;51-69;52-53;52-54;54-55;54-56;56-57;56-67;59-60;59-61;61-62;63-64;63-65;63-66;67-68;67-69;70-71;70-72;70-73;74-75;74-76,
