CSD_code,SMILES_tmQM,q,s,metal_symbol,coordination_number_tmQM,SMILES_CSD_fixed,coordination_number_CSD_fixed,SMILES_G
FAXZUD,C=C(C)C1C=N(C(C)(C)C)->[Ti+2]2(<-[Cl-])(<-[N-](c3ccccc3)P(c3ccccc3)c3ccccc3)<-[N-](c3ccccc3)[P+](c3ccccc3)(c3ccccc3)P->2=1,0,0,Ti,5,C=C(C)C1=C[N-](C(C)(C)C)->[Ti+4]23(<-[Cl-])(<-N(c4ccccc4)=P(c4ccccc4)(c4ccccc4)[P-]->21)<-[N-](c1ccccc1)P->3(c1ccccc1)c1ccccc1,6.0,
KALLES,CC1=CC(C)=C2=[C-]([Si](C)(C)C)->[Zr+4]<-23456789%10(<-[NH-]1)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101,0,0,Zr,13,CC1=CC(C)=N->[Zr+2]23456789%10(<-C1#C->2[Si](C)(C)C)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101,13.0,
ETUSER,C[Si]1(C)CP2(c3ccccc3)->[Hf+4]34(<-[Cl-])(<-[Cl-])<-[N-]1[Si](C)(C)CP->3(c1ccccc1)C[Si](C)(C)[N-]->4[Si](C)(C)C2,0,0,Hf,6,C[Si]1(C)CP2(c3ccccc3)->[Hf+4]34(<-[Cl-])(<-[Cl-])<-[N-]1[Si](C)(C)CP->3(c1ccccc1)C[Si](C)(C)[N-]->4[Si](C)(C)C2,6.0,C[Si]1(C)C[P:5Π]2(c3ccccc3)->[Hf+4Π]34(<-[Cl-:2Π])(<-[Cl-:6↓])<-[N-:4Π]1[Si](C)(C)C[P:3Π]->3(c1ccccc1)C[Si](C)(C)[N-:1↑]->4[Si](C)(C)C2
RUTDIT,CC1C=C([O-]->[Ti+4]234(<-[O-]C(=CC(C)=N->2N=C([S-]->3)c2ccccc2)c2ccccc2)<-[S-]C(=NN->4=1)c1ccccc1)c1ccccc1,0,0,Ti,6,CC1C=C([O-]->[Ti+4]234(<-[O-]C(=CC(C)=N->2N=C([S-]->3)c2ccccc2)c2ccccc2)<-[S-]C(=NN->4=1)c1ccccc1)c1ccccc1,6.0,
NUGNUB,Cc12->[Ti+4]345(<-[I-])(<-[I-])(<-[I-])<-c1(C)c->3(C)[c-]->4(C)c->52C,0,0,Ti,8,Cc12->[Ti+4]345(<-[I-])(<-[I-])(<-[I-])<-c1(C)c->3(C)[c-]->4(C)c->52C,8.0,
PUWLUR,CC(C)c1cc([Si](C)(C)C)cc(C(C)C)c1[O-]->[Ti+4]1234(<-[Cl-])(<-[Cl-])<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C,0,0,Ti,8,CC(C)c1cc([Si](C)(C)C)cc(C(C)C)c1[O-]->[Ti+4]1234(<-[Cl-])(<-[Cl-])<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C,8.0,
EGOGOW,COCC(C)(C)[O-]->[Hf+4]12(<-[O-]C(C)(C)COC)(<-[O-]C(C)(C)CO->1C)<-[O-]C(C)(C)CO->2C,0,0,Hf,6,COCC(C)(C)[O-]->[Hf+4]12(<-[O-]C(C)(C)COC)(<-[O-]C(C)(C)CO->1C)<-[O-]C(C)(C)CO->2C,6.0,
SOWPIE,CC1CC([O-]->[Zr+4]2(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)(<-[O-]C(CC(C)=N->2c2c(F)c(F)c(F)c(F)c2F)(C(F)(F)F)C(F)(F)F)<-N=1c1c(F)c(F)c(F)c(F)c1F)(C(F)(F)F)C(F)(F)F,0,0,Zr,6,CC1CC([O-]->[Zr+4]2(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)(<-[O-]C(CC(C)=N->2c2c(F)c(F)c(F)c(F)c2F)(C(F)(F)F)C(F)(F)F)<-N=1c1c(F)c(F)c(F)c(F)c1F)(C(F)(F)F)C(F)(F)F,6.0,
JUQVOJ,c1ccn2c([O-]->[Ti+4]3456(<-[O-]c7ppc8ccccn78)(<-[O-]c7ppc8ccccn78)<-c7c->3c->4[cH-]->5c->67)ppc2c1,0,0,Ti,8,c1ccn2c([O-]->[Ti+4]3456(<-[O-]c7ppc8ccccn78)(<-[O-]c7ppc8ccccn78)<-c7c->3c->4[cH-]->5c->67)ppc2c1,8.0,
JUXWUX,CC1=CC(C)=N2C3c4ccccc4CC3[O-]->[Ti+4]<-2(<-[Cl-])(<-[Cl-])(<-[O-]1)<-O1CCCC1,0,0,Ti,6,CC1=CC(C)=N2C3c4ccccc4CC3[O-]->[Ti+4]<-2(<-[Cl-])(<-[Cl-])(<-[O-]1)<-O1CCCC1,6.0,CC1=CC(C)=[N:1↑]2C3c4ccccc4CC3[O-:5Π]->[Ti+4Π]<-2(<-[Cl-:6↓])(<-[Cl-:2Π])(<-[O-:3Π]1)<-[O:4Π]1CCCC1
KIMKEA,Cc1c(C)c2[O-]->[Ti+4]3456<-[O-]CCN->3(CCN->4(CC[O-]->5)Cc3c(C)c(O)c(C)c(C)c3[O-]->6)Cc2c(C)c1O,0,0,Ti,6,Cc1c(C)c2[O-]->[Ti+4]3456<-[O-]CCN->3(CCN->4(CC[O-]->5)Cc3c(C)c(O)c(C)c(C)c3[O-]->6)Cc2c(C)c1O,6.0,Cc1c(C)c2[O-:2Π]->[Ti+4Π]3456<-[O-:1↑]CC[N:5Π]->3(CC[N:4Π]->4(CC[O-:6↓]->5)Cc3c(C)c(O)c(C)c(C)c3[O-:3Π]->6)Cc2c(C)c1O
IBIWUO,CC(C)[O-]->[Ti+4]123(<-[O-]c4c(CN->1(C)CCN->2(C)Cc1cc(C(C)(C)CC(C)(C)C)cc(-n2nc5ccccc5n2)c1[O-]->3)cc(C(C)(C)CC(C)(C)C)cc4-n1nc2ccccc2n1)<-[O-]C(C)C,0,0,Ti,6,CC(C)[O-]->[Ti+4]123(<-[O-]c4c(CN->1(C)CCN->2(C)Cc1cc(C(C)(C)CC(C)(C)C)cc(-n2nc5ccccc5n2)c1[O-]->3)cc(C(C)(C)CC(C)(C)C)cc4-n1nc2ccccc2n1)<-[O-]C(C)C,6.0,CC(C)[O-:3Π]->[Ti+4Π]123(<-[O-:1↑]c4c(C[N:4Π]->1(C)CC[N:5Π]->2(C)Cc1cc(C(C)(C)CC(C)(C)C)cc(-n2nc5ccccc5n2)c1[O-:6↓]->3)cc(C(C)(C)CC(C)(C)C)cc4-n1nc2ccccc2n1)<-[O-:2Π]C(C)C
QOSKUF,Cc12->[Ti+4]3456789(<-[Cl-])(<-[Cl-])(<-c%10c->3c->4[cH-]->5c->6%10)<-c1c->7c->8(C)[n-]->92,0,0,Ti,12,Cc12->[Ti+4]3456789(<-[Cl-])(<-[Cl-])(<-c%10c->3c->4[cH-]->5c->6%10)<-c1[cH-]->7c->8(C)n->92,12.0,
UVEYAX,C[Si](C)(C)[CH2-]->[Hf+4]12(<-[CH2-][Si](C)(C)C)<-[N-](c3ccccc3)c3ccccc3CP->1(Cc1ccccc1[N-]->2c1ccccc1)c1ccccc1,0,0,Hf,5,C[Si](C)(C)[CH2-]->[Hf+4]12(<-[CH2-][Si](C)(C)C)<-[N-](c3ccccc3)c3ccccc3CP->1(Cc1ccccc1[N-]->2c1ccccc1)c1ccccc1,5.0,
GUZVAB,Cc1cc(C)cc(-c2cccc3-c4ccccc4O4CCO5c6ccccc6-c6cccc(-c7cc(C)cc(C)c7)c6[O-]->[Zr+4]<-4<-5(<-[CH2-]c4ccccc4)(<-[CH2-]c4ccccc4)<-[O-]c23)c1,0,0,Zr,6,Cc1cc(C)cc(-c2cccc3-c4ccccc4O4CCO5c6ccccc6-c6cccc(-c7cc(C)cc(C)c7)c6[O-]->[Zr+4]<-4<-5(<-[CH2-]c4ccccc4)(<-[CH2-]c4ccccc4)<-[O-]c23)c1,6.0,Cc1cc(C)cc(-c2cccc3-c4ccccc4[O:2Π]4CC[O:6↓]5c6ccccc6-c6cccc(-c7cc(C)cc(C)c7)c6[O-:3Π]->[Zr+4Π]<-4<-5(<-[CH2-:1↑]c4ccccc4)(<-[CH2-:4Π]c4ccccc4)<-[O-:5Π]c23)c1
ECOJAL,Cc1cc(C(C)(C)C)c([O-]->[Ti+4](<-[N-2]C(C)(C)C)(<-n2ccccc2)<-[n-]2c(C)ccc2C)c(C(C)(C)C)c1,0,0,Ti,4,Cc1cc(C(C)(C)C)c([O-]->[Ti+4](<-[N-2]C(C)(C)C)(<-n2ccccc2)<-[n-]2c(C)ccc2C)c(C(C)(C)C)c1,4.0,Cc1cc(C(C)(C)C)c([O-:2Π↓]->[Ti+4](<-[N-2:1↑]C(C)(C)C)(<-[n:3Π↓]2ccccc2)<-[n-:4Π↓]2c(C)ccc2C)c(C(C)(C)C)c1
QIRFIK,O=C1[O-]->[Zr+4]234(<-O)(<-O)(<-[O-]C(=O)c5ccc6cccc([O-]->2)c6n->35)<-[O-]c2cccc3ccc1n->4c23,0,0,Zr,8,O=C1[O-]->[Zr+4]234(<-O)(<-O)(<-[O-]C(=O)c5ccc6cccc([O-]->2)c6n->35)<-[O-]c2cccc3ccc1n->4c23,8.0,
HUJCOH,CC1(C)CCCC(C)(C)N1[O-]->[Ti+4]1234(<-[O-]N5C(C)(C)CCCC5(C)C)(<-c5c->1c->2[cH-]->3c->45)<-[cH-]1cccc1,0,0,Ti,8,CC1(C)CCCC(C)(C)N1[O-]->[Ti+4]1234(<-[O-]N5C(C)(C)CCCC5(C)C)(<-c5c->1c->2[cH-]->3c->45)<-[cH-]1cccc1,8.0,
HEXLAB,CC1([O-]->[Zr+4]23456789(<-[C-](=C1[Si](C)(C)C)[Si](C)(C)C)(<-c1c->2c->3[cH-]->4c->51)<-c1c->6c->7[cH-]->8c->91)C1CC1,0,0,Zr,12,CC1([O-]->[Zr+4]23456789(<-[C-](=C1[Si](C)(C)C)[Si](C)(C)C)(<-c1c->2c->3[cH-]->4c->51)<-c1c->6c->7[cH-]->8c->91)C1CC1,12.0,
GEZFUQ,CC(C)[O-]->[Ti+4]12(<-[O-]c3c(C=N->1Cc1ccccc1)cccc3C(C)(C)C)(<-[O-]c1c(C=N->2Cc2ccccc2)cccc1C(C)(C)C)<-[O-]C(C)C,0,0,Ti,6,CC(C)[O-]->[Ti+4]12(<-[O-]c3c(C=N->1Cc1ccccc1)cccc3C(C)(C)C)(<-[O-]c1c(C=N->2Cc2ccccc2)cccc1C(C)(C)C)<-[O-]C(C)C,6.0,CC(C)[O-:3Π]->[Ti+4Π]12(<-[O-:2Π]c3c(C=[N:1↑]->1Cc1ccccc1)cccc3C(C)(C)C)(<-[O-:4Π]c1c(C=[N:5Π]->2Cc2ccccc2)cccc1C(C)(C)C)<-[O-:6↓]C(C)C
KIHWIJ,COc1ccc([Si](C)(C)[c-]23->[Ti+4]456789%10(<-[Cl-])(<-[Cl-])(<-c(c->4c->52)c->63)<-c2c->7c->8[c-]->9([Si](C)(C)c3ccc(OC)cc3)c->%102)cc1,0,0,Ti,12,COc1ccc([Si](C)(C)c23->[Ti+4]456789%10(<-[Cl-])(<-[Cl-])(<-c(c->42)[cH-]->5c->63)<-c2c->7c->8([Si](C)(C)c3ccc(OC)cc3)c->9[cH-]->%102)cc1,12.0,
YUNBER,CC(C)C1([O-]->[Ti+4]2345(<-[CH2-]c6ccccc6)(<-[CH2-]c6ccccc6)(<-c6c->2c->3[cH-]->4c->56)<-n2ccccc21)C(C)C,0,0,Ti,9,CC(C)C1([O-]->[Ti+4]2345(<-[CH2-]c6ccccc6)(<-[CH2-]c6ccccc6)(<-c6c->2c->3[cH-]->4c->56)<-n2ccccc21)C(C)C,9.0,
SARGAX,CCCC[O-]->[Ti+4]12(<-[O-]CCCC)(<-[O-]Cc3ccccn->13)<-[O-]Cc1ccccn->21,0,0,Ti,6,CCCC[O-]->[Ti+4]12(<-[O-]CCCC)(<-[O-]Cc3ccccn->13)<-[O-]Cc1ccccn->21,6.0,CCCC[O-:3Π]->[Ti+4Π]12(<-[O-:2Π]CCCC)(<-[O-:1↑]Cc3cccc[n:4Π]->13)<-[O-:6↓]Cc1cccc[n:5Π]->21
HIVFOL,Cc1ccc(C)[n-]1->[Zr+4](<-[N-2]C(C)(C)C)(<-n1ccccc1)(<-n1ccccc1)<-[n-]1c(C)ccc1C,0,0,Zr,5,Cc1ccc(C)[n-]1->[Zr+4](<-[N-2]C(C)(C)C)(<-n1ccccc1)(<-n1ccccc1)<-[n-]1c(C)ccc1C,5.0,
HIGTIA,c1ccc([N-](c2ccccc2)->[Hf+4](<-[N-](c2ccccc2)c2ccccc2)(<-[N-](c2ccccc2)c2ccccc2)<-[N-](c2ccccc2)c2ccccc2)cc1,0,0,Hf,4,c1ccc([N-](c2ccccc2)->[Hf+4](<-[N-](c2ccccc2)c2ccccc2)(<-[N-](c2ccccc2)c2ccccc2)<-[N-](c2ccccc2)c2ccccc2)cc1,4.0,
AXADEL,O=C1CN23CCN45CC(=O)[O-]->[Hf+4]<-2<-467(<-[O-]1)(<-[O-]C(=O)C5)<-[O-]C(=O)CN->6(CC3)CC(=O)[O-]->7,-1,0,Hf,8,O=C1CN23CCN45CC(=O)[O-]->[Hf+4]<-2<-467(<-[O-]1)(<-[O-]C(=O)C5)<-[O-]C(=O)CN->6(CC3)CC(=O)[O-]->7,8.0,
FICYID,CCC[CH2-]->[Hf+4]123<-[N-](CCN->1(CC[N-]->2c1cc(C)cc(C)c1)CC[N-]->3c1cc(C)cc(C)c1)c1cc(C)cc(C)c1,0,0,Hf,5,CCC[CH2-]->[Hf+4]123<-[N-](CCN->1(CC[N-]->2c1cc(C)cc(C)c1)CC[N-]->3c1cc(C)cc(C)c1)c1cc(C)cc(C)c1,5.0,
KALKUH,C=C(C)C1CC2(C)=[C-]3[C]([Si](C)(C)C)->[Zr+4]<-3<-2456789%10%11(<-[C-]=1[Si](C)(C)C)(<-c1c->4c->5[cH-]->6c->71)<-c1c->8c->9[cH-]->%10c->%111,0,0,Zr,14,C=C(C)C1CC(C)=C2=C([Si](C)(C)C)->[Zr+3]<-23456789%10(<-[C-]=1[Si](C)(C)C)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101,13.0,
CAPCAB,C#Cc1cc2cccn3->[Ti+4]45(<-[O-]c6c(-c7ccccc7)cccc6-c6cccc(-c7ccccc7)c6[O-]->4)(<-[O-]c4c(-c6ccccc6)cccc4-c4cccc(-c6ccccc6)c4[O-]->5)<-n4cccc1c4c23,0,0,Ti,6,C#Cc1cc2cccn3->[Ti+4]45(<-[O-]c6c(-c7ccccc7)cccc6-c6cccc(-c7ccccc7)c6[O-]->4)(<-[O-]c4c(-c6ccccc6)cccc4-c4cccc(-c6ccccc6)c4[O-]->5)<-n4cccc1c4c23,6.0,C#Cc1cc2ccc[n:4Π]3->[Ti+4Π]45(<-[O-:1↑]c6c(-c7ccccc7)cccc6-c6cccc(-c7ccccc7)c6[O-:2Π]->4)(<-[O-:3Π]c4c(-c6ccccc6)cccc4-c4cccc(-c6ccccc6)c4[O-:6↓]->5)<-[n:5Π]4cccc1c4c23
DAQSAT,Cc1cc(C)cc([N-](C(C)(C)C)->[Ti+4](<-[Br-])(<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,0,0,Ti,4,Cc1cc(C)cc([N-](C(C)(C)C)->[Ti+4](<-[Br-])(<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,4.0,
IYOHIN,C[N-](C)->[Zr+4]12(<-N(=C3C=Cc4ccccc4C3=C3c4ccccc4C=C[N-]->13)c1ccccc1)(<-N(=C1C=Cc3ccccc3C1=C1c3ccccc3C=C[N-]->21)c1ccccc1)<-[N-](C)C,0,0,Zr,6,C[N-](C)->[Zr+4]12(<-n3ccc4ccccc4c3-c3c([N-]->1c1ccccc1)ccc1ccccc31)(<-n1ccc3ccccc3c1-c1c([N-]->2c2ccccc2)ccc2ccccc12)<-[N-](C)C,6.0,C[N-:6Π](C)->[Zr+4]12(<-[n:5Π]3ccc4ccccc4c3-c3c([N-:4Π]->1c1ccccc1)ccc1ccccc31)(<-[n:2Π]1ccc3ccccc3c1-c1c([N-:1Π]->2c2ccccc2)ccc2ccccc12)<-[N-:3Π](C)C
QONWAR,CC[O-]->[Ti+4]12(<-O=c3ccoc(C)c3[O-]->1)(<-O=c1ccoc(C)c1[O-]->2)<-[O-]CC,0,0,Ti,6,CC[O-]->[Ti+4]12(<-O=c3ccoc(C)c3[O-]->1)(<-O=c1ccoc(C)c1[O-]->2)<-[O-]CC,6.0,CC[O-:4Π]->[Ti+4Π]12(<-[O:3Π]=c3ccoc(C)c3[O-:6↓]->1)(<-[O:2Π]=c1ccoc(C)c1[O-:1↑]->2)<-[O-:5Π]CC
SERSOX,CN1=Cc2ccccc2[O-]->[Zr+4]<-12(<-[Cl-])(<-[Cl-])<-[O-]c1ccccc1C=N->2C,0,0,Zr,6,CN1=Cc2ccccc2[O-]->[Zr+4]<-12(<-[Cl-])(<-[Cl-])<-[O-]c1ccccc1C=N->2C,6.0,C[N:4Π]1=Cc2ccccc2[O-:5Π]->[Zr+4Π]<-12(<-[Cl-:6↓])(<-[Cl-:2Π])<-[O-:3Π]c1ccccc1C=[N:1↑]->2C
KIMJOJ,Cc1cc2[O-]->[Ti+4]3456<-[O-]CCN->3(CCN->4(CC[O-]->5)Cc3cc(F)c(C)cc3[O-]->6)Cc2cc1F,0,0,Ti,6,Cc1cc2[O-]->[Ti+4]3456<-[O-]CCN->3(CCN->4(CC[O-]->5)Cc3cc(F)c(C)cc3[O-]->6)Cc2cc1F,6.0,Cc1cc2[O-:2Π]->[Ti+4Π]3456<-[O-:1↑]CC[N:5Π]->3(CC[N:4Π]->4(CC[O-:6↓]->5)Cc3cc(F)c(C)cc3[O-:3Π]->6)Cc2cc1F
LAFRIX,FC1(F)C([O-]->[Ti+4]2(<-[O-]C(c3ccccc3)(c3ccccc3)C1(F)F)<-[O-]C(c1ccccc1)(c1ccccc1)C(F)(F)C(F)(F)C([O-]->2)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Ti,4,FC1(F)C([O-]->[Ti+4]2(<-[O-]C(c3ccccc3)(c3ccccc3)C1(F)F)<-[O-]C(c1ccccc1)(c1ccccc1)C(F)(F)C(F)(F)C([O-]->2)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,4.0,
QIBTUU,C[Si](C)(C)[N-]1CCN23CC[N-]([Si](C)(C)C)->[Ti+4]<-1<-2(<-N(=CP=c1cccc[cH-]1)Cc1ccccc1)<-[N-](CC3)[Si](C)(C)C,0,0,Ti,5,C[Si](C)(C)[N-]1CCN23CC[N-]([Si](C)(C)C)->[Ti+4]<-1<-2(<-[N-](C=Pc1ccccc1)Cc1ccccc1)<-[N-](CC3)[Si](C)(C)C,5.0,
UFANOH,CC1C[C-]2=N(C(C)(C)C)->[Hf+4]<-234567(<-[CH2-]C=1C)<-[N-](C(C)(C)C)[Si](C)(C)c->31c->4(C)c->5(C)c->6(C)[c-]->71C,0,0,Hf,9,CC1C[C]2=N(C(C)(C)C)->[Hf+3]<-234567(<-[CH2-]C=1C)<-[N-](C(C)(C)C)[Si](C)(C)[c-]->31c->4(C)c->5(C)c->6(C)c->71C,9.0,
ECUYEK,Cn1c2ccccc2[c-]23->[Ti+4]4567(<-[Cl-])(<-[Cl-])<-[N-](C(C)(C)C)[Si](C)(C)c->42c->52cc(C(C)(C)C)ccc->62c->713,0,0,Ti,8,Cn1c2ccccc2c23->[Ti+4]4567(<-[Cl-])(<-[Cl-])<-[N-](C(C)(C)C)[Si](C)(C)[c-]->42c->52cc(C(C)(C)C)ccc->62c->713,8.0,
JOFJIZ,CN(C)C=O->[Zr+4]1234(<-O=CN(C)C)(<-[O-]C(=O)c5cccc(C(=O)[O-]->1)n->25)<-[O-]C(=O)c1cccc(C(=O)[O-]->3)n->41,0,0,Zr,8,CN(C)C=O->[Zr+4]1234(<-O=CN(C)C)(<-[O-]C(=O)c5cccc(C(=O)[O-]->1)n->25)<-[O-]C(=O)c1cccc(C(=O)[O-]->3)n->41,8.0,
DIQBOY,Fc1c(F)c(F)c(N2=Cc3ccc[n-]3->[Ti+4]<-23(<-[Cl-])(<-[Cl-])<-N(=Cc2ccc[n-]->32)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,0,0,Ti,6,Fc1c(F)c(F)c(N2=Cc3ccc[n-]3->[Ti+4]<-23(<-[Cl-])(<-[Cl-])<-N(=Cc2ccc[n-]->32)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,6.0,Fc1c(F)c(F)c([N:4Π]2=Cc3ccc[n-:3Π]3->[Ti+4Π]<-23(<-[Cl-:6↓])(<-[Cl-:2Π])<-[N:1↑](=Cc2ccc[n-:5Π]->32)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
GOGLIX,C[N-](C)->[Hf+4](<-[N-](C)C)(<-[N-](C)C)(<-O1CCCC1)<-[Si-](c1ccccc1)(c1ccccc1)C(C)(C)C,0,0,Hf,5,C[N-](C)->[Hf+4](<-[N-](C)C)(<-[N-](C)C)(<-O1CCCC1)<-[Si-](c1ccccc1)(c1ccccc1)C(C)(C)C,5.0,
ZAMWUJ,C[N-](C)->[Zr+4]12(<-[O-]C(C)(C)CN->1(C)C)(<-[O-]C(C)(C)CN->2(C)C)<-[N-](C)C,0,0,Zr,6,C[N-](C)->[Zr+4]12(<-[O-]C(C)(C)CN->1(C)C)(<-[O-]C(C)(C)CN->2(C)C)<-[N-](C)C,6.0,
TEBWIH,Fc1c(F)c(F)c([B-](CC2#C3[CH2-]->[Zr+4]<-2<-3456789%10%11%12<-c2c->4[c-]->5(CC[c-]->63c->7c->8c->94c->%103CCCC4)c->%113c->%122CCCC3)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,0,0,Zr,13,Fc1c(F)c(F)c([B-]2(CC3#C4[CH2-]->[Zr+4]<-3<-456789%10%11%12%13(<-Fc3c(F)c(F)c(F)c(F)c32)<-c2[cH-]->5c->6(CCc->73c->8c->9c->%104[c-]->%113CCCC4)c->%123c->%132CCCC3)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,14.0,
FALFEH,Cc1ncc(CO)c2C=N3CC[O-]->[Ti+4]<-345(<-[O-]CCN->4=Cc3c(CO)cnc(C)c3[O-]->5)<-[O-]c12,0,0,Ti,6,Cc1ncc(CO)c2C=N3CC[O-]->[Ti+4]<-345(<-[O-]CCN->4=Cc3c(CO)cnc(C)c3[O-]->5)<-[O-]c12,6.0,Cc1ncc(CO)c2C=[N:3Π]3CC[O-:4Π]->[Ti+4Π]<-345(<-[O-:1↑]CC[N:5Π]->4=Cc3c(CO)cnc(C)c3[O-:6↓]->5)<-[O-:2Π]c12
BUNVAI,Cc1ccc(S(=O)(=O)[N-]2CCN34CC[N-]5S(=O)(=O->[Zr+4]<-2<-5<-3(<-[O-]C(C)C)(<-[O-]C(C)C)<-n2ccccc2C4)c2ccc(C)cc2)cc1,0,0,Zr,7,Cc1ccc(S(=O)(=O)[N-]2CCN34CC[N-]5S(=O)(=O->[Zr+4]<-2<-5<-3(<-[O-]C(C)C)(<-[O-]C(C)C)<-n2ccccc2C4)c2ccc(C)cc2)cc1,7.0,
NAWLAB,CNC(=O)CCn1cccc2[O-]->[Zr+4]345(<-O=c21)(<-O=c1c([O-]->3)cccn1CCC(=O)NC)(<-O=c1c([O-]->4)cccn1CCC(=O)NC)<-O=c1c([O-]->5)cccn1CCC(=O)NC,0,0,Zr,8,CNC(=O)CCn1cccc2[O-]->[Zr+4]345(<-O=c21)(<-O=c1c([O-]->3)cccn1CCC(=O)NC)(<-O=c1c([O-]->4)cccn1CCC(=O)NC)<-O=c1c([O-]->5)cccn1CCC(=O)NC,8.0,
MAZMAC,C[Si](C)(C)[N-]1CCN23CC[N-]([Si](C)(C)C)->[Zr+4]<-1<-2(<-[CH2-]c1ccccc1)(<-[CH2-]c1ccccc1)<-n1ccccc1C3,0,0,Zr,6,C[Si](C)(C)[N-]1CCN23CC[N-]([Si](C)(C)C)->[Zr+4]<-1<-2(<-[CH2-]c1ccccc1)(<-[CH2-]c1ccccc1)<-n1ccccc1C3,6.0,C[Si](C)(C)[N-:1Π]1CC[N:6Π]23CC[N-:4Π]([Si](C)(C)C)->[Zr+4]<-1<-2(<-[CH2-:2Π]c1ccccc1)(<-[CH2-:3Π]c1ccccc1)<-[n:5Π]1ccccc1C3
NUCQUA,Cc1ccc(C(=[N-]->[Ti+4]23456789(<-[Cl-])(<-c%10c->2c->3[cH-]->4c->5%10)<-c2c->6c->7[cH-]->8c->92)C(C)(Cl)C(=Nc2ccccc2)c2ccccc2)cc1,0,0,Ti,12,Cc1ccc(C(=[N-]->[Ti+4]23456789(<-[Cl-])(<-c%10c->2c->3[cH-]->4c->5%10)<-c2c->6c->7[cH-]->8c->92)C(C)(Cl)C(=Nc2ccccc2)c2ccccc2)cc1,12.0,
ECUYAG,CC(C)[O-]->[Ti+4]12345(<-[O-]C(C)C)<-[N-](C(C)(C)C)[Si](C)(C)c->16c->21cc(C(C)(C)C)ccc->31c->41n(C)c2ccccc2[c-]->561,0,0,Ti,8,CC(C)[O-]->[Ti+4]12345(<-[O-]C(C)C)<-[N-](C(C)(C)C)[Si](C)(C)c->16c->21cc(C(C)(C)C)ccc->31c->41n(C)c2ccccc2[c-]->561,8.0,
XOVGIZ,CC1=C(C)N(C)[C](->[Hf+2]23456789%10%11(<-C%12=C->2C->3=C->4[CH-]->5C->6=C->7%12)<-c2c->8c->9[cH-]->%10c->%112)N1C,0,0,Hf,13,CC1=C(C)N(C)[C](->[Hf+2]23456789%10%11(<-C%12=C->2C->3=C->4[CH-]->5C->6=C->7%12)<-c2c->8c->9[cH-]->%10c->%112)N1C,13.0,
MACYAU,Cc1cc(C)c([N-]2[Si](C)(C)[c-]34->[Ti+4]<-2567(<-[CH3-])(<-[CH3-])<-c2(ccc(C(C)(C)C)cc->523)c->62ccc(C(C)(C)C)cc->724)c(C)c1,0,0,Ti,8,Cc1cc(C)c([N-]2[Si](C)(C)[c-]34->[Ti+4]<-2567(<-[CH3-])(<-[CH3-])<-c2(ccc(C(C)(C)C)cc->523)c->62ccc(C(C)(C)C)cc->724)c(C)c1,8.0,
WAYFOU,C[N-](C)->[Ti+4]12345(<-c6c->1c->2(C(C)(C)c1ccc(-c2ccccc2)[n-]->31)[n-]->4c->56-c1ccccc1)<-[N-](C)C,0,0,Ti,8,C[N-](C)->[Ti+4]12345(<-c6[cH-]->1c->2(C(C)(C)c1ccc(-c2ccccc2)[n-]->31)n->4c->56-c1ccccc1)<-[N-](C)C,8.0,
YADGAO,Cc1ccc(C=[N-]->[Ti+4]2345(<-[Cl-])(<-[Cl-])<-c6c->2c->3[cH-]->4c->56)cc1,0,0,Ti,8,Cc1ccc(C=[N-]->[Ti+4]2345(<-[Cl-])(<-[Cl-])<-c6c->2c->3[cH-]->4c->56)cc1,8.0,
RUDREQ,Cc1c(C)c(C)c23->[Zr+4]456789%10%11(<-[Cl-])(<-[O-]c%12c(C(C)C)cccc%12C(C)C)<-c%12c->4c->5[c-]->6([Si](C)(C)[c-]->72c->8(C)c->9(C)c->%103c1C)c->%11%12,0,0,Zr,12,Cc1c(C)c(C)[c-]23->[Zr+4]456789%10%11(<-[Cl-])(<-[O-]c%12c(C(C)C)cccc%12C(C)C)<-c%12c->4c->5([Si](C)(C)c->62c->7(C)c->8(C)c->93c1C)c->%10[cH-]->%11%12,12.0,
