CSD_code,total_charge,fixed_CSD_SMILES,NBO,xyz2mol_tm,TMC-LewisGen
FUVMIU,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[O-]N1C(=O)c2ccccc2C1=O)<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[O-]N1C(=O)c2ccccc2C1=O)<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+8](<-[N-3])(<-[O-]n1c([O-])c2ccccc2c1[O-])<-[N-](C(C)C)C(C)C,[Cr+6](ON1C(=O)c2c(c([H])c([H])c([H])c2[H])C1=O)(N(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])(#N)N(C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H]
FUVNOB,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1cccc1,CC(C)[N-](C(C)C)->[Cr@OH16+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1cccc1,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1cccc1,[Cr+6](#N)(n1c([H])c([H])c([H])c1[H])(N(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])N(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H]
FUVPAN,0,COC(=O)C1=[C-](C(=O)OC)->[Ru+2]23456(<-C(C(=O)OC)=C->21C(=O)OC)(<-c1c->3c->4[cH-]->5c->61)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)/C1=[C-](\C(=O)OC)->[Ru+2]23456(<-C(C(=O)OC)=C->21C(=O)OC)(<-c1c->3c->4[cH-]->5c->61)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)C1=[C-](C(=O)OC)->[Ru+2]23456(<-C(C(=O)OC)=C->21C(=O)OC)(<-c1c->3c->4[cH-]->5c->61)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Ru+2]123456(<-P(c7c([H])c([H])c([H])c([H])c7[H])(c7c([H])c([H])c([H])c([H])c7[H])c7c([H])c([H])c([H])c([H])c7[H])(<-C7([H])=C->1([H])C->2([H])=C->3([H])C47[H])C(=C(C->5(=C->6(C(=O)OC([H])([H])[H])[H])C(=O)OC([H])([H])[H])C(=O)OC([H])([H])[H])C(=O)OC([H])([H])[H]
FUVPAP,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,[Cr+6](N(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])(n1c([H])c(-c2c([H])c(C(F)(F)F)c([H])c(C(F)(F)F)c2[H])c([H])c1[H])(#N)N(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H]
FUVPIV,0,COC(=O)C=[C-](C(=O)OC)->[Ru+2]1234(<-[C-]#[O+])(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)/C=[C-](/C(=O)OC)->[Ru+2]1234(<-[C-]#[O+])(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)C=[C-](C(=O)OC)->[Ru+2]1234(<-[C-]#[O+])(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Ru+2]1234(<-P(c5c([H])c([H])c([H])c([H])c5[H])(c5c([H])c([H])c([H])c([H])c5[H])c5c([H])c([H])c([H])c([H])c5[H])(<-C5([H])=C->1([H])C2([H])C->3([H])=C->45[H])(<-[C-]#[O+])C(C(=O)OC([H])([H])[H])=C(C(=O)OC([H])([H])[H])[H]
FUVPIX,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc(-c2c(F)c(F)c(F)c(F)c2F)c1,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc(-c2c(F)c(F)c(F)c(F)c2F)c1,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc(-c2c(F)c(F)c(F)c(F)c2F)c1,[Cr+6](#N)(n1c([H])c([H])c(-c2c(F)c(F)c(F)c(F)c2F)c1[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
FUVPUJ,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[Br-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[Br-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[Br-])<-[N-](C(C)C)C(C)C,Br[Cr+6](#N)(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
FUVQAQ,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[F-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[F-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[F-])<-[N-](C(C)C)C(C)C,[Cr+6](F)(N(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H])(#N)N(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])([H])C([H])([H])[H]
FUVQEU,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[I-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[I-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[I-])<-[N-](C(C)C)C(C)C,[Cr+6](#N)(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])I
FUVRIX,0,CCN1CCCOP1(N(C)C)->[Rh+]1(<-[C-]#[O+])<-O=C(C)C=C(C)[O-]->1,CCN1CCCOP1(N(C)C)->[Rh@@+]1(<-[C-]#[O+])<-O=C(C)/C=C(/C)[O-]->1,CCN1CCCOP1(N(C)C)->[Rh+]1(<-[C-]#[O+])<-O=C(C)C=C(C)[O-]->1,[H]C1([H])OP(->[Rh+]2(OC(=C([H])C(=O->2)C([H])([H])[H])C([H])([H])[H])<-[C-]#[O+])(N(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]
FUVVID,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1c2ccccc2c2ccccc21,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1c2ccccc2c2ccccc21,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1c2ccccc2c2ccccc21,[Cr+6](N(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])(#N)(N(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H])n1c2c([H])c([H])c([H])c([H])c2c2c1c([H])c([H])c([H])c2[H]
FUVVOJ,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[Cl-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[Cl-])<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[Cl-])<-[N-](C(C)C)C(C)C,[Cr+6](Cl)(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])#N
FUVVUP,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[C-]#N)<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[C-]#N)<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[C-]#N)<-[N-](C(C)C)C(C)C,[Cr+6](N(C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])(#N)(N(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])C#N
FUVWAW,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[O-]C(=O)c1ccccc1)<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[O-]C(=O)c1ccccc1)<-[N-](C(C)C)C(C)C,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[O-]C(=O)c1ccccc1)<-[N-](C(C)C)C(C)C,[Cr+6](OC(=O)c1c([H])c([H])c([H])c([H])c1[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])#N
FUVWEA,0,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc2ccccc21,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc2ccccc21,CC(C)[N-](C(C)C)->[Cr+6](<-[N-3])(<-[N-](C(C)C)C(C)C)<-[n-]1ccc2ccccc21,[Cr+6](N(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(n1c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])#N
FUWLAK,0,CC(C)(C)[CH2-]->[Re+7](<-[O-2])(<-[O-2])(<-[CH2-]C(C)(C)C)<-[CH2-]C(C)(C)C,CC(C)(C)[CH2-]->[Re+7](<-[O-2])(<-[O-2])(<-[CH2-]C(C)(C)C)<-[CH2-]C(C)(C)C,CC(C)(C)[CH2-]->[Re+7](<-[O-2])(<-[O-2])(<-[CH2-]C(C)(C)C)<-[CH2-]C(C)(C)C,[Re+7](=O)(=O)(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H]
FUWLIS,0,CC12CC3C=CC1(CN[C]2->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])O3,C[C@]12C[C@@H]3C=C[C@@]1(CN[C]2->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])O3,CC12CC3C=CC1(CN[C]2->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])O3,[W](<-C1N([H])C([H])([H])C23OC([H])(C([H])([H])C12C([H])([H])[H])C([H])=C3[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
FUWQAQ,1,[CH3-]->[Pd+2]12<-n3ccccc3CN->1(Cc1ccc3cccc(Nc4cccc5cccnc45)c3n1)Cc1ccccn->21,[CH3-]->[Pd@OH1+2]12<-n3ccccc3CN->1(Cc1ccc3cccc(Nc4cccc5cccnc45)c3n1)Cc1ccccn->21,[CH3-]->[Pd+2]12<-n3ccccc3CN->1(Cc1ccc3cccc(Nc4cccc5cccnc45)c3n1)Cc1ccccn->21,[Pd+2]12(<-n3c(C(N->1(C(c1nc4c(N(c5c6nc([H])c([H])c([H])c6c([H])c([H])c5[H])[H])c([H])c([H])c([H])c4c([H])c1[H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])n->21)([H])[H])c([H])c([H])c([H])c3[H])C([H])([H])[H]
FUWRUM,1,[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccc3c(c2)[nH]c2ccccc23)<-n2ccccc2-c2ccccn->12,[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccc3c(c2)[nH]c2ccccc23)<-n2ccccc2-c2ccccn->12,[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccc3c(c2)[nH]c2ccccc23)<-n2ccccc2-c2ccccn->12,[C-](#[O+])->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-n2c(-c3c([H])c([H])c([H])c([H])n->13)c([H])c([H])c([H])c2[H])<-n1c([H])c([H])c2c3c([H])c([H])c([H])c([H])c3n([H])c2c1[H]
FUWWAX,0,CN1c2ccccc2N(c2ccccc2C2=NC(c3ccccc3)CO2)[C]1->[Au+]<-[I-],CN1c2ccccc2N(c2ccccc2C2=N[C@@H](c3ccccc3)CO2)[C]1->[Au+]<-[I-],CN1c2ccccc2N(c2ccccc2C2=NC(c3ccccc3)CO2)[C]1->[Au+]<-[I-],[Au+](I)<-C1N(C([H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1c1c([H])c([H])c([H])c([H])c1C1=NC([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])O1
FUWXEC,0,C[CH2-]->[Pt+2]1(<-[O-]C(=O)C(F)(F)F)<-n2cccnc2-c2ncccn->12,C[CH2-]->[Pt+2]1(<-[O-]C(=O)C(F)(F)F)<-n2cccnc2-c2ncccn->12,C[CH2-]->[Pt+2]1(<-[O-]C(=O)C(F)(F)F)<-n2cccnc2-c2ncccn->12,[Pt+2]1(OC(=O)C(F)(F)F)(<-n2c(-c3n->1c([H])c([H])c([H])n3)nc([H])c([H])c2[H])C([H])([H])C([H])([H])[H]
FUWZAY,0,CC(C)(C)c1cccc2C=N3C(C)(C)C(C)(C)N4=Cc5cccc(C(C)(C)C)c5[O-]->[Os+6]<-3<-4(<-[O-2])(<-[O-2])<-[O-]c21,CC(C)(C)c1cccc2/C=N3/C(C)(C)C(C)(C)/N4=C/c5cccc(C(C)(C)C)c5[O-]->[Os+6]<-3<-4(<-[O-2])(<-[O-2])<-[O-]c21,CC(C)(C)c1cccc2C=N3C(C)(C)C(C)(C)N4=Cc5cccc(C(C)(C)C)c5[O-]->[Os+6]<-3<-4(<-[O-2])(<-[O-2])<-[O-]c21,[Os+6]123(=O)(=O)<-N(=C([H])c4c(c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4[H])O1)C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])N->2=C([H])c1c(c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[H])O3
FUXNAO,0,c1ccc(P2(CCP(c3ccccc3)(c3ccccc3)->[Pt+2]<-23<-[S-]CSC[S-]->3)c2ccccc2)cc1,c1ccc(P2(CCP(c3ccccc3)(c3ccccc3)->[Pt@SP2+2]<-23<-[S-]CSC[S-]->3)c2ccccc2)cc1,c1ccc(P2(CCP(c3ccccc3)(c3ccccc3)->[Pt+2]<-23<-[S-]CSC[S-]->3)c2ccccc2)cc1,[Pt+2]12(<-P(C([H])([H])C(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])SC([H])([H])SC([H])([H])S2
FUXNES,0,O=S1C[S-]->[Pt+2](<-[S-]C1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,O=S1C[S-]->[Pt+2](<-[S-]C1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,O=S1C[S-]->[Pt+2](<-[S-]C1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Pt+2]1(<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])(<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])SC([H])([H])S(=O)C([H])([H])S1
FUYQEW,0,CN1(C)Cc2cccc3CN(C)(C)->[Pd+2]<-1(<-[Cl-])<-[c-]23,CN1(C)Cc2cccc3CN(C)(C)->[Pd+2]<-1(<-[Cl-])<-[c-]23,CN1(C)Cc2cccc3CN(C)(C)->[Pd+2]<-1(<-[Cl-])<-[c-]23,[Pd+2]12(Cl)<-N(C(c3c1c(C(N->2(C([H])([H])[H])C([H])([H])[H])([H])[H])c([H])c([H])c3[H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
FUYRAS,-1,O=C1CCC(=O)[N-]1->[Au+3](<-[Br-])(<-[Br-])<-[N-]1C(=O)CCC1=O,O=C1CCC(=O)[N-]1->[Au+3](<-[Br-])(<-[Br-])<-[N-]1C(=O)CCC1=O,O=C1CCC(=O)[N-]1->[Au+3](<-[Br-])(<-[Br-])<-[N-]1C(=O)CCC1=O,[Au+3](Br)(N1C(=O)C([H])([H])C([H])([H])C1=O)(Br)N1C(=O)C([H])([H])C([H])([H])C1=O
FUYVOM,0,CN12->[Fe+2]34(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-n5c(cccc5CN->3(C)CC1)CN->4(C)CC2,CN12->[Fe+2]34(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-n5c(cccc5CN->3(C)CC1)CN->4(C)CC2,CN12->[Fe+2]34(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-n5c(cccc5CN->3(C)CC1)CN->4(C)CC2,[Fe+2]123(OS(=O)(=O)C(F)(F)F)(OS(=O)(=O)C(F)(F)F)<-N4(C([H])([H])[H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])c1n->3c(c([H])c([H])c1[H])C4([H])[H]
FUYWUT,0,CN1(C)CCN2(C)Cc3cccc[c-]3->[Pt+4]<-1<-2(<-[CH3-])(<-[CH3-])<-[Br-],CN1(C)CCN2(C)Cc3cccc[c-]3->[Pt+4]<-1<-2(<-[CH3-])(<-[CH3-])<-[Br-],CN1(C)CCN2(C)Cc3cccc[c-]3->[Pt+4]<-1<-2(<-[CH3-])(<-[CH3-])<-[Br-],[Pt+4]12(Br)(<-N(C(c3c1c([H])c([H])c([H])c3[H])([H])[H])(C([H])([H])[H])C([H])([H])C(N->2(C([H])([H])[H])C([H])([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
FUYYAB,0,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-[C-](F)(F)C(F)(F)F,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-[C-](F)(F)C(F)(F)F,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-[C-](F)(F)C(F)(F)F,[Co+3]1234(<-P(c5c([H])c([H])c([H])c([H])c5[H])(c5c([H])c([H])c([H])c([H])c5[H])C([H])([H])[H])(F)(C5([H])C->1([H])=C->2([H])C->3([H])=C->45[H])C(F)(F)C(F)(F)F
FUYYEF,0,FC(F)(F)[C-](F)(F)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,FC(F)(F)[C-](F)(F)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,FC(F)(F)[C-](F)(F)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Co+3]1234(<-P(c5c([H])c([H])c([H])c([H])c5[H])(c5c([H])c([H])c([H])c([H])c5[H])c5c([H])c([H])c([H])c([H])c5[H])(F)(C5([H])C->1([H])=C->2([H])C->3([H])=C->45[H])C(F)(F)C(F)(F)F
FUYYOP,0,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-c5c->1c->2[cH-]->3c->45)(<-[C-](F)(F)F)<-[C-](F)(F)F,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-c5c->1c->2[cH-]->3c->45)(<-[C-](F)(F)F)<-[C-](F)(F)F,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-c5c->1c->2[cH-]->3c->45)(<-[C-](F)(F)F)<-[C-](F)(F)F,[Co+3]1234(<-P(c5c([H])c([H])c([H])c([H])c5[H])(c5c([H])c([H])c([H])c([H])c5[H])C([H])([H])[H])(<-C5([H])=C->1([H])C2([H])C->3([H])=C->45[H])(C(F)(F)F)C(F)(F)F
FUYYUV,0,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-[C-](F)(F)F,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-[C-](F)(F)F,CP(c1ccccc1)(c1ccccc1)->[Co+3]1234(<-[F-])(<-c5c->1c->2[cH-]->3c->45)<-[C-](F)(F)F,[Co+3]1234(<-P(c5c([H])c([H])c([H])c([H])c5[H])(c5c([H])c([H])c([H])c([H])c5[H])C([H])([H])[H])(F)(<-C5([H])=C->1([H])C2([H])C->3([H])=C->45[H])C(F)(F)F
FUZJAN,1,[Cl-]->[Ru+2]123(<-n4ccccc4-c4cccc(-c5ccccn->15)n->24)<-n1ccccc1-c1ccc2ccccc2n->31,[Cl-]->[Ru+2]123(<-n4ccccc4-c4cccc(-c5ccccn->15)n->24)<-n1ccccc1-c1ccc2ccccc2n->31,[Cl-]->[Ru+2]123(<-n4ccccc4-c4cccc(-c5ccccn->15)n->24)<-n1ccccc1-c1ccc2ccccc2n->31,[Ru+2]123(Cl)(<-n4c([H])c([H])c([H])c([H])c4-c4n->1c(-c1n->2c([H])c([H])c([H])c1[H])c([H])c([H])c4[H])<-n1c([H])c([H])c([H])c([H])c1-c1n->3c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
FUZSEZ,0,CCCCP(c1ccccc1C(F)(F)F)(C(C)(C)C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(CCCC)(c1ccccc1C(F)(F)F)C(C)(C)C,CCCCP(c1ccccc1C(F)(F)F)(C(C)(C)C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(CCCC)(c1ccccc1C(F)(F)F)C(C)(C)C,CCCCP(c1ccccc1C(F)(F)F)(C(C)(C)C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(CCCC)(c1ccccc1C(F)(F)F)C(C)(C)C,[Pd+2](Cl)(<-P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c1c(C(F)(F)F)c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])(Cl)<-P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c1c(C(F)(F)F)c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
FUZXOP,0,Nc1ccccn1->[Zn+2](<-[N-]=C=S)(<-[N-]=C=S)<-n1ccccc1N,Nc1ccccn1->[Zn+2](<-[N-]=C=S)(<-[N-]=C=S)<-n1ccccc1N,Nc1ccccn1->[Zn+2](<-[N-]=C=S)(<-[N-]=C=S)<-n1ccccc1N,[Zn+2](<-n1c(N([H])[H])c([H])c([H])c([H])c1[H])(<-n1c(N([H])[H])c([H])c([H])c([H])c1[H])(<-N#C[S-])<-N#C[S-]
GABBOB,0,CS(C)(=O)->[Pt+2]1(<-[O-]N=C([O-]->1)c1ccccc1)<-S(C)(C)=O,CS(C)(=O)->[Pt+2]1(<-[O-]/N=C(\[O-]->1)c1ccccc1)<-S(C)(C)=O,CS(C)(=O)->[Pt+2]1(<-[O-]N=C([O-]->1)c1ccccc1)<-S(C)(C)=O,C1(c2c([H])c([H])c([H])c([H])c2[H])N=O->[Pt](<-O=1)(<-S(C([H])([H])[H])(C([H])([H])[H])=O)<-S(C([H])([H])[H])(C([H])([H])[H])=O
GABBUH,0,CS(C)(=O)->[Pt+2]1(<-[O-]N=C([O-]->1)c1ccccc1O)<-S(C)(C)=O,CS(C)(=O)->[Pt+2]1(<-[O-]/N=C(\[O-]->1)c1ccccc1O)<-S(C)(C)=O,CS(C)(=O)->[Pt+2]1(<-[O-]N=C([O-]->1)c1ccccc1O)<-S(C)(C)=O,C1(c2c([H])c([H])c([H])c([H])c2O[H])=O->[Pt](<-S(C([H])([H])[H])(C([H])([H])[H])=O)(<-S(C([H])([H])[H])(C([H])([H])[H])=O)<-O=N1
GABFOH,0,CC(C)N1c2ccccc2N(C(C)C)[C]1->[Ru+2]12345(<-[Cl-])(<-[Cl-])<-c6c->1c->2(C(C)C)c->3c->4c->56C,CC(C)N1c2ccccc2N(C(C)C)[C]1->[Ru+2]12345(<-[Cl-])(<-[Cl-])<-c6c->1c->2(C(C)C)c->3c->4c->56C,CC(C)N1c2ccccc2N(C(C)C)[C]1->[Ru+2]12345(<-[Cl-])(<-[Cl-])<-c6c->1c->2(C(C)C)c->3c->4c->56C,c12c([H])c([H])c([H])c([H])c1N(C([H])(C([H])([H])[H])C([H])([H])[H])C(->[Ru+2]13456(<-c7([H])c->1([H])c->3(C([H])(C([H])([H])[H])C([H])([H])[H])c->4([H])c->5([H])c->67C([H])([H])[H])(Cl)Cl)N2C([H])(C([H])([H])[H])C([H])([H])[H]
